year,instrument,episode_rank,low_date,high_date,industry_name,primary_profile_anchor_date,primary_profile_anchor_type,benchmark_ret_during_episode,industry_target_ret_during_episode,avg_daily_amplitude,avg_turnover_money,forward_gain_intraday,forward_gain_close_confirmed
2017,SH600029,1,2017-08-07,2017-12-26,交通运输,2017-08-16,first_ema60_reclaim,0.08769669851423001,-0.0067886759689075316,0.035443734377622604,723637440.0,0.586475906175066,0.5669701041706261
2017,SH600111,1,2017-07-13,2017-08-10,有色金属,2017-07-13,first_ema60_reclaim,0.007865724254157325,0.16570699538006628,0.07270117849111557,4326002688.0,0.5749210435904364,0.5291797257870521
2017,SH600196,1,2017-07-18,2017-12-25,医药生物,2017-08-09,first_ema60_reclaim,0.10208370697413427,0.10858916792307372,0.03552364557981491,624417408.0,0.719858273019756,0.6954294799904617
2017,SH600276,1,2017-07-10,2017-11-07,医药生物,2017-07-10,first_ema60_reclaim,0.10963164658777003,0.09501077576360406,0.02241974137723446,456834528.0,0.5884870914603593,0.5632730682560392
2017,SH600309,1,2017-07-05,2017-10-10,基础化工,2017-07-05,first_ema60_reclaim,0.06289736573926752,0.07986615957993926,0.03522410988807678,1687475328.0,0.5897319997549304,0.5824625837736368
2017,SH600519,1,2017-07-07,2017-12-29,食品饮料,2017-07-07,first_ema60_reclaim,0.10255274903702327,0.35304644776679894,0.023127472028136253,2420894976.0,0.6466439004325508,0.6298968239484721
2017,SH600690,1,2017-08-07,2017-11-21,家用电器,2017-08-28,first_ema60_reclaim,0.1317235657836595,0.24718724766945677,0.03043682500720024,927427584.0,0.5749292766429512,0.5692742843824545
2017,SH600703,1,2017-07-13,2017-11-13,电子,2017-07-13,first_ema60_reclaim,0.11965346147279265,0.25372497050702614,0.03629174083471298,718972352.0,0.7194460214615181,0.6983743556813495
2017,SH600887,1,2017-07-10,2017-12-22,食品饮料,2017-07-10,first_ema60_reclaim,0.10972796026194698,0.34324901740137315,0.031260982155799866,1655298176.0,0.6668797392932531,0.6464194011986417
2017,SH601012,1,2017-09-11,2017-11-22,电力设备,2017-09-11,first_ema60_reclaim,0.10505973985617545,-0.008055677717046072,0.05395595729351044,1059521984.0,0.9096672424733596,0.8811410448809567
2017,SH601155,1,2017-11-13,2017-12-29,房地产,2017-11-13,first_ema60_reclaim,-0.023550550810229165,0.017718501937864062,0.06523367017507553,412139232.0,0.5003182455500712,0.4793125216223342
2017,SH601318,1,2017-07-04,2017-11-22,非银金融,2017-07-04,first_ema60_reclaim,0.1678412068163504,0.23092683695639948,0.026547839865088463,4284487680.0,0.7021897587462933,0.6697809818017222
2017,SH601336,1,2017-07-04,2017-11-22,非银金融,2017-07-04,first_ema60_reclaim,0.1678412068163504,0.23092683695639948,0.038569074124097824,898687424.0,0.5010476929074807,0.47380827679395177
2017,SH601600,1,2017-07-04,2017-09-01,有色金属,2017-07-04,first_ema60_reclaim,0.05816439911987459,0.2914205195161026,0.05826716125011444,2362375680.0,0.8544152445861628,0.8090691694964884
2017,SH601601,1,2017-07-04,2017-11-20,非银金融,2017-07-04,first_ema60_reclaim,0.1447103869876114,0.19917481903432432,0.03337833657860756,784017856.0,0.5584142635896383,0.5149725666783687
2017,SH601888,1,2017-07-10,2017-11-13,社会服务,2017-07-10,first_ema60_reclaim,0.12983775730311642,0.10410192014908448,0.028502780944108963,319831008.0,0.6653666840639083,0.6634166357701969
2017,SH601933,1,2017-07-27,2017-12-20,商贸零售,2017-07-31,first_ema60_reclaim,0.08574310501547777,-0.009522451888809735,0.03920028358697891,593177728.0,0.8036912636232616,0.7651007366493998
2017,SH603288,1,2017-07-17,2017-11-10,食品饮料,2017-07-18,first_ema60_reclaim,0.12238205623905163,0.37616222670839305,0.029346125200390816,121298520.0,0.5267463627888653,0.49339200940974637
2017,SH603993,1,2017-07-04,2017-09-12,有色金属,2017-07-04,first_ema60_reclaim,0.06020744676751466,0.34293598450006835,0.06979325413703918,2261522176.0,0.8568019340241744,0.7828161546964418
2017,SZ000001,1,2017-07-05,2017-11-22,银行,2017-07-05,first_ema60_reclaim,0.15517399816022137,0.11599345137177441,0.030088333413004875,1448893568.0,0.6689751441689451,0.6537396021262711
