year,instrument,episode_rank,low_date,high_date,anchor_type,anchor_date,anchor_missing,anchor_missing_reason,anchor_lag_trading_days_from_low,gain_intraday_from_low_to_anchor,gain_close_from_low_to_anchor,ret20_before_anchor,ret60_before_anchor,ret120_before_anchor,volatility20_before_anchor,atr20_pct_before_anchor,volume_ratio20_before_anchor,money_ratio20_before_anchor,money_percentile_in_pit_universe,ema20_gt_ema60_at_anchor,close_gt_ema60_at_anchor,ema60_slope_at_anchor,trend_score_pct_at_anchor,market_regime_at_anchor,market_width_at_anchor,industry_regime_at_anchor,industry_width_at_anchor,lookback_readable_days_20,lookback_readable_days_60,lookback_readable_days_120
2017,SH600029,1,2017-08-07,2017-12-26,low_date_retrospective,2017-08-07,False,,0.0,0.019505864011872154,0.018205444140945604,-0.03333336114883423,0.0051348209381103516,,0.012108758030697504,0.02215836109301065,0.5970060645573576,0.5678417625135467,0.3380281690140845,False,False,-0.011076130141016827,0.9202898550724637,market_trend_on,width_strong,industry_sync_off,industry_sync_off,20.0,24.0,24.0
2017,SH600029,1,2017-08-07,2017-12-26,first_ema60_reclaim,2017-08-16,False,,7.0,0.06501944336052001,0.05981788789167841,-0.0251196026802063,0.040868401527404785,,0.014098317014055914,0.02098160239291524,1.2259301487562844,1.2307554054344079,0.726027397260274,False,True,-0.00730657003819557,0.8041958041958042,market_trend_on,width_strong,industry_sync_off,industry_sync_off,20.0,31.0,31.0
2017,SH600029,1,2017-08-07,2017-12-26,first_breakout_signal,,True,anchor_not_observed_in_episode,,,,,,,,,,,,,,,,,,,,,,
2017,SH600029,1,2017-08-07,2017-12-26,first_close_gain_20pct,2017-11-14,False,,65.0,0.2548764039955358,0.23537060199109594,0.20101141929626465,0.18306350708007812,,0.016564536594148773,0.028263147253739206,1.919259488155857,2.071026237448299,0.7763975155279503,True,True,0.026464649456070743,0.189873417721519,market_trend_on,width_strong,industry_sync_off,industry_sync_off,20.0,60.0,89.0
2017,SH600029,1,2017-08-07,2017-12-26,first_close_gain_30pct,2017-11-17,False,,68.0,0.364109192856074,0.31079321829673145,0.24291002750396729,0.221818208694458,,0.018220696678070157,0.03467260398314192,1.6968446804939203,1.9196191026184313,0.7707006369426752,True,True,0.032465386646737704,0.19607843137254902,market_trend_on,width_strong,industry_sync_off,industry_sync_off,20.0,60.0,92.0
2017,SH600111,1,2017-07-13,2017-08-10,low_date_retrospective,2017-07-13,False,,0.0,0.0985804392677947,0.08044159933284911,0.26969408988952637,0.11563515663146973,,0.031413121097286736,0.02828467888775956,7.593084813505529,8.668359584206835,0.9928571428571429,True,True,0.02761637138698103,0.18115942028985507,market_trend_on,width_strong,industry_sync_off,industry_sync_off,0.0,0.0,0.0
2017,SH600111,1,2017-07-13,2017-08-10,first_ema60_reclaim,2017-07-13,False,,0.0,0.0985804392677947,0.08044159933284911,0.26969408988952637,0.11563515663146973,,0.031413121097286736,0.02828467888775956,7.593084813505529,8.668359584206835,0.9928571428571429,True,True,0.02761637138698103,0.18115942028985507,market_trend_on,width_strong,industry_sync_off,industry_sync_off,0.0,0.0,0.0
2017,SH600111,1,2017-07-13,2017-08-10,first_breakout_signal,,True,anchor_not_observed_in_episode,,,,,,,,,,,,,,,,,,,,,,
2017,SH600111,1,2017-07-13,2017-08-10,first_close_gain_20pct,2017-07-28,False,,9.0,0.317034728786463,0.28785485257759813,0.492687463760376,0.4805077314376831,,0.04061061990435651,0.04785670894408688,1.8260316635009415,2.117005685833857,0.9863013698630136,True,True,0.0696005523905312,0.02097902097902098,market_trend_on,width_strong,industry_sync_on,industry_sync_on,9.0,9.0,9.0
2017,SH600111,1,2017-07-13,2017-08-10,first_close_gain_30pct,2017-07-31,False,,10.0,0.41719234076196465,0.41719234076196465,0.618918776512146,0.6336363554000854,,0.044270200885812266,0.04755147957507625,1.9989171489979234,2.5262310668275436,1.0,True,True,0.08117766422985717,0.014285714285714285,market_trend_on,width_strong,industry_sync_on,industry_sync_on,10.0,10.0,10.0
2017,SH600196,1,2017-07-18,2017-12-25,low_date_retrospective,2017-07-18,False,,0.0,0.0587077118887418,0.025216758004720896,-0.09996539354324341,-0.0740213394165039,,0.026431782972572555,0.03900845654741755,1.4452325267745594,1.3544999680798429,0.6594202898550725,False,False,-0.008159639592778767,0.9259259259259259,market_trend_on,width_strong,industry_sync_off,industry_sync_off,10.0,10.0,10.0
2017,SH600196,1,2017-07-18,2017-12-25,first_ema60_reclaim,2017-08-09,False,,16.0,0.07959024919458102,0.07328607848131163,0.027924537658691406,-0.044545769691467285,,0.016326888217392723,0.026101324045861792,1.2853227135025442,1.3020382322479318,0.593103448275862,False,True,-0.011428887292136869,0.9148936170212766,market_trend_on,width_strong,industry_sync_off,industry_sync_off,20.0,26.0,26.0
2017,SH600196,1,2017-07-18,2017-12-25,first_breakout_signal,2017-10-11,False,,56.0,0.31796697671478946,0.295114263939634,0.20801174640655518,0.2403773069381714,,0.020870892869365516,0.03410405326974808,1.496175140022072,1.656744642239026,0.7843137254901961,True,True,0.039676211224435765,0.06711409395973154,market_trend_on,width_strong,industry_sync_on,industry_sync_on,20.0,60.0,66.0
2017,SH600196,1,2017-07-18,2017-12-25,first_close_gain_20pct,2017-09-25,False,,49.0,0.2348306221000389,0.22734439119616545,0.15072035789489746,0.09799075126647949,,0.019389647655304237,0.02747993747815198,0.929677668268259,1.0262172368457443,0.625,True,True,0.018713690740559397,0.4863013698630137,market_trend_on,width_strong,industry_sync_off,industry_sync_off,20.0,59.0,59.0
2017,SH600196,1,2017-07-18,2017-12-25,first_close_gain_30pct,2017-10-12,False,,57.0,0.3376675289816675,0.3266351175059814,0.2085425853729248,0.2502784729003906,,0.020887227614919186,0.034377791345678435,0.9957066280511838,1.113103709233618,0.756578947368421,True,True,0.042549186090425906,0.1,market_trend_on,width_strong,industry_sync_on,industry_sync_on,20.0,60.0,67.0
2017,SH600276,1,2017-07-10,2017-11-07,low_date_retrospective,2017-07-10,False,,0.0,0.023786869129934995,0.018553728884643794,-0.03732013702392578,0.11163032054901123,,0.013215787211907788,0.019733771189075534,0.7384061366462165,0.7219773011968256,0.39285714285714285,True,True,0.012587806143357527,0.5367647058823529,market_trend_on,width_strong,industry_sync_off,industry_sync_off,4.0,4.0,4.0
2017,SH600276,1,2017-07-10,2017-11-07,first_ema60_reclaim,2017-07-10,False,,0.0,0.023786869129934995,0.018553728884643794,-0.03732013702392578,0.11163032054901123,,0.013215787211907788,0.019733771189075534,0.7384061366462165,0.7219773011968256,0.39285714285714285,True,True,0.012587806143357527,0.5367647058823529,market_trend_on,width_strong,industry_sync_off,industry_sync_off,4.0,4.0,4.0
2017,SH600276,1,2017-07-10,2017-11-07,first_breakout_signal,2017-10-11,False,,62.0,0.3177925860942854,0.2887725767190592,0.08403360843658447,0.27183103561401367,,0.013964622752847431,0.022277599559866457,1.8234197750475492,1.9151000763660746,0.7320261437908496,True,True,0.030678811935197725,0.08053691275167785,market_trend_on,width_strong,industry_sync_on,industry_sync_on,20.0,60.0,66.0
