candidate_family_id,candidate_feature_id,expected_18e_role,expected_primary_model_feature,expected_appendix_only,expected_residualization_control_set_id,observed_18d_candidate_inventory_row_found,observed_18d_lineage_row_found,observed_18d_pit_row_found,observed_18d_train_prior_row_found,observed_18d_recommended_family,observed_candidate_primary_allowed_after_lineage,observed_pit_primary_allowed,observed_candidate_appendix_only,observed_recommendation_eligible_residualization,observed_dedup_group_representative,observed_orthogonal_payoff_candidate,observed_residualization_control_set_id,observed_blocking_reason,replay_status,blocking_reason,appendix_only,primary_model_feature,used_for_feature_selection,used_for_gate,used_for_downstream_separability,exclusion_reason
M1,m1_episode_recovery_ratio_to_high_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,dedup alias of m1_close_location_episode_range,pass,,True,False,False,False,False,dedup alias of m1_close_location_episode_range
M1,m1_path_linearity_r2_low_to_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,,True,False,False,False,False,failed train-prior orthogonality
M1,m1_return_sign_entropy_trailing20,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed volatility/participation orthogonality,pass,,True,False,False,False,False,failed volatility/participation orthogonality
M2,m2_high_amount_negative_bar_share_20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,,True,False,False,False,False,failed f2_extended_participation_money orthogonality
M2,m2_net_signed_money_flow_accel_5v20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,,True,False,False,False,False,failed f2_extended_participation_money orthogonality
M2,m2_net_signed_money_flow_curvature_5_10_20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,,True,False,False,False,False,failed f2_extended_participation_money orthogonality
M2,m2_positive_money_flow_share_accel_5v20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,,True,False,False,False,False,failed f2_extended_participation_money orthogonality
M2,m2_signed_flow_volatility_20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,,True,False,False,False,False,failed f2_extended_participation_money orthogonality
M3,m3_downside_crowding_to_episode_low,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,,True,False,False,False,False,failed train-prior orthogonality
M3,m3_downside_room_to_episode_low_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,dedup alias / failed train-prior orthogonality,pass,,True,False,False,False,False,dedup alias / failed train-prior orthogonality
M3,m3_vol_adjusted_repair_strength,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,,True,False,False,False,False,failed train-prior orthogonality
M4,m4_regime_context_deferred,deferred,False,True,base_vol_participation,True,True,True,True,False,False,False,True,True,False,False,base_vol_participation,m4_deferred_by_default,pass,,True,False,False,False,False,no new PIT context and family deferred
M5,m5_bars_since_reclaim,appendix_only,False,True,base_vol_participation,True,True,True,True,True,False,False,True,True,False,False,base_vol_participation,candidate_finite_rate_below_floor,pass,,True,False,False,False,False,candidate_finite_rate_below_floor
M5,m5_lifecycle_progress_to_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,False,False,True,True,False,False,base_vol_participation,full_episode_boundary_after_t0,pass,,True,False,False,False,False,full_episode_boundary_after_t0
M5,m5_low_before_high_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,,True,False,False,False,False,failed train-prior orthogonality
