candidate_family_id,feature_id,candidate_feature_id,source_artifact_alias,pit_valid_status,t0_available_status,source_pos_max_minus_step_start_pos,source_date_max_minus_step_start_date,uses_future_h20_path,uses_step_end_outcome,uses_oracle_label,uses_payoff_target,uses_binary_target,candidate_primary_allowed_after_lineage,candidate_appendix_only,blocking_reason
F1,ret_5d,ret_5d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F1,ret_10d,ret_10d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F1,ret_20d,ret_20d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F1,ma_5_20_spread,ma_5_20_spread,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F1,ma_20_60_spread,ma_20_60_spread,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F1,distance_to_20d_high,distance_to_20d_high,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F1,distance_to_60d_high,distance_to_60d_high,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F2,turnover_rate_20d_mean,turnover_rate_20d_mean,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F2,turnover_rate_60d_mean,turnover_rate_60d_mean,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F2,turnover_rate_20d_zscore,turnover_rate_20d_zscore,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F2,volume_20d_zscore,volume_20d_zscore,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F2,money_20d_zscore,money_20d_zscore,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F3,board_rank_pct,board_rank_pct,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F3,board_rank_by_market_cap,board_rank_by_market_cap,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F4,volatility_20d,volatility_20d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F4,volatility_60d,volatility_60d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F4,max_drawdown_20d,max_drawdown_20d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F4,max_drawdown_60d,max_drawdown_60d,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F4,intraday_range_20d_mean,intraday_range_20d_mean,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F5,board_bucket_chinext,board_bucket_chinext,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F5,board_bucket_main_board,board_bucket_main_board,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F5,log_total_market_cap_cny,log_total_market_cap_cny,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
F5,tradability_status_ok,tradability_status_ok,ep18_current_feature_matrix,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
M1,m1_close_location_episode_range,m1_close_location_episode_range,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
M1,m1_close_location_trailing60_range,m1_close_location_trailing60_range,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
M1,m1_episode_drawdown_pre_t0,m1_episode_drawdown_pre_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
M1,m1_failed_repair_count_low_to_t0,m1_failed_repair_count_low_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
M1,m1_path_transition_entropy_episode,m1_path_transition_entropy_episode,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,pass,pass,0.0,0.0,False,False,False,False,False,True,False,
