cluster_split_bucket,label_class,row_n,appendix_only,used_for_feature_selection,used_for_gate,used_for_downstream_separability
robustness,negative,526,True,False,False,False
robustness,neutral,624,True,False,False,False
robustness,positive,1346,True,False,False,False
train,negative,4884,True,False,False,False
train,neutral,5283,True,False,False,False
train,positive,10078,True,False,False,False
validation,negative,180,True,False,False,False
validation,neutral,159,True,False,False,False
validation,positive,325,True,False,False,False
