feature_name,feature_family_id,comparison_split,split_comparison,train_row_n,comparison_row_n,train_mean,comparison_mean,mean_diff,train_std,standardized_mean_diff,train_missing_rate,comparison_missing_rate,diagnostic_only,used_to_remove_feature,split_drift_readout_gate,blocking_reason
ret_5d,F1,robustness,train_vs_robustness,20245,2496,0.003802515674978066,0.012430546574126646,0.00862803089914858,0.06835607731893742,0.12622185528423036,0.0,0.0,True,False,pass,
ret_5d,F1,validation,train_vs_validation,20245,664,0.003802515674978066,0.0024083397686702596,-0.0013941759063078062,0.06835607731893742,-0.020395785729523754,0.0,0.0,True,False,pass,
ret_10d,F1,robustness,train_vs_robustness,20245,2496,0.008042536146599017,0.018078686813294942,0.010036150666695925,0.0973270633465437,0.10311777959395639,0.0,0.0,True,False,pass,
ret_10d,F1,validation,train_vs_validation,20245,664,0.008042536146599017,0.009433288871458733,0.001390752724859716,0.0973270633465437,0.014289475887172184,0.0,0.0,True,False,pass,
ret_20d,F1,robustness,train_vs_robustness,20245,2496,0.01789776009399002,0.03267236847059605,0.01477460837660603,0.1401005084467742,0.10545720740349113,0.0,0.0,True,False,pass,
ret_20d,F1,validation,train_vs_validation,20245,664,0.01789776009399002,0.019553691589606598,0.0016559314956165784,0.1401005084467742,0.011819596616565354,0.0,0.0,True,False,pass,
ma_5_20_spread,F1,robustness,train_vs_robustness,20245,2496,0.0031252661047902757,0.0082519487816219,0.005126682676831624,0.05756266194150719,0.08906264067567181,0.0,0.0,True,False,pass,
ma_5_20_spread,F1,validation,train_vs_validation,20245,664,0.0031252661047902757,0.004478642949148545,0.0013533768443582694,0.05756266194150719,0.023511366547528938,0.0,0.0,True,False,pass,
ma_20_60_spread,F1,robustness,train_vs_robustness,20245,2496,0.008157288838997962,0.023481534749411344,0.015324245910413382,0.08004143867098268,0.19145390393849657,0.0,0.0,True,False,pass,
ma_20_60_spread,F1,validation,train_vs_validation,20245,664,0.008157288838997962,0.0069839285143728684,-0.0011733603246250933,0.08004143867098268,-0.014659410726589928,0.0,0.0,True,False,pass,
distance_to_20d_high,F1,robustness,train_vs_robustness,20245,2496,-0.08865179540487361,-0.08784626584228296,0.0008055295625906539,0.06687432735441062,0.012045423026412334,0.0,0.0,True,False,pass,
distance_to_20d_high,F1,validation,train_vs_validation,20245,664,-0.08865179540487361,-0.09625854060912051,-0.007606745204246895,0.06687432735441062,-0.11374686677495532,0.0,0.0,True,False,pass,
distance_to_60d_high,F1,robustness,train_vs_robustness,20245,2496,-0.14739923093738908,-0.14225432838479526,0.005144902552593811,0.09636952846795917,0.053387233852704614,0.0,0.0,True,False,pass,
distance_to_60d_high,F1,validation,train_vs_validation,20245,664,-0.14739923093738908,-0.16127626206180232,-0.013877031124413242,0.09636952846795917,-0.1439981220726535,0.0,0.0,True,False,pass,
turnover_rate_20d_mean,F2,robustness,train_vs_robustness,20245,2496,0.02273726673304294,0.02842747124422231,0.005690204511179367,0.02708914434326491,0.21005478944166447,0.0,0.0,True,False,pass,
turnover_rate_20d_mean,F2,validation,train_vs_validation,20245,664,0.02273726673304294,0.028494490399348475,0.005757223666305534,0.02708914434326491,0.21252881203451282,0.0,0.0,True,False,pass,
turnover_rate_60d_mean,F2,robustness,train_vs_robustness,20245,2496,0.02266667764188492,0.028869234827437387,0.006202557185552467,0.02473209053927119,0.2507898463214685,0.0,0.0,True,False,pass,
turnover_rate_60d_mean,F2,validation,train_vs_validation,20245,664,0.02266667764188492,0.028793649698657896,0.006126972056772977,0.02473209053927119,0.24773369024523748,0.0,0.0,True,False,pass,
turnover_rate_20d_zscore,F2,robustness,train_vs_robustness,20245,2496,0.005741937162324208,0.000451919338207297,-0.005290017824116911,1.1488674814202857,-0.004604550054438946,0.0,0.0,True,False,pass,
turnover_rate_20d_zscore,F2,validation,train_vs_validation,20245,664,0.005741937162324208,-0.03604054572830811,-0.041782482890632314,1.1488674814202857,-0.036368409382584996,0.0,0.0,True,False,pass,
volume_20d_zscore,F2,robustness,train_vs_robustness,20245,2496,0.01378932012117436,0.011151722513534983,-0.0026375976076393765,1.1512476995387018,-0.0022910774186096065,0.0,0.0,True,False,pass,
volume_20d_zscore,F2,validation,train_vs_validation,20245,664,0.01378932012117436,-0.012405485106971934,-0.026194805228146295,1.1512476995387018,-0.022753405056654966,0.0,0.0,True,False,pass,
money_20d_zscore,F2,robustness,train_vs_robustness,20245,2496,0.018228540450820337,0.029566986598403053,0.011338446147582715,1.1646049725064072,0.009735873034425272,0.0,0.0,True,False,pass,
money_20d_zscore,F2,validation,train_vs_validation,20245,664,0.018228540450820337,-0.02002719088239405,-0.03825573133321439,1.1646049725064072,-0.03284867593419444,0.0,0.0,True,False,pass,
board_rank_pct,F3,robustness,train_vs_robustness,20245,2496,0.800007162262287,0.6790294471153846,-0.12097771514690236,0.2871455420336284,-0.42131148646819083,0.0,0.0,True,False,pass,
board_rank_pct,F3,validation,train_vs_validation,20245,664,0.800007162262287,0.844796686746988,0.04478952448470108,0.2871455420336284,0.1559819601150404,0.0,0.0,True,False,pass,
board_rank_by_market_cap,F3,robustness,train_vs_robustness,20245,2496,221.14304766609038,199.78004807692307,-21.362999589167316,144.4396217580582,-0.14790262761107992,0.0,0.0,True,False,pass,
board_rank_by_market_cap,F3,validation,train_vs_validation,20245,664,221.14304766609038,208.6972891566265,-12.445758509463872,144.4396217580582,-0.08616582041672045,0.0,0.0,True,False,pass,
volatility_20d,F4,robustness,train_vs_robustness,20245,2496,0.025717758647591543,0.02711811796963012,0.0014003593220385767,0.011911768702640026,0.11756099005920193,0.0,0.0,True,False,pass,
volatility_20d,F4,validation,train_vs_validation,20245,664,0.025717758647591543,0.02794237133739331,0.002224612689801765,0.011911768702640026,0.18675754586375745,0.0,0.0,True,False,pass,
volatility_60d,F4,robustness,train_vs_robustness,20245,2496,0.026909478623272948,0.029053214526861756,0.0021437359035888087,0.009998428719445162,0.2144072797578308,0.0,0.0,True,False,pass,
volatility_60d,F4,validation,train_vs_validation,20245,664,0.026909478623272948,0.02946687711931769,0.0025573984960447424,0.009998428719445162,0.2557800398247635,0.0,0.0,True,False,pass,
max_drawdown_20d,F4,robustness,train_vs_robustness,20245,2496,-0.1016668883111968,-0.10265471278072194,-0.0009878244695251392,0.06266252997012803,-0.01576419704081605,0.0,0.0,True,False,pass,
max_drawdown_20d,F4,validation,train_vs_validation,20245,664,-0.1016668883111968,-0.10872876212482023,-0.007061873813623429,0.06266252997012803,-0.11269691499832368,0.0,0.0,True,False,pass,
max_drawdown_60d,F4,robustness,train_vs_robustness,20245,2496,-0.18901423212822563,-0.1870741462696862,0.001940085858539442,0.08773332620726285,0.022113442432994585,0.0,0.0,True,False,pass,
max_drawdown_60d,F4,validation,train_vs_validation,20245,664,-0.18901423212822563,-0.20552637798194348,-0.016512145853717852,0.08773332620726285,-0.18820836468355537,0.0,0.0,True,False,pass,
intraday_range_20d_mean,F4,robustness,train_vs_robustness,20245,2496,0.03887666337937986,0.03934743750619443,0.0004707741268145729,0.01589793222493472,0.02961228668947266,0.0,0.0,True,False,pass,
intraday_range_20d_mean,F4,validation,train_vs_validation,20245,664,0.03887666337937986,0.041518108332176985,0.0026414449527971257,0.01589793222493472,0.16615022101139773,0.0,0.0,True,False,pass,
board_bucket_chinext,F5,robustness,train_vs_robustness,20245,2496,0.38631760928624354,0.3389423076923077,-0.047375301593935826,0.48690483057946904,-0.09729889419571815,0.0,0.0,True,False,pass,
board_bucket_chinext,F5,validation,train_vs_validation,20245,664,0.38631760928624354,0.5150602409638554,0.12874263167761185,0.48690483057946904,0.26441025759468084,0.0,0.0,True,False,pass,
board_bucket_main_board,F5,robustness,train_vs_robustness,20245,2496,0.6136823907137565,0.6610576923076923,0.04737530159393577,0.48690483057946904,0.09729889419571802,0.0,0.0,True,False,pass,
board_bucket_main_board,F5,validation,train_vs_validation,20245,664,0.6136823907137565,0.48493975903614456,-0.12874263167761196,0.48690483057946904,-0.26441025759468106,0.0,0.0,True,False,pass,
log_total_market_cap_cny,F5,robustness,train_vs_robustness,20245,2496,23.421787369364594,24.41019124104557,0.9884038716809762,0.8730095411669956,1.132179919087399,0.0,0.0,True,False,pass,
log_total_market_cap_cny,F5,validation,train_vs_validation,20245,664,23.421787369364594,23.920379712212295,0.4985923428477008,0.8730095411669956,0.5711190076814138,0.0,0.0,True,False,pass,
tradability_status_ok,F5,robustness,train_vs_robustness,20245,2496,1.0,1.0,0.0,0.0,,0.0,0.0,True,False,pass,
tradability_status_ok,F5,validation,train_vs_validation,20245,664,1.0,1.0,0.0,0.0,,0.0,0.0,True,False,pass,
m1_close_location_episode_range,M1,robustness,train_vs_robustness,20245,2496,0.3890932675107883,0.5039993113608651,0.11490604385007674,0.26435531528800094,0.4346651540745181,0.032205482835267966,0.08173076923076923,True,False,pass,
m1_close_location_episode_range,M1,validation,train_vs_validation,20245,664,0.3890932675107883,0.3585509558013515,-0.03054231170943683,0.26435531528800094,-0.11553507700861858,0.032205482835267966,0.061746987951807226,True,False,pass,
m1_close_location_trailing60_range,M1,robustness,train_vs_robustness,20245,2496,0.4572672290219739,0.49484180660748134,0.03757457758550742,0.28032889121595567,0.13403747798710217,0.032205482835267966,0.08173076923076923,True,False,pass,
m1_close_location_trailing60_range,M1,validation,train_vs_validation,20245,664,0.4572672290219739,0.4476609749415582,-0.00960625408041571,0.28032889121595567,-0.03426779893698286,0.032205482835267966,0.061746987951807226,True,False,pass,
m1_episode_drawdown_pre_t0,M1,robustness,train_vs_robustness,20245,2496,-0.44815761053081166,-0.2947749372046831,0.15338267332612854,0.16350691699304407,0.9380806399319105,0.032205482835267966,0.08173076923076923,True,False,pass,
m1_episode_drawdown_pre_t0,M1,validation,train_vs_validation,20245,664,-0.44815761053081166,-0.45289017158390815,-0.004732561053096496,0.16350691699304407,-0.028944103039370676,0.032205482835267966,0.061746987951807226,True,False,pass,
m1_failed_repair_count_low_to_t0,M1,robustness,train_vs_robustness,20245,2496,10.37389523604225,4.162846227316141,-6.211049008726109,12.17902386361671,-0.5099792132997482,0.08342800691528772,0.16105769230769232,True,False,pass,
m1_failed_repair_count_low_to_t0,M1,validation,train_vs_validation,20245,664,10.37389523604225,5.9391771019677995,-4.43471813407445,12.17902386361671,-0.36412755108581474,0.08342800691528772,0.15813253012048192,True,False,pass,
m1_path_transition_entropy_episode,M1,robustness,train_vs_robustness,20245,2496,0.7402126480784522,0.7178460537175615,-0.022366594360890724,0.09523424333041527,-0.23485873965827406,0.08342800691528772,0.16105769230769232,True,False,pass,
m1_path_transition_entropy_episode,M1,validation,train_vs_validation,20245,664,0.7402126480784522,0.7070779713354114,-0.033134676743040825,0.09523424333041527,-0.3479281777677389,0.08342800691528772,0.15813253012048192,True,False,pass,
m1_pullback_from_episode_high_t0,M1,robustness,train_vs_robustness,20245,2496,-0.30977218577294957,-0.1783086985557698,0.13146348721717976,0.17319815341527955,0.759035154964776,0.032205482835267966,0.08173076923076923,True,False,pass,
m1_pullback_from_episode_high_t0,M1,validation,train_vs_validation,20245,664,-0.30977218577294957,-0.3178784245494242,-0.00810623877647465,0.17319815341527955,-0.04680326329483555,0.032205482835267966,0.061746987951807226,True,False,pass,
m1_repair_path_efficiency_episode,M1,robustness,train_vs_robustness,20245,2496,0.14995319252869363,0.21865908538560155,0.06870589285690792,0.19552631405582846,0.3513894955197201,0.054630773030377874,0.11177884615384616,True,False,pass,
m1_repair_path_efficiency_episode,M1,validation,train_vs_validation,20245,664,0.14995319252869363,0.21931371926744672,0.06936052673875309,0.19552631405582846,0.3547375557795696,0.054630773030377874,0.10391566265060241,True,False,pass,
m1_up_down_run_imbalance_20,M1,robustness,train_vs_robustness,20245,2496,-0.011075384065737763,-0.23211169284467714,-0.22103630877893937,2.140148982814017,-0.10328080453927344,0.032205482835267966,0.08173076923076923,True,False,pass,
