feature_name,model_ready_feature_name,feature_family_id,raw_dtype,preprocessing_kind,fit_split,fit_row_n,imputer_value,center_value,scale_value,train_iqr,zero_iqr_flag,preprocessing_uses_target_columns,preprocessing_uses_robustness_rows,preprocessing_uses_validation_rows,split_local_imputation_used,split_local_scaling_used,status,blocking_reason
ret_5d,mr_ret_5d,F1,float64,train median,train,20245,-0.0007457121551081,-0.0007457121551081,0.067464652666173,0.067464652666173,False,False,False,False,False,False,pass,
ret_10d,mr_ret_10d,F1,float64,train median,train,20245,0.0,0.0,0.0942795626798586,0.0942795626798586,False,False,False,False,False,False,pass,
ret_20d,mr_ret_20d,F1,float64,train median,train,20245,0.00220659219418,0.00220659219418,0.1418347473752546,0.1418347473752546,False,False,False,False,False,False,pass,
ma_5_20_spread,mr_ma_5_20_spread,F1,float64,train median,train,20245,9.88965965442734e-05,9.88965965442734e-05,0.0589589060283997,0.0589589060283997,False,False,False,False,False,False,pass,
ma_20_60_spread,mr_ma_20_60_spread,F1,float64,train median,train,20245,0.0004647431816446,0.0004647431816446,0.0899761561378912,0.0899761561378912,False,False,False,False,False,False,pass,
distance_to_20d_high,mr_distance_to_20d_high,F1,float64,train median,train,20245,-0.073170731707317,-0.073170731707317,0.0866093796534749,0.0866093796534749,False,False,False,False,False,False,pass,
distance_to_60d_high,mr_distance_to_60d_high,F1,float64,train median,train,20245,-0.13215859030837,-0.13215859030837,0.1338511942506869,0.1338511942506869,False,False,False,False,False,False,pass,
turnover_rate_20d_mean,mr_turnover_rate_20d_mean,F2,float64,train median,train,20245,0.0134581584876309,0.0134581584876309,0.0207512394514263,0.0207512394514263,False,False,False,False,False,False,pass,
turnover_rate_60d_mean,mr_turnover_rate_60d_mean,F2,float64,train median,train,20245,0.0141717090525651,0.0141717090525651,0.0212200336222236,0.0212200336222236,False,False,False,False,False,False,pass,
turnover_rate_20d_zscore,mr_turnover_rate_20d_zscore,F2,float64,train median,train,20245,-0.2823021864619812,-0.2823021864619812,1.3994175038929777,1.3994175038929777,False,False,False,False,False,False,pass,
volume_20d_zscore,mr_volume_20d_zscore,F2,float64,train median,train,20245,-0.2726878058766827,-0.2726878058766827,1.4099431172919763,1.4099431172919763,False,False,False,False,False,False,pass,
money_20d_zscore,mr_money_20d_zscore,F2,float64,train median,train,20245,-0.2851995025319856,-0.2851995025319856,1.414005926453358,1.414005926453358,False,False,False,False,False,False,pass,
