candidate_family_id,candidate_feature_id,expected_18e_role,expected_primary_model_feature,expected_appendix_only,expected_residualization_control_set_id,observed_18d_candidate_inventory_row_found,observed_18d_lineage_row_found,observed_18d_pit_row_found,observed_18d_train_prior_row_found,observed_18d_recommended_family,observed_candidate_primary_allowed_after_lineage,observed_pit_primary_allowed,observed_candidate_appendix_only,observed_recommendation_eligible_residualization,observed_dedup_group_representative,observed_orthogonal_payoff_candidate,observed_residualization_control_set_id,observed_blocking_reason,replay_status,blocking_reason
M1,m1_close_location_episode_range,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_close_location_trailing60_range,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_episode_drawdown_pre_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_episode_recovery_ratio_to_high_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,dedup alias of m1_close_location_episode_range,pass,
M1,m1_failed_repair_count_low_to_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_path_linearity_r2_low_to_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,
M1,m1_path_transition_entropy_episode,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_pullback_from_episode_high_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_repair_path_efficiency_episode,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M1,m1_return_sign_entropy_trailing20,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed volatility/participation orthogonality,pass,
M1,m1_up_down_run_imbalance_20,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M2,m2_flow_concentration_top3_share_20,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M2,m2_flow_price_divergence_persistence_20,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M2,m2_high_amount_negative_bar_share_20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,
M2,m2_money_flow_persistence_trailing20,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M2,m2_money_flow_reversal_accel_5v20,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M2,m2_net_signed_money_flow_accel_5v20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,
M2,m2_net_signed_money_flow_curvature_5_10_20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,
M2,m2_net_signed_money_flow_trailing20,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M2,m2_positive_money_flow_share_accel_5v20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,
M2,m2_positive_money_flow_share_trailing20,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M2,m2_signed_flow_volatility_20,appendix_only,False,True,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,False,False,f2_extended_participation_money,failed f2_extended_participation_money orthogonality,pass,
M2,m2_turnover_compression_20_vs_60,primary_refresh,True,False,f2_extended_participation_money,True,True,True,True,True,True,True,False,True,True,True,f2_extended_participation_money,,pass,
M3,m3_asymmetric_range_position_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M3,m3_downside_crowding_to_episode_low,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,
