column_name,column_role,feature_family_id,raw_feature_name,model_ready_feature_name,source_artifact_alias,dtype,nullable,primary_raw_feature,primary_model_feature,appendix_only,target_column,metadata_column,forbidden_as_model_feature,preprocessing_fit_split,preprocessing_param_id,blocking_reason
step_id,row_key,,,,,object,False,False,False,False,False,True,True,,,
label_id,row_key,,,,,object,False,False,False,False,False,True,True,,,
threshold_id,row_key,,,,,object,False,False,False,False,False,True,True,,,
horizon_sessions,row_key,,,,,Int64,False,False,False,False,False,True,True,,,
instrument,row_key,,,,,object,False,False,False,False,False,True,True,,,
episode_cluster_id,row_key,,,,,object,False,False,False,False,False,True,True,,,
step_index,row_key,,,,,Int64,False,False,False,False,False,True,True,,,
step_start_date,row_key,,,,,object,False,False,False,False,False,True,True,,,
step_end_date,row_key,,,,,object,False,False,False,False,False,True,True,,,
cluster_split_bucket,split_metadata,,,,,object,False,False,False,False,False,True,True,,,
label_class,target,,,,ep18_target_contract,object,False,False,False,False,True,False,True,,,
continuation_positive,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
continuation_negative,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
continuation_neutral,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
y_payoff_h20,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
y_signed_max_drawdown_h20,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
continue_value,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
defend_value,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
continue_advantage,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
defend_advantage,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
o5_incremental,target,,,,ep18_target_contract,float64,False,False,False,False,True,False,True,,,
payoff_ordinal_state,target,,,,ep18_target_contract,object,False,False,False,False,True,False,True,,,
risk_state_dd08,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
risk_state_dd10,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
risk_state_dd12,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
binary_positive_negative,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
top30_yes_no,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
top20_yes_no,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
drawdown_dd10_yes_no,target,,,,ep18_target_contract,bool,False,False,False,False,True,False,True,,,
ret_5d,raw_feature,F1,ret_5d,mr_ret_5d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
ret_10d,raw_feature,F1,ret_10d,mr_ret_10d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
ret_20d,raw_feature,F1,ret_20d,mr_ret_20d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
