config_id,role,parameter,primary_value,sensitivity_value,one_factor_only,promotion_allowed,status
FACTOR_JUMP_WINDOW_QUARANTINE,non_primary_diagnostic_adaptation,registered_adaptation,disabled,registered_only,true,false,pass
LAST_TRANSITION_ONLY_ADAPTATION,non_primary_diagnostic_adaptation,registered_adaptation,disabled,registered_only,true,false,pass
M1_LIGHTGBM,project_baseline,bagging_fraction,1.0,,true,false,pass
M1_LIGHTGBM,project_baseline,bagging_seed,current_model_seed,,true,false,pass
M1_LIGHTGBM,project_baseline,data_random_seed,current_model_seed,,true,false,pass
M1_LIGHTGBM,project_baseline,deterministic,true,,true,false,pass
M1_LIGHTGBM,project_baseline,early_stopping_rounds,10,,true,false,pass
M1_LIGHTGBM,project_baseline,feature_fraction,1.0,,true,false,pass
M1_LIGHTGBM,project_baseline,feature_fraction_seed,current_model_seed,,true,false,pass
M1_LIGHTGBM,project_baseline,force_col_wise,true,,true,false,pass
M1_LIGHTGBM,project_baseline,lambda_l1,0.0,,true,false,pass
M1_LIGHTGBM,project_baseline,lambda_l2,0.0,,true,false,pass
M1_LIGHTGBM,project_baseline,learning_rate,0.05,,true,false,pass
M1_LIGHTGBM,project_baseline,max_boosting_rounds,100,,true,false,pass
M1_LIGHTGBM,project_baseline,max_depth,-1,,true,false,pass
M1_LIGHTGBM,project_baseline,min_data_in_leaf,20,,true,false,pass
M1_LIGHTGBM,project_baseline,num_leaves,31,,true,false,pass
M1_LIGHTGBM,project_baseline,num_threads,1,,true,false,pass
M1_LIGHTGBM,project_baseline,objective,regression_l2,,true,false,pass
M1_LIGHTGBM,project_baseline,seed,current_model_seed,,true,false,pass
M1_LIGHTGBM,project_baseline,verbosity,-1,,true,false,pass
PRIMARY_R2,primary,diffusion_steps,20,,true,true,pass
PRIMARY_R2,primary,joint_grid_allowed,false,,true,true,pass
PRIMARY_R2,primary,latent_dim,64,,true,true,pass
PRIMARY_R2,primary,learning_rate,0.001,,true,true,pass
PRIMARY_R2,primary,n_operator,4,,true,true,pass
S01,scheduled_one_factor_sensitivity,n_operator,4,2,true,false,pass
S02,scheduled_one_factor_sensitivity,n_operator,4,8,true,false,pass
S03,scheduled_one_factor_sensitivity,latent_dim,64,32,true,false,pass
S04,scheduled_one_factor_sensitivity,latent_dim,64,128,true,false,pass
S05,scheduled_one_factor_sensitivity,diffusion_steps,20,10,true,false,pass
S06,scheduled_one_factor_sensitivity,diffusion_steps,20,50,true,false,pass
TARGET_CS_NORMALIZATION,non_primary_diagnostic_adaptation,registered_adaptation,disabled,registered_only,true,false,pass
TARGET_ENCODER_STOP_GRADIENT,non_primary_diagnostic_adaptation,registered_adaptation,disabled,registered_only,true,false,pass
