record_type,family_id,contrast_id,terminal_state_id,priority,metric,margin,alpha,correction,evidence_unit,block_length,MDE,sigma,rho,n_required,status
confirmatory_power,forward_economic,,,,paired_daily_delta,,0.05,Holm,complete_decision_day,20,0.01,0.05,0.1,291,pass
confirmatory_power,forward_representation,,,,paired_daily_delta,,0.05,Holm,complete_decision_day,20,0.01,0.05,0.1,291,pass
contrast,historical_representation,C0,,,K1-M3,0.0,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
contrast,historical_representation,C1,,,R2-M3,0.005,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
contrast,historical_representation,C2a,,,K2-K1,0.0,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
contrast,historical_representation,C2b,,,K2-K1C,0.0,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
contrast,historical_representation,C3a,,,R1-K2,0.0,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
contrast,historical_representation,C3b,,,R2-K2,0.0,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
contrast,historical_representation,C4,,,R2-R1,0.0,0.05,Holm_one_sided,complete_decision_day,20,,,,252,pass
minimum_complete_day,forward_economic,,,,complete_day_count,,,,complete_decision_day,,,,,60,pass
minimum_complete_day,forward_representation,,,,complete_day_count,,,,complete_decision_day,,,,,60,pass
minimum_complete_day,historical_economic,,,,complete_day_count,,,,complete_decision_day,,,,,252,pass
minimum_complete_day,historical_representation,,,,complete_day_count,,,,complete_decision_day,,,,,252,pass
minimum_complete_day,validation_early,,,,complete_day_count,,,,complete_decision_day,,,,,80,pass
minimum_complete_day,validation_full,,,,complete_day_count,,,,complete_decision_day,,,,,200,pass
minimum_complete_day,validation_late,,,,complete_day_count,,,,complete_decision_day,,,,,80,pass
terminal_state,,,21_baseline_information_not_supported,3,,,,,,,,,,,pass
terminal_state,,,21_compute_or_dependency_contract_blocked,2,,,,,,,,,,,pass
terminal_state,,,21_forward_confirmation_not_supported,10,,,,,,,,,,,pass
terminal_state,,,21_forward_directional_not_confirmatory,9,,,,,,,,,,,pass
terminal_state,,,21_forward_executable_reaka_candidate_supported,13,,,,,,,,,,,pass
terminal_state,,,21_forward_interim_not_support,8,,,,,,,,,,,pass
terminal_state,,,21_forward_representation_supported_execution_failed,12,,,,,,,,,,,pass
terminal_state,,,21_forward_representation_supported_execution_unresolved,11,,,,,,,,,,,pass
terminal_state,,,21_historical_executable_candidate_only,7,,,,,,,,,,,pass
terminal_state,,,21_historical_representation_candidate_only,5,,,,,,,,,,,pass
terminal_state,,,21_historical_representation_not_supported,4,,,,,,,,,,,pass
terminal_state,,,21_paper_lineage_or_data_contract_blocked,1,,,,,,,,,,,pass
terminal_state,,,21_representation_supported_execution_failed,6,,,,,,,,,,,pass
