graph_id,node_id,node_role,input_nodes,output_shape,train_only,inference_present,teacher_value_allowed,status
source,y_source,source_input,,"[B,T,1]",false,true,false,pass
source,x_source,source_input,,"[B,T,157]",false,true,false,pass
source,H_y_source,return_encoder,y_source,"[B,T,64]",false,true,false,pass
source,H_x_source,feature_encoder,x_source,"[B,T,64]",false,true,false,pass
source,Z_source,gated_latent,H_y_source|H_x_source,"[B,T,64]",false,true,false,pass
source,Z_t,decision_latent,Z_source,"[B,64]",false,true,false,pass
train,y_teacher_shifted,teacher_input,,"[B,T,1]",true,false,true,pass
train,x_teacher_shifted,teacher_input,,"[B,T,157]",true,false,true,pass
train,Z_teacher_shifted,shared_teacher_encoder,y_teacher_shifted|x_teacher_shifted,"[B,T,64]",true,false,true,pass
shared,selector_source,adaptive_selector,Z_source|H_y_source,"[B,T,N]",false,true,false,pass
shared,K_codebook,koopman_codebook,,"[N,64,64]",false,true,false,pass
shared,K_selected,selected_operator,selector_source|K_codebook,"[B,T,64,64]",false,true,false,pass
shared,Z_hat_shifted,koopman_prediction,K_selected|Z_source,"[B,T,64]",false,true,false,pass
train,R_target_shifted,teacher_residual_target,Z_teacher_shifted|Z_hat_shifted,"[B,T,64]",true,false,true,pass
train,ddpm_x_s,ddpm_forward_noise,R_target_shifted|ddpm_epsilon,"[B,T,64]",true,false,true,pass
train,ddpm_epsilon,ddpm_noise_target,R_target_shifted,"[B,T,64]",true,false,true,pass
train,ddpm_epsilon_hat,ddpm_denoiser,ddpm_x_s|Z_source,"[B,T,64]",true,false,false,pass
train,R_hat_train_shifted,ddpm_x0_estimate,ddpm_x_s|ddpm_epsilon_hat,"[B,T,64]",true,false,false,pass
train,Z_tilde_train_shifted,train_corrected_latent,Z_hat_shifted|R_hat_train_shifted,"[B,T,64]",true,false,false,pass
inference,R_hat_inference_draws,ddpm_reverse_sampler,Z_source,"[B,8,T,64]",false,true,false,pass
inference,Z_tilde_inference_draws,inference_corrected_latent,Z_hat_shifted|R_hat_inference_draws,"[B,8,T,64]",false,true,false,pass
shared,R_hat_mlp_shifted,r1_residual_mlp,Z_source,"[B,T,64]",false,true,false,pass
shared,Z_tilde_mlp_shifted,r1_corrected_latent,Z_hat_shifted|R_hat_mlp_shifted,"[B,T,64]",false,true,false,pass
shared,decoded_source,decoder,Z_source,"[B,T]",false,true,false,pass
train,decoded_shifted_train,decoder,Z_tilde_train_shifted,"[B,T]",true,false,false,pass
inference,decoded_shifted_draws,decoder,Z_tilde_inference_draws,"[B,8,T]",false,true,false,pass
arm_M2,direct_score_M2,M2_direct_head,H_y_source,[B],false,true,false,pass
arm_M3,direct_score_M3,M3_direct_head,Z_source,[B],false,true,false,pass
arm_A0,direct_score_A0,A0_direct_head,Z_source,[B],false,true,false,pass
inference,score_draws_R2,last_shifted_decoder_index,decoded_shifted_draws,"[B,8]",false,true,false,pass
inference,score_next,arithmetic_draw_mean,score_draws_R2,[B],false,true,false,pass
