graph_id,tensor_id,producer,consumer,dtype,train_shape,inference_shape,train_only,broadcast_allowed,status
source,y_source,source_input,H_y_source,float32,"[B,T,1]","[B,T,1]",false,false,pass
source,x_source,source_input,H_x_source,float32,"[B,T,157]","[B,T,157]",false,false,pass
source,H_y_source,return_encoder,Z_source|selector_source|direct_score_M2,float32,"[B,T,64]","[B,T,64]",false,false,pass
source,H_x_source,feature_encoder,Z_source,float32,"[B,T,64]","[B,T,64]",false,false,pass
source,Z_source,gated_latent,Z_t|selector_source|Z_hat_shifted|ddpm_epsilon_hat|R_hat_inference_draws|R_hat_mlp_shifted|decoded_source|direct_score_M3|direct_score_A0,float32,"[B,T,64]","[B,T,64]",false,false,pass
source,Z_t,decision_latent,contract_output,float32,"[B,64]","[B,64]",false,false,pass
train,y_teacher_shifted,teacher_input,Z_teacher_shifted,float32,"[B,T,1]",,true,false,pass
train,x_teacher_shifted,teacher_input,Z_teacher_shifted,float32,"[B,T,157]",,true,false,pass
train,Z_teacher_shifted,shared_teacher_encoder,R_target_shifted,float32,"[B,T,64]",,true,false,pass
shared,selector_source,adaptive_selector,K_selected,float32,"[B,T,N]","[B,T,N]",false,false,pass
shared,K_codebook,koopman_codebook,K_selected,float32,"[N,64,64]","[N,64,64]",false,false,pass
shared,K_selected,selected_operator,Z_hat_shifted,float32,"[B,T,64,64]","[B,T,64,64]",false,false,pass
shared,Z_hat_shifted,koopman_prediction,R_target_shifted|Z_tilde_train_shifted|Z_tilde_inference_draws|Z_tilde_mlp_shifted,float32,"[B,T,64]","[B,T,64]",false,false,pass
train,R_target_shifted,teacher_residual_target,ddpm_x_s|ddpm_epsilon,float32,"[B,T,64]",,true,false,pass
train,ddpm_x_s,ddpm_forward_noise,ddpm_epsilon_hat|R_hat_train_shifted,float32,"[B,T,64]",,true,false,pass
train,ddpm_epsilon,ddpm_noise_target,ddpm_x_s,float32,"[B,T,64]",,true,false,pass
train,ddpm_epsilon_hat,ddpm_denoiser,R_hat_train_shifted,float32,"[B,T,64]",,true,false,pass
train,R_hat_train_shifted,ddpm_x0_estimate,Z_tilde_train_shifted,float32,"[B,T,64]",,true,false,pass
train,Z_tilde_train_shifted,train_corrected_latent,decoded_shifted_train,float32,"[B,T,64]",,true,false,pass
inference,R_hat_inference_draws,ddpm_reverse_sampler,Z_tilde_inference_draws,float32,,"[B,8,T,64]",false,false,pass
inference,Z_tilde_inference_draws,inference_corrected_latent,decoded_shifted_draws,float32,,"[B,8,T,64]",false,false,pass
shared,R_hat_mlp_shifted,r1_residual_mlp,Z_tilde_mlp_shifted,float32,"[B,T,64]","[B,T,64]",false,false,pass
shared,Z_tilde_mlp_shifted,r1_corrected_latent,contract_output,float32,"[B,T,64]","[B,T,64]",false,false,pass
shared,decoded_source,decoder,contract_output,float32,"[B,T]","[B,T]",false,false,pass
train,decoded_shifted_train,decoder,contract_output,float32,"[B,T]",,true,false,pass
inference,decoded_shifted_draws,decoder,score_draws_R2,float32,,"[B,8,T]",false,false,pass
arm_M2,direct_score_M2,M2_direct_head,contract_output,float32,[B],[B],false,false,pass
arm_M3,direct_score_M3,M3_direct_head,contract_output,float32,[B],[B],false,false,pass
arm_A0,direct_score_A0,A0_direct_head,contract_output,float32,[B],[B],false,false,pass
inference,score_draws_R2,last_shifted_decoder_index,score_next,float32,,"[B,8]",false,false,pass
inference,score_next,arithmetic_draw_mean,contract_output,float32,,[B],false,false,pass
