contract_id,field,frozen_value,selection_time,change_resets_clock,status
21F_STATIC_FIRST_COHORT,comparators,R2_REAKA_DIFFUSION|M1_LIGHTGBM_ALPHA158|M3_GATED_DUAL_PATH_LSTM,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,refit_arms,R2_REAKA_DIFFUSION|M1_LIGHTGBM_ALPHA158|M3_GATED_DUAL_PATH_LSTM,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,final_refit_cutoff,last_fully_resolved_preseal_decision_date,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,selected_train_steps,preholdout_validation_frozen,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,refit_early_stopping,false,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,transform_refit_count,1,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,forward_start,first_exchange_session_strictly_after_final_candidate_seal,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,minimum_complete_days,291,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,rolling_retrain,false,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,normalizer_refresh,false,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,comparator_replacement,false,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,version_splice,false,before_historical_holdout_access,true,pass
21F_STATIC_FIRST_COHORT,forward_module_attribution_authorized,false,before_historical_holdout_access,true,pass
