source_id,relative_path,file_n,row_n,date_min,date_max,instrument_n,root_hash,status
benchmark,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,1,6843,2017-01-03,2026-05-29,3,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,pass
executable_universe,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1,1140000,2017-01-03,2026-05-28,1803,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass
membership,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1,1140500,2017-01-03,2026-05-29,1804,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass
qfq_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4598,,,,4598,3be5179aa1250bfe8f7a91c7bae0552a35466aefa52b692538c953aa5a475714,pass
raw_ohlcv_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/raw,4598,,,,4598,10b627e887b75e4f4dbcae0b0ef9a24209f9068a11c3eaa75148e8477803d000,pass
security_master,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,1,4915,,,4915,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,pass
trading_calendar,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,1,8797,1990-12-19,2026-12-31,,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,pass
universe_intervals,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_intervals.csv,1,12849,,,1803,a2a95edb70f19eeb2d520dd226813733f2aef74e5d3afce822a9e48ac00dcda5,pass
