field_group,fit_split,center_rule,scale_rule,clip_lower,clip_upper,invalid_fill,indicator_direct_input,apply_splits,status
alpha158_features,original_train,median,IQR/1.349,-10.0,10.0,train_median,false,train|validation|historical_holdout,pass
return_sequence,none,none,raw_qfq_one_step_return,,,frozen_gap_policy,false,all,pass
