split,decision_date,feature_route_id,U_membership_n,membership_integrity_n,history_ready_n,sequence_ready_n,feature_ready_n,U_decision_n,invalid_n,layer_count_reconciled,support_status
historical_design_holdout,2024-01-02,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-01-03,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-01-04,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-05,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-01-08,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-09,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-10,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-11,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-12,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-15,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-16,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-17,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-01-18,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-01-19,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-01-22,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-01-23,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-01-24,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-01-25,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-01-26,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-01-29,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,493,493,493,7,true,ready
historical_design_holdout,2024-01-30,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-01-31,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-02-01,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-02-02,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-02-05,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-02-06,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-02-07,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-02-08,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-02-19,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-02-20,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-21,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-22,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-23,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-26,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-27,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-28,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-02-29,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-03-01,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-03-04,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-03-05,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-03-06,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-03-07,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-03-08,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,491,491,491,9,true,ready
historical_design_holdout,2024-03-11,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,492,492,492,8,true,ready
historical_design_holdout,2024-03-12,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-13,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-14,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-15,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,490,490,490,10,true,ready
historical_design_holdout,2024-03-18,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,491,490,490,490,10,true,ready
historical_design_holdout,2024-03-19,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-20,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-21,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-22,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,492,491,491,491,9,true,ready
historical_design_holdout,2024-03-25,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-03-26,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,493,493,493,7,true,ready
historical_design_holdout,2024-03-27,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,493,493,493,7,true,ready
historical_design_holdout,2024-03-28,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-03-29,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-04-01,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-04-02,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,493,492,492,492,8,true,ready
historical_design_holdout,2024-04-03,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-04-08,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,493,493,493,7,true,ready
historical_design_holdout,2024-04-09,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,493,493,493,7,true,ready
historical_design_holdout,2024-04-10,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,493,493,493,7,true,ready
historical_design_holdout,2024-04-11,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-04-12,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-04-15,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-04-16,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,496,496,496,496,4,true,ready
historical_design_holdout,2024-04-17,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-04-18,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-04-19,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-04-22,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-04-23,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-04-24,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-04-25,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-04-26,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-04-29,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,496,496,496,496,4,true,ready
historical_design_holdout,2024-04-30,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-06,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,496,496,496,496,4,true,ready
historical_design_holdout,2024-05-07,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-08,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-05-09,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,494,494,494,6,true,ready
historical_design_holdout,2024-05-10,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-13,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-14,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,496,496,496,496,4,true,ready
historical_design_holdout,2024-05-15,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-16,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-17,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-20,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-21,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,494,493,493,493,7,true,ready
historical_design_holdout,2024-05-22,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-23,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-24,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,493,493,493,7,true,ready
historical_design_holdout,2024-05-27,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-05-28,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-29,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-30,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,495,495,495,5,true,ready
historical_design_holdout,2024-05-31,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-06-03,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-06-04,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-06-05,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
historical_design_holdout,2024-06-06,ALPHA158_NO_VWAP_REGISTERED_ADAPTATION,500,500,495,494,494,494,6,true,ready
