scope,instrument,year,board_bucket,qfq_key_n,raw_key_n,overlap_key_n,overlap_rate,base_row_n,factor_pass_n,factor_fail_n,factor_unknown_n,factor_pass_rate,auditable_row_n,auditable_row_rate,in_range_n,out_of_range_n,unknown_n,range_pass_rate,coverage_threshold,range_threshold,status
instrument_year,SH600008,2018,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2019,main_board,244,244,244,1,244,3,241,0,0.0122950819672,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2020,main_board,237,237,237,1,237,1,236,0,0.0042194092827,237,1,237,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2021,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2022,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2023,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2024,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2025,main_board,243,243,243,1,243,59,184,0,0.242798353909,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600008,2026,main_board,95,95,95,1,95,93,2,0,0.978947368421,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2017,main_board,244,244,244,1,244,94,150,0,0.385245901639,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2018,main_board,243,243,243,1,243,178,65,0,0.732510288066,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2019,main_board,244,244,244,1,244,223,21,0,0.91393442623,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2020,main_board,243,243,243,1,243,235,8,0,0.9670781893,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2021,main_board,233,233,233,1,233,172,61,0,0.738197424893,233,1,233,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2022,main_board,241,241,241,1,241,200,41,0,0.829875518672,241,1,241,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2023,main_board,242,242,242,1,242,150,92,0,0.619834710744,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2024,main_board,242,242,242,1,242,88,154,0,0.363636363636,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2025,main_board,243,243,243,1,243,159,84,0,0.654320987654,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600009,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2017,main_board,244,244,244,1,244,4,240,0,0.016393442623,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2018,main_board,234,234,234,1,234,17,217,0,0.0726495726496,234,1,234,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2019,main_board,244,244,244,1,244,102,142,0,0.418032786885,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2020,main_board,243,243,243,1,243,77,166,0,0.316872427984,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2021,main_board,243,243,243,1,243,28,215,0,0.115226337449,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2022,main_board,242,242,242,1,242,145,97,0,0.599173553719,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2023,main_board,242,242,242,1,242,242,0,0,1,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2024,main_board,242,242,242,1,242,242,0,0,1,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2025,main_board,243,243,243,1,243,243,0,0,1,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600010,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2017,main_board,244,244,244,1,244,1,243,0,0.00409836065574,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2018,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2019,main_board,244,244,244,1,244,5,239,0,0.0204918032787,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2020,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2021,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2022,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2023,main_board,242,242,242,1,242,2,240,0,0.00826446280992,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2024,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2025,main_board,243,243,243,1,243,119,124,0,0.489711934156,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600011,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2017,main_board,244,244,244,1,244,5,239,0,0.0204918032787,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2018,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2019,main_board,244,244,244,1,244,1,243,0,0.00409836065574,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2020,main_board,243,243,243,1,243,5,238,0,0.0205761316872,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2021,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2022,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2023,main_board,232,232,232,1,232,2,230,0,0.00862068965517,232,1,232,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2024,main_board,242,242,242,1,242,5,237,0,0.0206611570248,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2025,main_board,243,243,243,1,243,111,132,0,0.456790123457,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600012,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2017,main_board,244,244,244,1,244,4,240,0,0.016393442623,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2018,main_board,243,243,243,1,243,4,239,0,0.0164609053498,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2019,main_board,244,244,244,1,244,1,243,0,0.00409836065574,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2020,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2021,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2022,main_board,242,242,242,1,242,2,240,0,0.00826446280992,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2023,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2024,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2025,main_board,243,243,243,1,243,16,227,0,0.0658436213992,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600015,2026,main_board,95,95,95,1,95,84,11,0,0.884210526316,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2017,main_board,244,244,244,1,244,0,244,0,0,244,1,244,0,0,1,0.9,0.995,pass
