split,decision_day_n,source_row_n,quarantine_row_n,remaining_row_n,remaining_day_n,route_status
train,1215,570042,570042,0,1215,sensitivity_ready
validation,242,117714,117714,0,242,sensitivity_ready
historical_design_holdout,580,286145,286145,0,579,sensitivity_ready
