comparison,split,winner_count,near_winner_control_count,winner_mfe_120_mean,near_winner_mfe_120_mean,claim_status,sequence_id,winner_sequence_rate,near_winner_sequence_rate,lift,absolute_rate_difference
winner_vs_near_winner_control,all,866,1895,0.8487121722295545,0.39576403727851184,diagnostic,,,,,
winner_vs_near_winner_control,train,285,490,0.8184702280810204,0.40530226088268234,diagnostic,,,,,
winner_vs_near_winner_control,validation,169,295,0.7176489815699811,0.397780918533865,diagnostic,,,,,
winner_vs_near_winner_control,robustness,412,1110,0.9233933210251859,0.39101745211060857,diagnostic,,,,,
winner_vs_near_winner_sequence,all,851,1895,,,diagnostic,S1_context_to_repair_v0,0.9353701527614571,0.9498680738786279,0.9847369108238674,-0.014497921117170853
winner_vs_near_winner_sequence,train,271,490,,,diagnostic,S1_context_to_repair_v0,0.940959409594096,0.9591836734693877,0.9810002355342703,-0.018224263875291746
winner_vs_near_winner_sequence,validation,169,295,,,diagnostic,S1_context_to_repair_v0,0.9585798816568047,0.9864406779661017,0.9717562374184103,-0.027860796309296942
winner_vs_near_winner_sequence,robustness,411,1110,,,diagnostic,S1_context_to_repair_v0,0.9221411192214112,0.936036036036036,0.9851555749141159,-0.013894916814624847
winner_vs_near_winner_sequence,all,851,1895,,,diagnostic,S2_repair_money_vwap_v0,0.8507638072855465,0.837467018469657,1.0158773880315757,0.013296788815889471
winner_vs_near_winner_sequence,train,271,490,,,diagnostic,S2_repair_money_vwap_v0,0.8450184501845018,0.8489795918367347,0.9953342321884757,-0.003961141652232825
winner_vs_near_winner_sequence,validation,169,295,,,diagnostic,S2_repair_money_vwap_v0,0.893491124260355,0.8813559322033898,1.013768775603095,0.012135192056965227
winner_vs_near_winner_sequence,robustness,411,1110,,,diagnostic,S2_repair_money_vwap_v0,0.8369829683698297,0.8207207207207208,1.0198145937327232,0.016262247649108885
winner_vs_near_winner_sequence,all,851,1895,,,diagnostic,S3_repair_rank_persistence_v0,0.5734430082256169,0.23693931398416887,2.4202104690145747,0.336503694241448
winner_vs_near_winner_sequence,train,271,490,,,diagnostic,S3_repair_rank_persistence_v0,0.5904059040590406,0.2857142857142857,2.066420664206642,0.3046916183447549
winner_vs_near_winner_sequence,validation,169,295,,,diagnostic,S3_repair_rank_persistence_v0,0.6982248520710059,0.36610169491525424,1.9071882533420996,0.3321231571557517
winner_vs_near_winner_sequence,robustness,411,1110,,,diagnostic,S3_repair_rank_persistence_v0,0.5109489051094891,0.1810810810810811,2.821658132694193,0.329867824028408
winner_vs_near_winner_sequence,all,851,1895,,,diagnostic,S4_contraction_expansion_v0,0.927144535840188,0.9102902374670184,1.018515301691105,0.01685429837316954
winner_vs_near_winner_sequence,train,271,490,,,diagnostic,S4_contraction_expansion_v0,0.948339483394834,0.9061224489795918,1.0465908713141185,0.04221703441524216
winner_vs_near_winner_sequence,validation,169,295,,,diagnostic,S4_contraction_expansion_v0,0.9349112426035503,0.9186440677966101,1.0177078102141968,0.016267174806940177
winner_vs_near_winner_sequence,robustness,411,1110,,,diagnostic,S4_contraction_expansion_v0,0.9099756690997567,0.9099099099099099,1.0000722700007227,6.5759189846748e-05
winner_vs_near_winner_sequence,all,851,1895,,,diagnostic,S5_money_no_distribution_v0,0.9917743830787309,0.9941952506596307,0.9975649978419294,-0.002420867580899766
winner_vs_near_winner_sequence,train,271,490,,,diagnostic,S5_money_no_distribution_v0,0.988929889298893,0.9897959183673469,0.9991250427968198,-0.0008660290684538996
winner_vs_near_winner_sequence,validation,169,295,,,diagnostic,S5_money_no_distribution_v0,0.9940828402366864,0.9966101694915255,0.9974640743871512,-0.002527329254839117
winner_vs_near_winner_sequence,robustness,411,1110,,,diagnostic,S5_money_no_distribution_v0,0.9927007299270073,0.9954954954954955,0.9971925884334643,-0.0027947655684882333
winner_vs_near_winner_sequence,all,851,1895,,,diagnostic,S6_continuation_discriminator_v0,0.7920094007050529,0.5910290237467019,1.3400516199429242,0.20098037695835103
winner_vs_near_winner_sequence,train,271,490,,,diagnostic,S6_continuation_discriminator_v0,0.8081180811808119,0.5346938775510204,1.5113658770175489,0.2734242036297915
winner_vs_near_winner_sequence,validation,169,295,,,diagnostic,S6_continuation_discriminator_v0,0.7928994082840237,0.7830508474576271,1.0125771664233203,0.009848560826396624
winner_vs_near_winner_sequence,robustness,411,1110,,,diagnostic,S6_continuation_discriminator_v0,0.781021897810219,0.5648648648648649,1.3826703454056508,0.21615703294535416
