anchor_family,source_group,split,row_count,anchor_present_count,missing_event_absent_count,anchor_occurrence_rate,anchor_year_coverage,claim_status
first_ema60_reclaim,winner_reference,robustness,412,395,17,0.9587378640776699,3,diagnostic_candidate
first_ema60_reclaim,winner_reference,train,285,276,9,0.968421052631579,5,diagnostic_candidate
first_ema60_reclaim,winner_reference,validation,169,163,6,0.9644970414201184,3,diagnostic_candidate
first_ema60_reclaim,control_candidate_pool,robustness,907,898,9,0.9900771775082691,3,diagnostic_candidate
first_ema60_reclaim,control_candidate_pool,train,1082,1055,27,0.9750462107208873,5,diagnostic_candidate
first_ema60_reclaim,control_candidate_pool,validation,1039,1032,7,0.9932627526467758,3,diagnostic_candidate
first_ema60_reclaim,matched_low_controls,robustness,1914,1888,26,0.9864158829676071,3,diagnostic_candidate
first_ema60_reclaim,matched_low_controls,train,1229,1222,7,0.9943043124491456,5,diagnostic_candidate
first_ema60_reclaim,matched_low_controls,validation,797,794,3,0.9962358845671268,3,diagnostic_candidate
