sequence_id,sequence_family,shared_axis,anchor_family,relative_window,required_states,forbidden_states,order_constraints,split,regime_bucket,duration_bucket,winner_count,control_count,winner_sequence_rate,control_sequence_rate,lift,odds_ratio,absolute_rate_difference,train_lift,validation_lift,robustness_lift,split_stability,near_winner_lift,false_repair_lift,feature_non_missing_coverage,multiple_test_family,claim_status
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,all,all,851,3940,0.9353701527614571,0.9030456852791878,1.035794941506504,1.542613992382153,0.03232446748226925,1.080784219057144,1.082136212012002,0.9904478687933675,not_stable_or_sample_blocked,0.9847369108238674,1.0476290561126191,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,train,all,all,271,1229,0.940959409594096,0.870626525630594,1.080784219057144,2.3071773314650477,0.07033288396350201,1.080784219057144,,,not_stable_or_sample_blocked,0.9810002355342703,1.1033120659274636,1.0,S1_context_to_repair,sequence_regime_conditional_candidate
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,validation,all,all,169,797,0.9585798816568047,0.8858218318695107,1.082136212012002,2.8060863411181884,0.07275804978729405,,1.082136212012002,,not_stable_or_sample_blocked,0.9717562374184103,1.1189648424009393,1.0,S1_context_to_repair,sequence_regime_conditional_candidate
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,robustness,all,all,411,1914,0.9221411192214112,0.9310344827586207,0.9904478687933675,0.8679900744416873,-0.008893363537209487,,,0.9904478687933675,not_stable_or_sample_blocked,0.9851555749141159,0.982827773937427,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,risk_off,all,451,2137,0.9645232815964523,0.8890968647636874,1.0848348698797992,3.2983744309711165,0.07542641683276485,1.1098703562479573,1.1162162162162161,1.050708969793749,same_positive_sign_all_splits,1.0142135334542273,1.1159265377514334,1.0,S1_context_to_repair,sequence_regime_conditional_candidate
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,risk_on,all,199,879,0.8944723618090452,0.9237770193401593,0.9682773473277718,0.6897316636851522,-0.02930465753111411,0.9980355665839536,0.9613636363636364,0.9556776281134773,not_stable_or_sample_blocked,0.9537601552430742,0.9528075158400698,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,transition,all,201,924,0.9104477611940298,0.9155844155844156,0.9943897533608552,0.9198288660781279,-0.0051366543903857975,1.0777310924369747,1.0114747131321717,0.8992223581889235,not_stable_or_sample_blocked,0.9502487562189055,1.007486080568942,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,all,fast,103,478,0.9320388349514563,0.9225941422594143,1.010237104550558,1.0928652321630805,0.009444692692042067,1.0641627543035994,0.9392201834862385,1.02367941712204,not_stable_or_sample_blocked,0.9895720963682129,1.0097087378640777,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,all,long,541,2553,0.944547134935305,0.8922835879357619,1.0585727987224904,2.0277684844429573,0.052263546999543053,1.0921364207046707,1.1306276915046327,1.0140977443609023,same_positive_sign_all_splits,1.001023523419305,1.0739830093032852,1.0,S1_context_to_repair,sequence_regime_conditional_candidate
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,all,all,medium,207,909,0.9130434782608695,0.922992299229923,0.9892211224542674,0.8602128036315053,-0.009948820969053473,1.0568949771689498,1.0627062706270627,0.8919254658385093,not_stable_or_sample_blocked,0.9379652605459057,0.9948307605155077,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,robustness,risk_off,all,197,939,0.9746192893401016,0.9275825346112886,1.050708969793749,2.751004016064257,0.04703675472881297,,,1.050708969793749,not_stable_or_sample_blocked,1.0444670050761422,1.0569814828054622,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,robustness,risk_on,all,137,635,0.8759124087591241,0.9165354330708662,0.9556776281134773,0.6324218270999387,-0.04062302431174203,,,0.9556776281134773,not_stable_or_sample_blocked,0.9508932375244966,0.9363797348075844,1.0,S1_context_to_repair,no_claim
S1_context_to_repair_v0,S1_context_to_repair,shared_axis_low,first_ema60_reclaim,0:+60,market_not_missing -> ema60_reclaim,,context observed at day 0 before reclaim in +60 sessions,robustness,transition,all,77,340,0.8701298701298701,0.9676470588235294,0.8992223581889235,0.22436592239323652,-0.09751718869365933,,,0.8992223581889235,not_stable_or_sample_blocked,0.8988154702440416,0.8881077600085864,1.0,S1_context_to_repair,sequence_regime_conditional_candidate
