datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-01-02,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.02910250425338745
2025-01-03,999565.6014993145,-3.3094238460762426e-16,868596.001583718,0.868596001583718,434.3985006851327,0.00043439850068513274,868596.0015837175,130969.59991559699,-0.011839091777801514
2025-01-06,999647.2901593104,0.00047516564530600795,1311071.0539643464,0.4426673464122123,827.6690747513318,0.0003934414844571547,967479.9174466381,32167.372712672313,-0.0016410350799560547
2025-01-07,1018485.5583338521,0.01917318432121911,1640159.4372465576,0.3292044969478839,1155.8226506413455,0.0003282693597235851,988515.9539814643,29969.604352387887,0.007199883460998535
2025-01-08,1015833.7093483981,-0.002240066016643752,2008922.1668792327,0.3620696696337421,1526.1967484291968,0.00036365179138499415,983011.7427834452,32821.96656495298,-0.0018152594566345215
2025-01-09,1017774.0577583753,0.0023116954401798382,2422811.3287241296,0.40743790842537025,1934.1464923337,0.0004015910676622267,997238.8768181123,20535.180940263002,-0.0024644136428833008
2025-01-10,998657.112898554,-0.018423053764540422,2786812.44443047,0.357644324820034,2300.5851659180344,0.0003600393140216281,973613.2548758861,25043.858022667777,-0.012539029121398926
2025-01-13,1000611.2483908504,0.00235306484618336,3182542.077889919,0.396261768276864,2696.354619374165,0.0003963016418192115,975883.5198282752,24727.72856257521,-0.002670586109161377
2025-01-14,1035043.2669602784,0.03480348643782932,3572959.040839223,0.39017846698921277,3089.096062856591,0.0003925015275553014,1006059.318774943,28983.948185335365,0.02633357048034668
2025-01-15,1024189.5614479603,-0.010142406269693587,3924241.836275589,0.33938947930941626,3444.972254952593,0.0003438273581945437,986374.6961354492,37814.86531251113,-0.006416440010070801
2025-01-16,1029431.9942023659,0.005502568877644214,4316105.734954661,0.38260876055509613,3838.2131061786736,0.00038395319189753446,989256.4646470641,40175.52955530178,0.0011481046676635742
2025-01-17,1030723.7296447054,0.0016479592728183728,4722371.439100676,0.39465035712320373,4242.939664420813,0.00039315521619835914,994031.2184553982,36692.51118930723,0.0031467676162719727
2025-01-20,1035423.1008719578,0.004980869530720963,5145402.234924052,0.41042112804485065,4677.468856746784,0.00042157678127363477,976168.3258697845,59254.77500217339,0.004546523094177246
2025-01-21,1040970.216237616,0.00576775145444255,5564682.057243411,0.4049357426604377,5102.416587106246,0.00041040974457842613,970804.5728855957,70165.64335202024,0.0007674694061279297
2025-01-22,1042002.2751686093,0.001387793825581699,5981536.79253919,0.40044828256702514,5515.0096948219425,0.0003963543829399211,980772.4800844713,61229.795084138,-0.009288132190704346
2025-01-23,1035016.0440774916,-0.0063101121015945736,6406748.076210973,0.40807135819639034,5926.089619509141,0.0003945096229474935,1002460.0468872159,32555.99719027574,0.0017715692520141602
2025-01-24,1049309.5937656057,0.014204823067157446,6811722.803791402,0.3912738646881387,6334.759709185057,0.00039484420750227387,1009771.5424740354,39538.05129157031,0.007655620574951172
2025-01-27,1041653.4641957397,-0.006899082849988051,7227252.635653453,0.3960030808170347,6751.615456374833,0.0003972666881790596,999880.4379959072,41773.02619983251,-0.004118025302886963
2025-02-05,1038168.3648889642,-0.0029553678196326556,7636798.756853107,0.39316925952515774,7158.245635857357,0.0003903699199968418,1002633.8523028736,35534.512586090634,-0.005762279033660889
2025-02-06,1056936.546344089,0.018494450397833016,8072040.0046826275,0.41923955935227397,7590.417509770846,0.0004162830312785642,1027972.9534639779,28963.59288011113,0.0125809907913208
2025-02-07,1070326.9031441316,0.013046453558791068,8465251.184076656,0.3720291258298651,7989.33427619547,0.0003774273562632166,1030351.0529692468,39975.850174884894,0.012977838516235352
2025-02-10,1074061.6087093086,0.003877350842026296,8878932.087332105,0.3864995844169142,8404.661630167862,0.00038803785343744066,1031208.1844545106,42853.42425479808,0.0021474361419677734
2025-02-11,1069473.4052193975,-0.0038854366675851026,9288313.508627178,0.3811526433637483,8819.666762354316,0.00038638857289123514,1015787.5643140173,53685.840905380144,-0.004595398902893066
2025-02-12,1085171.2946536974,0.01506521801943177,9698367.22760205,0.3834164711096775,9233.627343668742,0.0003870695421636073,1024085.689650532,61085.60500316539,0.009458065032958984
2025-02-13,1066214.4556666976,-0.0170840061492307,10111080.504823044,0.38032085741145627,9651.39325983616,0.00038497693242128816,995441.3386868569,70773.11697984059,-0.003755807876586914
2025-02-14,1076138.1186911988,0.009725830937597503,10579455.514613653,0.43928780678342666,10097.551774371832,0.00041845100876698483,1050244.1507357713,25893.967955427503,0.008672952651977539
2025-02-17,1085336.6602792388,0.008945248215442724,10997722.18166396,0.3886737768930668,10525.332772124098,0.0003975149567906159,1040841.8119176498,44494.84836158897,0.002129673957824707
2025-02-18,1066650.3927013148,-0.016825699959134997,11416103.900400441,0.3854856599323185,10950.051349540065,0.0003913242710392674,1009906.5455581677,56743.84714314713,-0.008769094944000244
2025-02-19,1083247.4138001457,0.015969388013508997,11856715.831719344,0.4130799879077945,11386.784246518135,0.0004094433377294643,1034698.3682356353,48549.045564510496,0.006996750831604004
2025-02-20,1088250.7666870954,0.005008271368611989,12290401.24599108,0.4003567502186049,11808.628367226722,0.00038942545842663367,1063806.152369579,24444.61431751637,-0.002858757972717285
2025-02-21,1111244.4731423766,0.021506077757027346,12695536.013973344,0.37228070990990014,12218.927519462783,0.00037702629283240744,1076881.3894695076,34363.083672869114,0.012611150741577148
2025-02-24,1114686.0695160115,0.003509476750120838,13144918.858947448,0.4043960225091961,12677.217788021355,0.00041241174164189027,1062966.428942769,51719.6405732425,-0.0021935701370239258
2025-02-25,1108535.135963269,-0.005117682017959388,13605818.659298899,0.413479465614538,13123.542487131905,0.00040040394449743206,1086412.0225709446,22123.113392324398,-0.011100590229034424
2025-02-26,1113999.7366902793,0.005305313773787396,13989467.323588043,0.3460861562640238,13540.068485674834,0.00037574451637113537,1026538.4807889311,87461.25590134825,0.008734822273254395
2025-02-27,1104171.8575107276,-0.008394634032502412,14485682.709037703,0.44543581933324977,14016.327563407622,0.00042752171481455216,1057099.4761208713,47072.381389856295,0.0020644664764404297
2025-02-28,1067150.460761785,-0.033159860245772034,14881857.55392534,0.3587981727597939,14423.539829979934,0.0003687942812546791,998410.4482691373,68740.01249264777,-0.019673526287078857
2025-03-03,1061619.0251184222,-0.004820113964429852,15256410.089389864,0.35098381084627095,14811.188635277116,0.00036325599767858297,967074.1217657594,94544.90335266292,-0.0004048943519592285
2025-03-04,1065775.2055991134,0.0042920714971914015,15667587.605427135,0.3873117439576821,15211.55291317288,0.0003771261332200632,993257.1428073659,72518.06279174748,-0.0008366107940673828
2025-03-05,1076378.0144261108,0.010350734010632152,16106647.501622515,0.4119629485549605,15640.299754458687,0.000402286372429533,1024914.8082947975,51463.20613131313,0.004465699195861816
2025-03-06,1092999.1332103373,0.015821429649206662,16512911.000714755,0.37743570906067436,16049.020001427676,0.00037971813014678243,1037031.1515725021,55967.981637835226,0.013751506805419922
2025-03-07,1088381.8510602522,-0.003820724429817896,16959800.775617965,0.40886562607841537,16490.25366148624,0.0004036907685027897,1044167.332771771,44214.51828848112,-0.003089606761932373
2025-03-10,1090635.5837998458,0.002477039736431221,17399584.3440695,0.4040710234400893,16932.48601537945,0.00040632095570355926,1041965.726981913,48669.85681793287,-0.003856956958770752
2025-03-11,1089049.9300414342,-0.0010726561500546497,17827263.539703067,0.392137577378051,17348.26280735963,0.00038122430457622453,1064600.6573222408,24449.272719193425,0.0032106637954711914
2025-03-12,1085157.2773530614,-0.0031903515217060006,18226501.932031013,0.36659328586776196,17766.46339421101,0.00038400497104431756,1023201.8161738627,61955.46117919869,-0.0035987496376037598
2025-03-13,1071898.0662541164,-0.011820502528368195,18666567.104017854,0.4055312360437346,18198.570152527,0.00039819735565889294,1026291.5391749461,45606.5270791702,-0.003985702991485596
2025-03-14,1094840.5800168747,0.021822540949829695,19106721.557290457,0.4106308865830675,18647.595834642372,0.00041890707358447607,1031940.6209342799,62899.95908259493,0.02428114414215088
