artifact_id,required_fact,expected_value,observed_value,contract_gate,blocking_reason
entry_universe_19b0_decision,decision_state,19B0_candidate_family_eligible_for_19B,19B0_candidate_family_eligible_for_19B,pass,
entry_universe_19b0_decision,next_allowed_requirement,requirement_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.md,requirement_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.md,pass,
entry_universe_19b0_decision,N_family_brought_to_robustness,2,2,pass,
entry_universe_19b0_decision,N_tested_family_cell_pairs,2,2,pass,
entry_universe_19b0_decision,selected_residual_alpha_cell_pair_n,0,0,pass,
entry_universe_19b0_decision,selected_positive_beta_exposure_cell_pair_n,2,2,pass,
entry_universe_19b0_decision,validation_outcome_read,False,False,pass,
entry_universe_19b0_decision,robustness_outcome_used_for_selection,False,False,pass,
robustness_test_manifest,frozen_cell_set,"[('B2_relative_strength_breakout', 'B2-relative-strength-breakout__182b3d0f30f5'), ('B5_recent_high_close_plus_amount_expansion', 'B5-recent-high-close-plus-amount-expansion__25d72c708fc1')]","[('B2_relative_strength_breakout', 'B2-relative-strength-breakout__182b3d0f30f5'), ('B5_recent_high_close_plus_amount_expansion', 'B5-recent-high-close-plus-amount-expansion__25d72c708fc1')]",pass,
robustness_test_manifest,B2_relative_strength_breakout:promotion_claim_type,positive_beta_exposure_candidate,positive_beta_exposure_candidate,pass,
robustness_test_manifest,B2_relative_strength_breakout:residual_alpha_claim_allowed,False,False,pass,
robustness_test_manifest,B2_relative_strength_breakout:validation_split_outcome_read_allowed_in_19B,False,False,pass,
robustness_test_manifest,B5_recent_high_close_plus_amount_expansion:promotion_claim_type,positive_beta_exposure_candidate,positive_beta_exposure_candidate,pass,
robustness_test_manifest,B5_recent_high_close_plus_amount_expansion:residual_alpha_claim_allowed,False,False,pass,
robustness_test_manifest,B5_recent_high_close_plus_amount_expansion:validation_split_outcome_read_allowed_in_19B,False,False,pass,
