artifact_id,artifact_path,required_flag,exists,row_count_if_tabular,source_manifest_hash,observed_file_hash,hash_verified,input_artifact_gate,blocking_reason
requirement_19b,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/requirement_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.md,True,True,,,33f0a1353108568d29d288453f4255aa6dd65b4243c12790dc7fc55f047efd26,True,pass,
config_19b,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/configs/config_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.yaml,True,True,,,f790a34ef9fb66b07da8bc39b1bfdc3ce878cf304e08ad6cd9c0f8d794b580cf,True,pass,
nineteen_a_decision,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_universe_preflight_decision.csv,True,True,1.0,,10a86f073207bd42ae16048fdd1604e6cbcea12c6a79c35b0c05f121a1e3456b,True,pass,
nineteen_a_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/manifest_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,True,True,,,e3f54ca404ae0cac81f438ab61eb255a71c2c8f53a7b48e43039c3124035875c,True,pass,
nineteen_a_output_hashes,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/output_hashes_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,True,True,,,e0989e06452a44d1f15c2d965b7ce04ffa77ccf848fa4be7a823510e5de8f18b,True,pass,
nineteen_a_baseline_budget_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/baseline_budget_freeze.csv,True,True,9.0,,a80475041a35083802cad297b335a26204c97d1e1804c10d8445e2183a6efc03,True,pass,
nineteen_a_baseline_matching_spec,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/baseline_matching_spec.csv,True,True,6.0,,6879b6947fcd1dab2a6c1a2cb881c4487cdc04bd1cec69505be8322c9f9783ef,True,pass,
nineteen_a_primary_metric_and_margin_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/primary_metric_and_margin_freeze.csv,True,True,1.0,,ba444539087c726246414a87a5514abcce7f759270777fac661b17abee6444bb,True,pass,
nineteen_a_multiple_testing_correction_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/multiple_testing_correction_freeze.csv,True,True,1.0,,100edafe9085105ca93b5cf4a639372f24263848ae6a58d8e8bacc8c36b358b8,True,pass,
nineteen_a_validation_stress_rule_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/validation_stress_rule_freeze.csv,True,True,1.0,,09ad8086dcabb4a7d9c7fb008b9f4e9c224b25c2ebca98cb9975588b9557de64,True,pass,
nineteen_a_split_construction_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/split_construction_freeze.csv,True,True,3.0,,ac041fd8b2ffd8c0f70d2fa828f8e4466e9468b1cbf9332e7144b96a0d86b48c,True,pass,
nineteen_b0_decision,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/entry_universe_19b0_decision.csv,True,True,1.0,,c54470ec7d9eec66c0c7b3e0b5d7eeca5e83b24157c4209a0e1960fb7e50517a,True,pass,
nineteen_b0_manifest,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B0_fast_rule_grid_enrichment_scan/manifest_19b0_fast_rule_grid_enrichment_scan.json,True,True,,,18e22423fb9a5d512f6082aa9f5d9613b972aa71f0e245dda7076c6e395f27b4,True,pass,
