family_id,grid_cell_id,parameter_hash,split,row_scope,row_key,instrument_id,decision_date,MFE_120,MAE_20,forward_big_winner_120d,fast_fail_flag,false_repair_flag,diagnostic_only_flag,blocking_reason
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600000_2025-05-13,SH600000,2025-05-13,0.23367697594501702,-0.002577319587628968,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600000_2025-07-04,SH600000,2025-07-04,0.009135628952916308,-0.11595221363316943,False,True,True,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600007_2024-09-18,SH600007,2024-09-18,0.2642418930762489,-0.051709027169149824,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600010_2025-07-24,SH600010,2025-07-24,0.1853281853281854,-0.06177606177606165,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600010_2025-08-08,SH600010,2025-08-08,0.17175572519083948,-0.08778625954198471,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600011_2024-01-15,SH600011,2024-01-15,0.1990049751243783,-0.07338308457711429,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600012_2024-08-01,SH600012,2024-08-01,0.19344042838018738,-0.07429718875502,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600012_2024-08-16,SH600012,2024-08-16,0.22458791208791196,-0.03434065934065933,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600016_2025-06-12,SH600016,2025-06-12,0.1826086956521742,-0.032608695652173836,False,False,False,False,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,robustness,candidate_primary_denominator,SH600021_2024-05-28,SH600021,2024-05-28,0.046231155778894584,-0.08542713567839189,False,False,False,False,
