contrast_id,left_arm,right_arm,fold,complete_day_n,observed_paired_mean_delta,bootstrap_replicate_n,mean_block_length,bootstrap_seed,one_sided_p_value,holm_family_size,holm_order,holm_adjusted_p_value,status,reason
P1,R2_REAKA_DIFFUSION,M1_LIGHTGBM_ALPHA158,validation_late,103,-0.0218980345645101,5000,20,20260715,0.9334133173365327,2,2,1.0,pass,
P2,R2_REAKA_DIFFUSION,M3_GATED_DUAL_PATH_LSTM,validation_late,103,-0.012986501641739168,5000,20,20260715,0.8942211557688462,2,1,1.0,pass,
