arm_id,decision_date,U_t_decision_n,topk_n,topk_instrument_list_json,top30_gross_close_to_close_return,equal_weight_gross_close_to_close_return,top30_minus_equal_weight,score_coverage_rate,status
M1_LIGHTGBM_ALPHA158,2023-07-03,485,30,"[""SZ300212"",""SH601127"",""SZ002624"",""SZ300229"",""SZ300474"",""SZ300496"",""SZ000977"",""SH600536"",""SH600161"",""SH600166"",""SH600406"",""SH600517"",""SH600660"",""SH600690"",""SH600741"",""SH600760"",""SH601799"",""SZ000625"",""SZ000733"",""SZ001289"",""SZ002179"",""SZ002444"",""SZ300034"",""SZ300395"",""SZ301039"",""SH600129"",""SH603000"",""SH603444"",""SZ002230"",""SZ002410""]",0.011582558278072004,0.0021765943118263057,0.009405963966245698,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-04,485,30,"[""SH603290"",""SH603596"",""SZ002920"",""SH600118"",""SZ002602"",""SZ300212"",""SH600406"",""SH600418"",""SH600517"",""SH600741"",""SH600885"",""SH601238"",""SH601958"",""SH603786"",""SZ002600"",""SZ300034"",""SZ300456"",""SZ300776"",""SH600009"",""SH600010"",""SH600030"",""SH600066"",""SH600111"",""SH600129"",""SH600160"",""SH600176"",""SH600177"",""SH600329"",""SH600350"",""SH600415""]",-0.003098012786358595,-0.007149648718168652,0.0040516359318100575,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-05,485,30,"[""SZ002624"",""SZ300418"",""SH603000"",""SZ002602"",""SZ300315"",""SH600129"",""SZ300002"",""SZ300033"",""SZ000977"",""SZ002153"",""SH600497"",""SZ000831"",""SH600166"",""SH600406"",""SH600418"",""SH600517"",""SH600862"",""SH601958"",""SZ000063"",""SZ000625"",""SZ002179"",""SZ002920"",""SZ300456"",""SZ300748"",""SZ300776"",""SZ301039"",""SZ000938"",""SZ002230"",""SZ002558"",""SZ002865""]",0.0004172729483495156,-0.00520075380273485,0.005618026751084366,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-06,484,30,"[""SZ002410"",""SZ000938"",""SZ000977"",""SZ002558"",""SZ300002"",""SZ300315"",""SH603444"",""SZ002865"",""SH600129"",""SH603000"",""SH600406"",""SH600885"",""SH601216"",""SH600329"",""SH600009"",""SH600023"",""SH600026"",""SH600030"",""SH600036"",""SH600060"",""SH600066"",""SH600111"",""SH600132"",""SH600176"",""SH600177"",""SH600196"",""SH600236"",""SH600352"",""SH600362"",""SH600372""]",-0.007139404069554682,-0.0038127774917386488,-0.003326626577816033,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-07,484,30,"[""SZ300024"",""SZ300002"",""SZ300315"",""SH600118"",""SH600418"",""SH601216"",""SH601238"",""SH603596"",""SZ000100"",""SZ002920"",""SZ300979"",""SH603000"",""SZ000977"",""SZ002865"",""SZ300229"",""SZ002558"",""SH600132"",""SH600009"",""SH600011"",""SH600015"",""SH600016"",""SH600019"",""SH600021"",""SH600025"",""SH600027"",""SH600032"",""SH600036"",""SH600177"",""SH600188"",""SH600219""]",0.002347784861922264,0.004766067123417704,-0.0024182822614954398,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-11,485,30,"[""SZ300002"",""SZ300212"",""SZ300315"",""SZ002555"",""SZ002865"",""SZ300229"",""SH603986"",""SH600104"",""SH600741"",""SH600875"",""SH601127"",""SH601216"",""SH601238"",""SH603596"",""SH603659"",""SZ000100"",""SZ000800"",""SZ002028"",""SZ002920"",""SZ301039"",""SH603444"",""SZ002558"",""SH600129"",""SH600004"",""SH600019"",""SH600060"",""SH600066"",""SH600183"",""SH600188"",""SH600221""]",-0.01725758840717996,-0.00903324430687509,-0.00822434410030487,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-12,484,30,"[""SH600570"",""SZ000977"",""SH603019"",""SZ000938"",""SZ300024"",""SZ300394"",""SZ300604"",""SH600104"",""SH600118"",""SH600398"",""SH600426"",""SH600517"",""SH600660"",""SH600699"",""SH600741"",""SH601058"",""SH601127"",""SH601238"",""SH601966"",""SH603338"",""SH603596"",""SZ000625"",""SZ000988"",""SZ002409"",""SZ301039"",""SH600129"",""SZ000032"",""SZ000066"",""SZ002555"",""SZ300002""]",0.005648104394398009,0.013943738094518973,-0.008295633700120965,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-13,485,30,"[""SZ300475"",""SH603000"",""SZ000938"",""SZ002865"",""SH601555"",""SH601958"",""SH601985"",""SH603198"",""SZ000100"",""SZ002027"",""SZ002028"",""SZ002409"",""SZ002600"",""SZ300748"",""SZ300751"",""SZ300832"",""SH600015"",""SH600016"",""SH600018"",""SH600019"",""SH600025"",""SH600026"",""SH600028"",""SH600030"",""SH600032"",""SH600060"",""SH600089"",""SH600111"",""SH600161"",""SH600183""]",0.007236140597766886,-0.0009095271702762213,0.008145667768043107,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-17,486,30,"[""SZ300475"",""SZ000157"",""SZ000988"",""SZ300456"",""SZ300751"",""SZ301035"",""SZ002384"",""SZ300002"",""SH600023"",""SH600111"",""SH600129"",""SH600153"",""SH600160"",""SH600183"",""SH600219"",""SH600329"",""SH600426"",""SH600536"",""SH600642"",""SH600795"",""SH600977"",""SH601058"",""SH601127"",""SH601229"",""SH601601"",""SH601799"",""SH601877"",""SH601933"",""SH601985"",""SH603338""]",-0.002086874811599652,-0.0023367817912714503,0.00024990697967179837,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-18,486,30,"[""SH600141"",""SH600546"",""SH600584"",""SH600741"",""SH603198"",""SZ000988"",""SZ002064"",""SZ002223"",""SZ002409"",""SZ300456"",""SZ300475"",""SZ002602"",""SZ300002"",""SZ301236"",""SH600050"",""SH600085"",""SH600096"",""SH600118"",""SH600183"",""SH600256"",""SH600329"",""SH600350"",""SH600352"",""SH600460"",""SH600486"",""SH600487"",""SH600489"",""SH600519"",""SH600536"",""SH600588""]",-0.0018426939517667052,-0.0005548589209334421,-0.0012878350308332632,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-20,486,30,"[""SH601127"",""SH600031"",""SH600096"",""SH600104"",""SH600141"",""SH600166"",""SH600309"",""SH600406"",""SH600584"",""SH600741"",""SH600989"",""SH601100"",""SH601233"",""SH601799"",""SH603816"",""SZ000157"",""SZ000975"",""SZ002128"",""SZ002185"",""SZ300408"",""SZ300751"",""SZ300782"",""SH600032"",""SH600118"",""SH601698"",""SH603596"",""SZ000021"",""SZ000066"",""SZ002384"",""SZ002409""]",-0.001830851063520337,-0.00023866526712088581,-0.0015921857963994512,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-21,486,30,"[""SH601127"",""SZ300002"",""SZ300476"",""SH603000"",""SZ000021"",""SZ300475"",""SH601100"",""SZ000975"",""SZ300012"",""SZ300456"",""SZ300751"",""SH603019"",""SZ000066"",""SZ002409"",""SZ002602"",""SZ300394"",""SZ300502"",""SZ300769"",""SZ002384"",""SH600009"",""SH600025"",""SH600030"",""SH600048"",""SH600160"",""SH600161"",""SH600196"",""SH600219"",""SH600221"",""SH600233"",""SH600329""]",0.0023071423755027355,-0.0019507220240634168,0.004257864399566153,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-24,486,30,"[""SZ002756"",""SH601127"",""SZ000021"",""SZ300002"",""SZ300308"",""SZ300394"",""SZ300475"",""SZ300502"",""SZ300763"",""SZ000988"",""SZ000977"",""SH600031"",""SH600096"",""SH600309"",""SH601233"",""SH603338"",""SH603868"",""SZ000786"",""SZ002353"",""SZ300456"",""SZ002460"",""SZ002466"",""SZ300140"",""SZ300390"",""SZ300438"",""SH600010"",""SH600015"",""SH600018"",""SH600026"",""SH600030""]",0.022079152520745993,0.021335671945794107,0.0007434805749518859,1.0,pass
M1_LIGHTGBM_ALPHA158,2023-07-25,487,30,"[""SH601601"",""SH601881"",""SZ000625"",""SH601555"",""SZ002244"",""SH601336"",""SZ002602"",""SZ300308"",""SZ300394"",""SZ300502"",""SZ002756"",""SH601162"",""SH600418"",""SH600031"",""SH600160"",""SH600177"",""SH600183"",""SH600309"",""SH600519"",""SH600779"",""SH600989"",""SH601799"",""SH603816"",""SH603993"",""SZ000157"",""SZ000408"",""SZ000568"",""SZ000786"",""SZ000932"",""SZ002078""]",-0.004573619012565662,-0.003015289133950328,-0.0015583298786153344,1.0,pass
