arm_id,score_role,model_seed,fold,decision_date,U_t_decision_n,U_t_resolved_n,score_row_n,label_row_n,RankIC,metric_day_status,reason
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-03,485,485,485,485,0.15081745861582907,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-04,485,485,485,485,-0.04069222081692932,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-05,485,485,485,485,0.07553849919375896,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-06,484,484,484,484,-0.09484947168377421,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-07,484,484,484,484,0.056884969217136205,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-11,485,485,485,485,-0.08628656583017041,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-12,484,484,484,484,0.07936209870138959,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-13,485,485,485,485,-0.003626694853292255,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-17,486,486,486,486,-0.09603615267772023,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-18,486,486,486,486,-0.03182391847073703,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-20,486,486,486,486,-0.07812775406174953,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-21,486,486,486,486,0.006892942422230345,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-24,486,486,486,486,-0.07083355993279809,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-25,487,487,487,487,0.09949298793480414,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-26,487,487,487,487,-0.028104504790978143,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-27,487,487,487,487,0.006940601662217435,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-28,488,488,488,488,-0.10748275709478312,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-07-31,488,488,488,488,-0.11869154309637106,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-01,489,489,489,489,-0.02726638970591981,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-02,488,488,488,488,0.08942917660445797,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-03,489,489,489,489,-0.00555107878158137,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-04,489,489,489,489,-0.06554655194567781,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-07,489,489,489,489,-0.08814891382930432,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-08,488,488,488,488,-0.06967357076041164,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-09,488,488,488,488,0.03223025746331729,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-10,488,488,488,488,0.03727626203405249,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-11,488,488,488,488,0.041255892761826125,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-14,488,488,488,488,-0.0007407721622698882,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-15,486,486,486,486,0.007112540183135276,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-16,485,485,485,485,0.15638967278362229,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-17,484,484,484,484,-0.003758542293193427,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-18,485,485,485,485,0.030726869461165245,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-21,484,484,484,484,0.15395720456552642,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-22,484,484,484,484,0.15765643088537848,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-23,485,485,485,485,0.14737617256786975,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-24,485,485,485,485,-0.06293971611309883,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-25,486,486,486,486,0.08825774330146234,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-28,486,486,486,486,0.11244706891431046,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-29,486,486,486,486,0.31423769805302465,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-30,486,486,486,486,0.06717920612177677,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-08-31,486,486,486,486,0.16969703697876132,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-09-01,487,487,487,487,0.3886223713379322,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-09-04,487,487,487,487,-0.019806690724171426,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-09-05,487,487,487,487,0.07047715235053571,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-09-06,487,487,487,487,0.07218561833887313,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-09-07,487,487,487,487,-0.08644680479616014,evaluable,
M1_LIGHTGBM_ALPHA158,ensemble,nan,validation_late,2023-09-08,487,487,487,487,-0.05233244339864942,evaluable,
