stage_order,stage_id,started_at_utc,ended_at_utc,stage_status,input_bundle_hash,output_bundle_hash,failed_gate_ids,reason
0,preflight,,,pass,,,[],
1,materialize-r2-teacher,,,pass,,,[],
2,train-r2,,,pass,,,[],
3,late-readout,,,pass,,,[],
4,finalize,,,pass,,,[],
