horizon,split,fold_id,decile,event_count,mean_label,decile_monotonicity_score
H3,train_oof_unseen,aggregate,1,14502,-0.00427975729259618,0.9999999999999999
H3,train_oof_unseen,aggregate,2,15542,-0.0031297944838566223,0.9999999999999999
H3,train_oof_unseen,aggregate,3,16046,-0.0027088349842547457,0.9999999999999999
H3,train_oof_unseen,aggregate,4,16331,-0.0018300429108435003,0.9999999999999999
H3,train_oof_unseen,aggregate,5,16568,-0.0017716987473850756,0.9999999999999999
H3,train_oof_unseen,aggregate,6,16631,-0.001365480800356582,0.9999999999999999
H3,train_oof_unseen,aggregate,7,16830,-0.0010609190887889406,0.9999999999999999
H3,train_oof_unseen,aggregate,8,16967,-0.00021635599447648705,0.9999999999999999
H3,train_oof_unseen,aggregate,9,16980,0.0005910996542386966,0.9999999999999999
H3,train_oof_unseen,aggregate,10,17039,0.003003147558347618,0.9999999999999999
H3,validation_oof_unseen,aggregate,1,6652,-0.00397365428044262,0.8909090909090909
H3,validation_oof_unseen,aggregate,2,8340,-0.0036771217628164764,0.8909090909090909
H3,validation_oof_unseen,aggregate,3,9387,-0.002895762467899127,0.8909090909090909
H3,validation_oof_unseen,aggregate,4,9678,-0.0019951996120179086,0.8909090909090909
H3,validation_oof_unseen,aggregate,5,9994,-0.0009750922371593004,0.8909090909090909
H3,validation_oof_unseen,aggregate,6,10502,-0.0017674723028109377,0.8909090909090909
H3,validation_oof_unseen,aggregate,7,10697,-0.0002393529246537735,0.8909090909090909
H3,validation_oof_unseen,aggregate,8,11386,-0.00032586318992618136,0.8909090909090909
H3,validation_oof_unseen,aggregate,9,12917,-0.0012119316116735513,0.8909090909090909
H3,validation_oof_unseen,aggregate,10,15690,0.0001771565858916492,0.8909090909090909
H3,robustness_oof_unseen,aggregate,1,9945,-0.004050190244976922,0.7212121212121211
H3,robustness_oof_unseen,aggregate,2,11869,-0.0009688285377426368,0.7212121212121211
H3,robustness_oof_unseen,aggregate,3,12164,0.0005893157903692097,0.7212121212121211
H3,robustness_oof_unseen,aggregate,4,12129,0.002028523173785026,0.7212121212121211
H3,robustness_oof_unseen,aggregate,5,11641,0.0015794029768757005,0.7212121212121211
H3,robustness_oof_unseen,aggregate,6,11253,0.0012406888073512943,0.7212121212121211
H3,robustness_oof_unseen,aggregate,7,10134,0.0014968373689032363,0.7212121212121211
H3,robustness_oof_unseen,aggregate,8,9306,0.001752939962940725,0.7212121212121211
H3,robustness_oof_unseen,aggregate,9,7974,0.0015662393887461816,0.7212121212121211
H3,robustness_oof_unseen,aggregate,10,7234,0.0030905689395073366,0.7212121212121211
