horizon,split,fold_id,fold_anchor_controlled_mean_spread,fold_anchor_offset_spread_min,fold_positive_anchor_offset_count,fold_full_daily_mean_spread,fold_full_daily_median_spread,fold_positive_instrument_share,fold_valid_instrument_count,fold_full_valid_instrument_count,fold_partial_event_only_instrument_count,fold_valid_signal_date_count,fold_decile_monotonicity_score,fold_top1_instrument_contribution_share,fold_top5_instrument_contribution_share,fold_top1_industry_contribution_share
H3,train_oof_unseen,0,0.003361417154001923,0.001644728464875633,3,0.00340814537723616,0.0034580898412269407,0.7941176470588235,34,34,16,276,0.9757575757575757,0.10149448180578911,0.30444939038537794,0.12090526712290217
H3,train_oof_unseen,1,0.0016710746131869969,0.0003316187058007761,3,0.001693034698424638,0.0010126491761000556,0.6829268292682927,41,41,13,291,0.9151515151515152,0.07275868996639802,0.2606891838730495,0.15020369928269117
H3,train_oof_unseen,2,0.0017378816773648267,-0.0001446821567931603,2,0.0017687471186508413,0.003296735372781792,0.7804878048780488,41,41,14,296,0.9151515151515152,0.05835700508025241,0.2450007074666265,0.1758821620541166
H3,train_oof_unseen,3,0.003635929450924957,0.002760124993447714,3,0.0036335386296678586,0.005089336139779364,0.8163265306122449,49,49,16,323,0.9030303030303028,0.06762782490092094,0.21505254270752544,0.13178279915421107
H3,train_oof_unseen,4,0.00025028549181897443,-0.0011567371004038366,2,0.0002509474194091023,0.0005857241449922484,0.7631578947368421,38,38,15,353,0.9393939393939393,0.18303098287830874,0.3666790078892093,0.21839024496757242
H3,validation_oof_unseen,0,0.0036802467516457507,0.0016356527117773665,3,0.0036418348090684156,0.0027683008023123177,0.6590909090909091,44,44,2,211,0.709090909090909,0.09290543397914622,0.29193710868594636,0.17558925698733166
H3,validation_oof_unseen,1,0.002781577717611282,0.000574137920785473,3,0.002790813867388796,0.003043688917971547,0.7115384615384616,52,52,1,239,0.6,0.09697791800493841,0.3236639089094877,0.12936720020337325
H3,validation_oof_unseen,2,-0.0007312537050929054,-0.0026156788446586162,1,-0.0006929912657108601,0.002680833094854923,0.6326530612244898,49,49,2,197,0.6121212121212121,0.07158903309593245,0.2633158117151331,0.12817946703390776
H3,validation_oof_unseen,3,0.0016749692434035839,0.001122315385387502,3,0.001669216113899148,0.0022352260927856384,0.7115384615384616,52,52,7,278,0.8666666666666665,0.10555129947526055,0.34525656350469297,0.11604950414637932
H3,validation_oof_unseen,4,0.0028083284616266025,0.0010788886888313729,3,0.002741746590463361,0.0026411631764759157,0.7333333333333333,45,45,2,237,0.7696969696969697,0.10007339025193797,0.3474671443372653,0.18450095612463283
H3,robustness_oof_unseen,0,0.0007630194783029319,-4.179789227134905e-06,2,0.0007391752756403856,-0.0020401836004213868,0.7894736842105263,38,38,4,173,0.6363636363636362,0.09271566598162802,0.3273068299461296,0.14413290095244408
H3,robustness_oof_unseen,1,0.0012196230287193728,-0.0007334253908768135,2,0.001198604124852731,0.0005797695171246946,0.75,48,48,4,220,0.5515151515151515,0.09385025652781809,0.27404721141131366,0.21810889564850766
H3,robustness_oof_unseen,2,0.0033145908379341427,0.0017067180213856416,3,0.003280734737290265,0.0016213353968447062,0.7083333333333334,48,48,2,213,0.5636363636363636,0.06663594944980492,0.29640107432845375,0.2271324917394846
H3,robustness_oof_unseen,3,0.0030445543793273648,0.002297247642664906,3,0.003089562010419322,0.003531236832417329,0.8363636363636363,55,55,2,264,0.9030303030303028,0.04545570549024665,0.21285556689499419,0.15575794792596215
H3,robustness_oof_unseen,4,0.0016655957633211354,0.0013469846504447589,3,0.0016567671704455788,0.0017343508469513987,0.6976744186046512,43,43,7,189,0.6121212121212121,0.05953135607309905,0.27127035763323304,0.1199380374248686
