horizon,split,evaluable_fold_count,positive_fold_count,median_fold_spread,min_fold_spread,fold_positive_instrument_share_median,fold_monotonicity_median,fold_monotonicity_positive_count,max_fold_top1_instrument_contribution_share,max_fold_top5_instrument_contribution_share
H3,train_oof_unseen,5,5,0.0017378816773648267,0.00025028549181897443,0.7804878048780488,0.9151515151515152,5,0.18303098287830874,0.3666790078892093
H3,validation_oof_unseen,5,4,0.002781577717611282,-0.0007312537050929054,0.7115384615384616,0.709090909090909,5,0.10555129947526055,0.3474671443372653
H3,robustness_oof_unseen,5,5,0.0016655957633211354,0.0007630194783029319,0.75,0.6121212121212121,5,0.09385025652781809,0.3273068299461296
