horizon,split,fold_id,instrument_id,instrument_high_minus_low_spread,within_stock_rankIC,valid_signal_count
H3,train_oof_unseen,aggregate,SH600015,0.0030935320762740235,0.04207685162933981,962
H3,train_oof_unseen,aggregate,SH600028,0.015890726429227564,0.16243721536365924,962
H3,train_oof_unseen,aggregate,SH600188,0.015206064734703595,0.13894342379475072,544
H3,train_oof_unseen,aggregate,SH600585,0.011008886957849642,0.09161806205580944,962
H3,train_oof_unseen,aggregate,SH601012,-0.0013847345993866292,0.01736090375730994,822
H3,train_oof_unseen,aggregate,SH601225,0.003779087047153952,0.07031081031186147,962
H3,train_oof_unseen,aggregate,SH601238,0.002495258477066827,0.10440733377894122,962
H3,train_oof_unseen,aggregate,SH601390,0.01234387626110743,0.1402815482595571,882
H3,train_oof_unseen,aggregate,SH601818,-0.00016054792033458234,0.07471546707566788,962
H3,train_oof_unseen,aggregate,SH601881,9.428398158867896e-05,0.09832658157992097,962
H3,train_oof_unseen,aggregate,SH601939,0.007685049153736494,0.0971918171890405,962
H3,train_oof_unseen,aggregate,SH601988,0.0029398057788428064,0.048338631745636046,962
H3,train_oof_unseen,aggregate,SH603288,-2.0974976602518357e-05,-0.024723278125910454,962
H3,train_oof_unseen,aggregate,SZ000063,0.003180867532526227,0.08246717660119898,917
H3,train_oof_unseen,aggregate,SZ002120,0.0164896698881521,0.08185186690282742,763
H3,train_oof_unseen,aggregate,SZ002230,0.005378443858966675,0.06728146731947401,939
H3,train_oof_unseen,aggregate,SH600600,0.00660672547751059,0.06582262779967413,823
H3,train_oof_unseen,aggregate,SH601088,0.009003060187127623,0.1072999179943535,922
H3,train_oof_unseen,aggregate,SH600346,0.0077452608461001035,0.06583183142122233,908
H3,train_oof_unseen,aggregate,SH600760,0.010880957548072563,0.09504339411631164,382
H3,train_oof_unseen,aggregate,SZ002602,-0.012882732809189631,-0.05142554967348239,475
H3,train_oof_unseen,aggregate,SZ002607,0.006197014955645414,0.06390665594992138,661
H3,train_oof_unseen,aggregate,SZ000596,0.006961664272020492,0.07426760517458758,640
H3,train_oof_unseen,aggregate,SZ002938,0.016491496312759656,0.09768380283617106,640
H3,train_oof_unseen,aggregate,SZ002841,0.008382007422031436,0.09420561418016798,524
H3,train_oof_unseen,aggregate,SZ002311,0.007212393756699301,0.021930746660692,507
H3,train_oof_unseen,aggregate,SZ000708,0.010769378524137499,0.05987189347802524,502
H3,train_oof_unseen,aggregate,SH601236,0.00023460320469372888,0.07299001792709305,360
H3,train_oof_unseen,aggregate,SH601698,0.028026962178151794,0.11575896297757428,435
H3,train_oof_unseen,aggregate,SH601916,0.0033080491014012134,0.16037456795316482,354
H3,train_oof_unseen,aggregate,SZ002821,-0.0013324871195941352,-0.03929185705053555,349
H3,train_oof_unseen,aggregate,SH603899,-0.0066889885486897584,-0.07176852426651337,334
H3,train_oof_unseen,aggregate,SZ002414,-0.0019977383879944436,0.013088397512103084,326
H3,train_oof_unseen,aggregate,SH601816,0.030550421048473376,0.17450410890456003,318
H3,train_oof_unseen,aggregate,SH600000,0.0038271683898138988,0.04411639207810438,962
H3,train_oof_unseen,aggregate,SH600023,-0.001544335952534007,0.026437717341991965,622
H3,train_oof_unseen,aggregate,SH600030,-0.0024446970800361834,0.0645879104535876,947
H3,train_oof_unseen,aggregate,SH600031,0.0052895637998944655,0.06879341736463189,962
H3,train_oof_unseen,aggregate,SH600036,0.0033433320185827712,0.06279827725631676,962
H3,train_oof_unseen,aggregate,SH600048,0.017002587052238657,0.1554627570078271,962
H3,train_oof_unseen,aggregate,SH600061,0.00147837667718772,0.09954357470442558,737
H3,train_oof_unseen,aggregate,SH600196,-0.003320238549513461,0.009487876499099641,962
