horizon,split,anchor_offset,anchor_mean_spread,anchor_median_spread,anchor_valid_signal_date_count,anchor_positive_date_share,anchor_contribution_denominator
H3,train_oof_unseen,0,0.0038135188055837934,0.002876666484526815,274,0.5656934306569343,197.97502332296867
H3,train_oof_unseen,1,0.003763652149952847,0.001784707824703806,271,0.5313653136531366,194.29752811609058
H3,train_oof_unseen,2,0.003478932729133032,0.001208857399956415,274,0.5218978102189781,197.4635326742407
H3,validation_oof_unseen,0,0.0029811017953006755,0.0014594541272671107,158,0.5569620253164557,143.90797537915768
H3,validation_oof_unseen,1,0.002729044736179781,0.004284003310744253,159,0.5786163522012578,151.29977238120836
H3,validation_oof_unseen,2,0.002418892087197905,0.0018325376090758422,160,0.54375,136.71346280312292
H3,robustness_oof_unseen,0,0.0016951707995824382,0.0011141170494176724,144,0.5208333333333334,117.66139150431253
H3,robustness_oof_unseen,1,0.002001752960808084,0.0016365547223639986,144,0.5416666666666666,101.20990023327805
H3,robustness_oof_unseen,2,0.002838445270167457,0.0038072658752993805,145,0.5724137931034483,122.40488810812899
H5,train_oof_unseen,0,0.003995589374567728,0.0029676361635241565,162,0.5555555555555556,180.4974677110387
H5,train_oof_unseen,1,0.004755918766577634,-0.0004794903529114435,164,0.49390243902439024,181.68009161325568
H5,train_oof_unseen,2,0.006295606652221258,0.004706098915008598,162,0.5802469135802469,199.60583773584602
H5,train_oof_unseen,3,0.00640454729439286,0.004268448568367713,164,0.5609756097560976,190.60190248899542
H5,train_oof_unseen,4,0.004569144784552246,0.003967969716894364,161,0.5962732919254659,178.75240735886808
H5,validation_oof_unseen,0,0.00434491042913751,0.004245793870051348,93,0.6021505376344086,135.39158347892987
H5,validation_oof_unseen,1,0.004065969316281632,0.006810377044835435,95,0.5473684210526316,126.32549153860809
H5,validation_oof_unseen,2,0.005692335667006997,0.004081051827684296,96,0.5729166666666666,134.37359094423505
H5,validation_oof_unseen,3,0.0026557595319342472,0.0038471381559439626,96,0.5833333333333334,134.2747759918172
H5,validation_oof_unseen,4,0.005325993663337145,0.00394980897317453,95,0.5894736842105263,138.22348686663526
H5,robustness_oof_unseen,0,0.003445231867352549,0.002789960504525784,84,0.5595238095238095,128.42798142418974
H5,robustness_oof_unseen,1,0.0012944676794760612,0.0021036531189588,88,0.5454545454545454,124.79059782673434
H5,robustness_oof_unseen,2,0.0018031599916495025,-0.000868098232464495,89,0.4943820224719101,111.48298780478021
H5,robustness_oof_unseen,3,0.004302716079162459,0.00027958351053138965,86,0.5,96.29010192676583
H5,robustness_oof_unseen,4,0.003548140006600314,0.002880703090832522,84,0.5595238095238095,116.59950948704257
H10,train_oof_unseen,0,0.008877260445177348,0.005013225586709221,79,0.5569620253164557,178.7169459351573
H10,train_oof_unseen,1,0.007116034402028364,0.0028360921859510065,79,0.5443037974683544,186.35329214615493
H10,train_oof_unseen,2,0.009759587028147514,0.008737068491758693,79,0.5822784810126582,181.23707444327562
H10,train_oof_unseen,3,0.010751253840128308,0.008120940355389785,78,0.5769230769230769,180.8990741697097
H10,train_oof_unseen,4,0.01018021134375544,0.006897783102025767,78,0.5897435897435898,179.61791411967965
H10,train_oof_unseen,5,0.007425973219334893,0.006292453569325895,81,0.5802469135802469,157.2829466808424
H10,train_oof_unseen,6,0.0012417792040620174,-0.006776754098677354,83,0.42168674698795183,165.28281193689764
