target_episode_id,instrument,symbol,episode_low_date,episode_high_date,first_50pct_touch_date,episode_split,board_bucket,market_regime_bucket,selected_union_any_event_captured,selected_union_first_event_id,selected_union_first_event_t0_date,all_new_union_any_event_captured
SH600010_20210428_0001,SH600010,SH600010,2021-04-28,2021-09-01,2021-07-14,train,main_board,transition,True,SH600010_20210708_risk_on_transition_union,2021-07-08,True
SH600010_20250929_0005,SH600010,SH600010,2025-09-29,2026-03-02,2026-03-02,robustness,main_board,risk_on,False,,,True
SH600011_20211129_0002,SH600011,SH600011,2021-11-29,2021-12-24,2021-12-09,train,main_board,risk_on,False,,,True
SH600019_20201215_0000,SH600019,SH600019,2020-12-15,2021-03-15,2021-03-03,train,main_board,risk_on,False,,,True
SH600025_20200925_0000,SH600025,SH600025,2020-09-25,2021-03-15,2021-03-15,train,main_board,transition,False,,,True
SH600031_20200812_0000,SH600031,SH600031,2020-08-12,2021-01-13,2020-11-23,train,main_board,risk_on,False,,,True
SH600036_20200930_0002,SH600036,SH600036,2020-09-30,2021-02-18,2021-01-15,train,main_board,transition,False,,,True
SH600038_20211013_0003,SH600038,SH600038,2021-10-13,2021-12-31,2021-12-06,train,main_board,transition,False,,,True
SH600096_20210709_0000,SH600096,SH600096,2021-07-09,2021-09-14,2021-07-19,train,main_board,risk_on,False,,,True
SH600096_20250923_0003,SH600096,SH600096,2025-09-23,2026-02-27,2025-11-10,robustness,main_board,risk_on,False,,,True
SH600132_20190311_0001,SH600132,SH600132,2019-03-11,2019-07-01,2019-06-27,train,main_board,risk_on,False,,,True
SH600132_20200812_0004,SH600132,SH600132,2020-08-12,2021-01-22,2020-09-15,train,main_board,risk_on,False,,,True
SH600143_20191118_0001,SH600143,SH600143,2019-11-18,2020-05-19,2020-01-16,train,main_board,transition,True,SH600143_20200106_risk_on_transition_union,2020-01-06,True
SH600160_20210305_0002,SH600160,SH600160,2021-03-05,2021-08-27,2021-07-15,train,main_board,transition,False,,,True
SH600161_20191203_0001,SH600161,SH600161,2019-12-03,2020-06-03,2020-02-14,train,main_board,transition,False,,,True
SH600170_20210430_0000,SH600170,SH600170,2021-04-30,2021-09-29,2021-09-29,train,main_board,transition,True,SH600170_20210924_risk_on_transition_union,2021-09-24,True
SH600176_20201027_0001,SH600176,SH600176,2020-10-27,2021-02-18,2020-12-30,train,main_board,transition,False,,,True
SH600183_20251124_0004,SH600183,SH600183,2025-11-24,2026-05-27,2026-04-23,robustness,main_board,transition,False,,,False
SH600188_20210520_0000,SH600188,SH600188,2021-05-20,2021-09-17,2021-07-19,train,main_board,risk_on,False,,,True
SH600188_20211110_0001,SH600188,SH600188,2021-11-10,2022-04-15,2022-02-24,train,main_board,transition,False,,,True
SH600188_20250904_0004,SH600188,SH600188,2025-09-04,2026-03-09,2026-03-02,robustness,main_board,risk_on,False,,,True
SH600196_20200528_0002,SH600196,SH600196,2020-05-28,2020-08-06,2020-07-23,train,main_board,risk_on,False,,,True
SH600221_20210427_0000,SH600221,SH600221,2021-04-27,2021-09-10,2021-05-31,train,main_board,transition,False,,,True
SH600236_20250919_0002,SH600236,SH600236,2025-09-19,2026-03-05,2026-03-02,robustness,main_board,risk_on,False,,,True
SH600256_20220620_0002,SH600256,SH600256,2022-06-20,2022-09-07,2022-08-23,validation,main_board,transition,False,,,True
SH600276_20250324_0004,SH600276,SH600276,2025-03-24,2025-09-09,2025-08-25,robustness,main_board,risk_on,False,,,True
SH600299_20200528_0001,SH600299,SH600299,2020-05-28,2020-08-06,2020-08-06,train,main_board,risk_on,False,,,True
SH600309_20201214_0002,SH600309,SH600309,2020-12-14,2021-02-18,2021-02-01,train,main_board,risk_on,True,SH600309_20210112_risk_on_transition_union,2021-01-12,True
SH600309_20251021_0003,SH600309,SH600309,2025-10-21,2026-03-09,2026-02-25,robustness,main_board,risk_on,False,,,True
SH600362_20210129_0001,SH600362,SH600362,2021-01-29,2021-02-23,2021-02-22,train,main_board,risk_on,False,,,True
SH600362_20251124_0004,SH600362,SH600362,2025-11-24,2026-01-29,2025-12-31,robustness,main_board,transition,False,,,False
SH600372_20200911_0003,SH600372,SH600372,2020-09-11,2021-01-13,2021-01-13,train,main_board,transition,False,,,True
SH600378_20210929_0001,SH600378,SH600378,2021-09-29,2022-01-04,2021-12-01,train,main_board,transition,False,,,True
SH600392_20250916_0004,SH600392,SH600392,2025-09-16,2026-02-27,2026-02-27,robustness,main_board,risk_on,False,,,True
SH600399_20210119_0000,SH600399,SH600399,2021-01-19,2021-07-21,2021-07-19,train,main_board,risk_on,False,,,True
SH600409_20210326_0001,SH600409,SH600409,2021-03-26,2021-09-10,2021-08-16,train,main_board,transition,False,,,True
SH600415_20230216_0002,SH600415,SH600415,2023-02-16,2023-05-05,2023-04-13,validation,main_board,risk_on,False,,,True
SH600426_20200911_0002,SH600426,SH600426,2020-09-11,2021-02-18,2020-11-09,train,main_board,transition,False,,,True
SH600426_20250717_0004,SH600426,SH600426,2025-07-17,2026-01-07,2025-12-25,robustness,main_board,risk_on,True,SH600426_20250901_risk_on_transition_union,2025-09-01,True
SH600460_20210204_0005,SH600460,SH600460,2021-02-04,2021-07-27,2021-04-26,train,main_board,risk_on,False,,,True
SH600487_20251124_0005,SH600487,SH600487,2025-11-24,2026-05-11,2026-01-21,robustness,main_board,transition,False,,,False
SH600489_20251105_0004,SH600489,SH600489,2025-11-05,2026-01-29,2026-01-21,robustness,main_board,risk_on,False,,,True
