target_episode_id,instrument,symbol,episode_low_date,episode_high_date,first_50pct_touch_date,episode_split,board_bucket,market_regime_bucket,selected_union_any_event_captured,selected_union_first_event_id,selected_union_first_event_t0_date,all_new_union_any_event_captured
SH600497_20201216_0001,SH600497,SH600497,2020-12-16,2021-02-22,2021-02-22,train,main_board,risk_on,False,,,True
SH600499_20210616_0000,SH600499,SH600499,2021-06-16,2021-11-24,2021-07-12,train,main_board,risk_on,False,,,True
SH600511_20200528_0001,SH600511,SH600511,2020-05-28,2020-08-10,2020-06-22,train,main_board,risk_on,False,,,True
SH600511_20200910_0002,SH600511,SH600511,2020-09-10,2020-12-11,2020-12-10,train,main_board,transition,False,,,True
SH600515_20200428_0002,SH600515,SH600515,2020-04-28,2020-09-21,2020-07-07,train,main_board,transition,True,SH600515_20200519_risk_on_transition_union,2020-05-19,True
SH600519_20201026_0003,SH600519,SH600519,2020-10-26,2021-02-18,2021-02-09,train,main_board,transition,False,,,True
SH600522_20251121_0006,SH600522,SH600522,2025-11-21,2026-05-20,2026-02-04,robustness,main_board,transition,False,,,False
SH600546_20220805_0002,SH600546,SH600546,2022-08-05,2022-08-25,2022-08-25,validation,main_board,risk_on,False,,,True
SH600546_20230321_0003,SH600546,SH600546,2023-03-21,2023-09-07,2023-09-04,validation,main_board,transition,False,,,True
SH600547_20250515_0005,SH600547,SH600547,2025-05-15,2025-10-14,2025-10-09,robustness,main_board,transition,False,,,True
SH600547_20251105_0006,SH600547,SH600547,2025-11-05,2026-01-29,2026-01-21,robustness,main_board,risk_on,False,,,False
SH600549_20250923_0003,SH600549,SH600549,2025-09-23,2026-03-04,2025-12-17,robustness,main_board,risk_on,False,,,True
SH600563_20210511_0000,SH600563,SH600563,2021-05-11,2021-11-05,2021-06-23,train,main_board,transition,False,,,True
SH600570_20191203_0003,SH600570,SH600570,2019-12-03,2020-06-01,2020-03-03,train,main_board,transition,False,,,True
SH600570_20220715_0004,SH600570,SH600570,2022-07-15,2022-11-18,2022-11-18,validation,main_board,transition,False,,,True
SH600578_20201103_0000,SH600578,SH600578,2020-11-03,2021-04-01,2021-03-31,train,main_board,transition,False,,,True
SH600584_20190327_0001,SH600584,SH600584,2019-03-27,2019-09-16,2019-09-10,train,main_board,risk_on,False,,,True
SH600584_20191021_0002,SH600584,SH600584,2019-10-21,2020-02-25,2019-12-09,train,main_board,risk_on,False,,,True
SH600584_20251124_0009,SH600584,SH600584,2025-11-24,2026-05-27,2026-01-21,robustness,main_board,transition,False,,,False
SH600597_20200629_0000,SH600597,SH600597,2020-06-29,2020-09-02,2020-08-24,train,main_board,risk_on,False,,,True
SH600598_20200612_0002,SH600598,SH600598,2020-06-12,2020-08-19,2020-08-13,train,main_board,risk_on,False,,,True
SH600621_20191210_0000,SH600621,SH600621,2019-12-10,2020-04-07,2020-04-07,train,main_board,risk_on,False,,,True
SH600642_20210423_0000,SH600642,SH600642,2021-04-23,2021-10-08,2021-09-30,train,main_board,transition,False,,,True
SH600660_20201020_0001,SH600660,SH600660,2020-10-20,2021-01-25,2020-12-23,train,main_board,risk_on,True,SH600660_20201216_risk_on_transition_union,2020-12-16,True
SH600702_20210802_0000,SH600702,SH600702,2021-08-02,2021-12-10,2021-12-10,train,main_board,risk_on,True,SH600702_20211201_risk_on_transition_union,2021-12-01,True
SH600733_20210226_0002,SH600733,SH600733,2021-02-26,2021-05-20,2021-04-16,train,main_board,transition,False,,,True
SH600733_20240513_0005,SH600733,SH600733,2024-05-13,2024-07-16,2024-07-01,robustness,main_board,risk_on,False,,,True
SH600739_20191009_0001,SH600739,SH600739,2019-10-09,2020-03-09,2020-02-26,train,main_board,transition,False,,,True
SH600754_20200206_0001,SH600754,SH600754,2020-02-06,2020-07-21,2020-07-06,train,main_board,transition,True,SH600754_20200703_risk_on_transition_union,2020-07-03,True
SH600754_20200911_0002,SH600754,SH600754,2020-09-11,2021-02-18,2020-12-16,train,main_board,transition,True,SH600754_20201110_risk_on_transition_union,2020-11-10,True
SH600763_20200918_0003,SH600763,SH600763,2020-09-18,2021-02-10,2020-12-17,train,main_board,risk_on,False,,,True
SH600765_20211013_0000,SH600765,SH600765,2021-10-13,2021-11-30,2021-11-09,train,main_board,transition,False,,,True
SH600779_20200812_0003,SH600779,SH600779,2020-08-12,2021-01-06,2021-01-04,train,main_board,risk_on,False,,,True
SH600808_20210608_0001,SH600808,SH600808,2021-06-08,2021-09-09,2021-07-23,train,main_board,risk_on,False,,,True
SH600862_20200909_0001,SH600862,SH600862,2020-09-09,2021-01-13,2021-01-06,train,main_board,transition,False,,,True
SH600871_20250905_0001,SH600871,SH600871,2025-09-05,2026-03-05,2026-01-29,robustness,main_board,risk_on,False,,,True
SH600875_20250923_0003,SH600875,SH600875,2025-09-23,2026-03-06,2026-01-21,robustness,main_board,risk_on,False,,,True
SH600879_20250904_0003,SH600879,SH600879,2025-09-04,2026-01-13,2025-12-15,robustness,main_board,risk_on,False,,,True
SH600885_20250623_0000,SH600885,SH600885,2025-06-23,2025-11-07,2025-11-05,robustness,main_board,risk_on,False,,,True
SH600893_20250904_0004,SH600893,SH600893,2025-09-04,2026-03-10,2026-02-13,robustness,main_board,risk_on,False,,,True
SH600938_20231108_0000,SH600938,SH600938,2023-11-08,2024-04-19,2024-03-06,validation,main_board,transition,False,,,True
SH600938_20250904_0001,SH600938,SH600938,2025-09-04,2026-03-09,2026-02-24,robustness,main_board,risk_on,False,,,True
SH600985_20210414_0001,SH600985,SH600985,2021-04-14,2021-09-09,2021-09-01,train,main_board,transition,False,,,True
SH600995_20250624_0000,SH600995,SH600995,2025-06-24,2025-11-10,2025-11-10,robustness,main_board,risk_on,True,SH600995_20250909_risk_on_transition_union,2025-09-09,True
SH600998_20191101_0000,SH600998,SH600998,2019-11-01,2020-04-23,2020-03-10,train,main_board,risk_on,False,,,True
SH600999_20240412_0002,SH600999,SH600999,2024-04-12,2024-10-09,2024-10-08,robustness,main_board,risk_on,False,,,True
SH601021_20201026_0002,SH601021,SH601021,2020-10-26,2021-03-23,2021-01-29,train,main_board,transition,True,SH601021_20201120_risk_on_transition_union,2020-11-20,True
SH601061_20250530_0000,SH601061,SH601061,2025-05-30,2025-11-12,2025-10-21,robustness,main_board,transition,False,,,True
SH601088_20211110_0000,SH601088,SH601088,2021-11-10,2022-04-15,2022-03-07,train,main_board,transition,False,,,True
SH601100_20191030_0002,SH601100,SH601100,2019-10-30,2020-04-17,2020-01-23,train,main_board,risk_on,False,,,True
SH601100_20200527_0003,SH601100,SH601100,2020-05-27,2020-11-11,2020-08-31,train,main_board,transition,False,,,True
SH601168_20201027_0000,SH601168,SH601168,2020-10-27,2021-02-22,2020-11-09,train,main_board,transition,False,,,True
SH601168_20231106_0003,SH601168,SH601168,2023-11-06,2024-04-19,2024-03-07,validation,main_board,transition,False,,,True
SH601212_20251124_0002,SH601212,SH601212,2025-11-24,2026-01-29,2026-01-14,robustness,main_board,transition,False,,,False
SH601225_20211110_0002,SH601225,SH601225,2021-11-10,2022-04-15,2022-04-08,train,main_board,transition,False,,,True
SH601225_20230817_0004,SH601225,SH601225,2023-08-17,2024-02-20,2024-01-25,validation,main_board,transition,False,,,True
SH601231_20251124_0002,SH601231,SH601231,2025-11-24,2026-02-26,2025-12-25,robustness,main_board,transition,False,,,False
SH601233_20200928_0002,SH601233,SH601233,2020-09-28,2021-02-18,2020-11-16,train,main_board,transition,False,,,True
SH601318_20240412_0001,SH601318,SH601318,2024-04-12,2024-10-08,2024-09-30,robustness,main_board,risk_on,False,,,True
SH601319_20240624_0000,SH601319,SH601319,2024-06-24,2024-10-08,2024-09-30,robustness,main_board,transition,False,,,True
SH601555_20230313_0002,SH601555,SH601555,2023-03-13,2023-08-04,2023-08-04,validation,main_board,risk_on,False,,,True
SH601598_20210330_0001,SH601598,SH601598,2021-03-30,2021-09-13,2021-09-13,train,main_board,transition,True,SH601598_20210903_risk_on_transition_union,2021-09-03,True
SH601598_20230112_0002,SH601598,SH601598,2023-01-12,2023-05-10,2023-05-09,validation,main_board,risk_on,False,,,True
SH601600_20210129_0001,SH601600,SH601600,2021-01-29,2021-07-26,2021-03-15,train,main_board,risk_on,False,,,True
SH601601_20240412_0001,SH601601,SH601601,2024-04-12,2024-10-08,2024-09-24,robustness,main_board,risk_on,False,,,True
SH601611_20251121_0000,SH601611,SH601611,2025-11-21,2026-01-13,2026-01-08,robustness,main_board,transition,False,,,False
SH601669_20211013_0001,SH601669,SH601669,2021-10-13,2022-02-10,2022-02-08,train,main_board,transition,False,,,True
SH601688_20230314_0001,SH601688,SH601688,2023-03-14,2023-08-28,2023-08-04,validation,main_board,transition,False,,,True
SH601698_20250923_0003,SH601698,SH601698,2025-09-23,2026-01-12,2025-12-29,robustness,main_board,risk_on,False,,,True
SH601699_20210709_0000,SH601699,SH601699,2021-07-09,2021-09-13,2021-08-31,train,main_board,risk_on,False,,,True
SH601699_20220805_0002,SH601699,SH601699,2022-08-05,2023-01-20,2022-11-14,validation,main_board,risk_on,True,SH601699_20220907_risk_on_transition_union,2022-09-07,True
SH601717_20250707_0001,SH601717,SH601717,2025-07-07,2025-09-24,2025-09-09,robustness,main_board,risk_on,False,,,True
SH601799_20190910_0001,SH601799,SH601799,2019-09-10,2020-03-11,2020-03-10,train,main_board,risk_on,False,,,True
SH601799_20201009_0003,SH601799,SH601799,2020-10-09,2021-01-25,2021-01-08,train,main_board,transition,False,,,True
SH601800_20211110_0001,SH601800,SH601800,2021-11-10,2022-02-11,2022-02-08,train,main_board,transition,False,,,True
SH601828_20210209_0000,SH601828,SH601828,2021-02-09,2021-07-07,2021-07-02,train,main_board,risk_on,True,SH601828_20210525_risk_on_transition_union,2021-05-25,True
SH601866_20210209_0002,SH601866,SH601866,2021-02-09,2021-07-05,2021-06-23,train,main_board,risk_on,False,,,True
SH601866_20210728_0003,SH601866,SH601866,2021-07-28,2021-09-16,2021-09-13,train,main_board,transition,False,,,True
SH601868_20250905_0000,SH601868,SH601868,2025-09-05,2026-03-12,2026-03-12,robustness,main_board,risk_on,False,,,True
SH601869_20251121_0001,SH601869,SH601869,2025-11-21,2026-05-12,2025-12-19,robustness,main_board,transition,False,,,False
SH601872_20191107_0002,SH601872,SH601872,2019-11-07,2020-01-02,2019-12-20,train,main_board,risk_on,False,,,True
SH601877_20250603_0005,SH601877,SH601877,2025-06-03,2025-11-07,2025-10-09,robustness,main_board,transition,False,,,True
SH601877_20251124_0006,SH601877,SH601877,2025-11-24,2026-03-11,2026-03-10,robustness,main_board,transition,False,,,False
SH601878_20240715_0001,SH601878,SH601878,2024-07-15,2024-10-09,2024-10-08,robustness,main_board,transition,False,,,True
SH601881_20230103_0000,SH601881,SH601881,2023-01-03,2023-05-09,2023-05-08,validation,main_board,risk_on,False,,,True
SH601888_20250623_0007,SH601888,SH601888,2025-06-23,2025-11-12,2025-11-11,robustness,main_board,risk_on,True,SH601888_20251110_risk_on_transition_union,2025-11-10,True
SH601898_20210520_0001,SH601898,SH601898,2021-05-20,2021-09-16,2021-09-09,train,main_board,risk_on,False,,,True
SH601898_20250904_0004,SH601898,SH601898,2025-09-04,2026-03-09,2026-03-02,robustness,main_board,risk_on,False,,,True
SH601899_20251124_0003,SH601899,SH601899,2025-11-24,2026-01-29,2026-01-27,robustness,main_board,transition,False,,,False
SH601919_20240329_0000,SH601919,SH601919,2024-03-29,2024-06-06,2024-05-27,robustness,main_board,risk_on,True,SH601919_20240425_risk_on_transition_union,2024-04-25,True
SH601958_20251023_0003,SH601958,SH601958,2025-10-23,2026-03-03,2026-01-26,robustness,main_board,risk_on,False,,,False
SH601990_20200427_0001,SH601990,SH601990,2020-04-27,2020-07-15,2020-07-14,train,main_board,transition,False,,,True
SH601991_20250926_0004,SH601991,SH601991,2025-09-26,2026-03-13,2026-03-13,robustness,main_board,risk_on,False,,,True
SH603019_20200313_0001,SH603019,SH603019,2020-03-13,2020-07-10,2020-07-06,train,main_board,transition,False,,,True
SH603083_20251124_0000,SH603083,SH603083,2025-11-24,2026-05-26,2025-12-29,robustness,main_board,transition,False,,,False
SH603127_20210706_0000,SH603127,SH603127,2021-07-06,2021-09-22,2021-08-04,train,main_board,risk_on,False,,,True
SH603228_20250904_0000,SH603228,SH603228,2025-09-04,2025-10-29,2025-09-22,robustness,main_board,risk_on,False,,,True
SH603228_20251124_0001,SH603228,SH603228,2025-11-24,2026-05-26,2026-05-25,robustness,main_board,transition,False,,,False
SH603260_20200925_0002,SH603260,SH603260,2020-09-25,2021-02-18,2020-11-11,train,main_board,transition,False,,,True
SH603268_20250619_0000,SH603268,SH603268,2025-06-19,2025-12-04,2025-08-19,robustness,main_board,risk_on,False,,,True
SH603338_20201026_0003,SH603338,SH603338,2020-10-26,2021-02-18,2021-02-09,train,main_board,transition,False,,,True
SH603345_20201109_0000,SH603345,SH603345,2020-11-09,2021-02-18,2021-01-26,train,main_board,risk_on,False,,,True
SH603369_20200807_0004,SH603369,SH603369,2020-08-07,2021-01-06,2021-01-04,train,main_board,risk_on,True,SH603369_20201217_risk_on_transition_union,2020-12-17,True
SH603489_20210818_0000,SH603489,SH603489,2021-08-18,2021-10-26,2021-10-21,train,main_board,transition,False,,,True
SH603568_20250815_0002,SH603568,SH603568,2025-08-15,2026-01-26,2026-01-23,robustness,main_board,risk_on,False,,,True
SH603589_20200929_0003,SH603589,SH603589,2020-09-29,2021-01-05,2020-12-23,train,main_board,transition,False,,,True
SH603606_20220111_0000,SH603606,SH603606,2022-01-11,2022-07-06,2022-03-01,validation,main_board,transition,False,,,True
SH603659_20210730_0000,SH603659,SH603659,2021-07-30,2021-11-29,2021-09-15,train,main_board,transition,False,,,True
SH603708_20191203_0000,SH603708,SH603708,2019-12-03,2020-06-01,2020-04-22,train,main_board,transition,False,,,True
SH603816_20200930_0001,SH603816,SH603816,2020-09-30,2021-02-08,2021-02-04,train,main_board,transition,True,SH603816_20201103_risk_on_transition_union,2020-11-03,True
SH603866_20180206_0000,SH603866,SH603866,2018-02-06,2018-06-07,2018-05-03,train,main_board,transition,False,,,True
SH603882_20200528_0002,SH603882,SH603882,2020-05-28,2020-10-16,2020-07-15,train,main_board,risk_on,False,,,True
SH603893_20241127_0000,SH603893,SH603893,2024-11-27,2025-02-07,2024-12-27,robustness,main_board,risk_on,False,,,True
SH603979_20251121_0000,SH603979,SH603979,2025-11-21,2026-01-29,2026-01-29,robustness,main_board,transition,False,,,False
SH603986_20251124_0003,SH603986,SH603986,2025-11-24,2026-05-27,2026-01-07,robustness,main_board,transition,False,,,False
SH603993_20251124_0010,SH603993,SH603993,2025-11-24,2026-01-29,2026-01-09,robustness,main_board,transition,False,,,False
SH605499_20250227_0003,SH605499,SH605499,2025-02-27,2025-06-12,2025-05-28,robustness,main_board,risk_on,True,SH605499_20250527_risk_on_transition_union,2025-05-27,True
SZ000001_20200525_0002,SZ000001,SZ000001,2020-05-25,2020-11-19,2020-11-19,train,main_board,transition,True,SZ000001_20201019_risk_on_transition_union,2020-10-19,True
SZ000009_20210524_0001,SZ000009,SZ000009,2021-05-24,2021-08-24,2021-06-11,train,main_board,risk_on,False,,,True
SZ000021_20191112_0000,SZ000021,SZ000021,2019-11-12,2020-05-13,2020-01-06,train,main_board,transition,True,SZ000021_20191227_risk_on_transition_union,2019-12-27,True
SZ000021_20251121_0001,SZ000021,SZ000021,2025-11-21,2026-05-26,2026-01-21,robustness,main_board,transition,False,,,False
SZ000027_20200925_0000,SZ000027,SZ000027,2020-09-25,2021-03-30,2021-03-09,train,main_board,transition,False,,,True
SZ000032_20230227_0000,SZ000032,SZ000032,2023-02-27,2023-04-10,2023-03-17,validation,main_board,risk_on,False,,,True
SZ000039_20250923_0004,SZ000039,SZ000039,2025-09-23,2026-03-02,2026-02-05,robustness,main_board,risk_on,False,,,True
SZ000063_20230403_0001,SZ000063,SZ000063,2023-04-03,2023-07-03,2023-06-27,validation,main_board,risk_on,True,SZ000063_20230613_risk_on_transition_union,2023-06-13,True
SZ000301_20251017_0001,SZ000301,SZ000301,2025-10-17,2026-03-04,2026-02-11,robustness,main_board,risk_on,False,,,True
SZ000408_20210817_0001,SZ000408,SZ000408,2021-08-17,2022-01-04,2021-12-22,train,main_board,transition,False,,,True
SZ000408_20251105_0006,SZ000408,SZ000408,2025-11-05,2026-01-26,2025-12-19,robustness,main_board,risk_on,False,,,True
SZ000426_20251105_0000,SZ000426,SZ000426,2025-11-05,2026-01-29,2026-01-06,robustness,main_board,risk_on,False,,,True
SZ000539_20230406_0002,SZ000539,SZ000539,2023-04-06,2023-07-10,2023-07-10,validation,main_board,risk_on,False,,,True
SZ000547_20201111_0003,SZ000547,SZ000547,2020-11-11,2021-01-06,2021-01-04,train,main_board,risk_on,False,,,True
SZ000596_20201026_0004,SZ000596,SZ000596,2020-10-26,2021-01-05,2021-01-05,train,main_board,transition,True,SZ000596_20201228_risk_on_transition_union,2020-12-28,True
SZ000617_20230112_0002,SZ000617,SZ000617,2023-01-12,2023-05-10,2023-05-05,validation,main_board,risk_on,False,,,True
SZ000617_20250807_0005,SZ000617,SZ000617,2025-08-07,2025-09-01,2025-08-25,robustness,main_board,risk_on,False,,,True
SZ000625_20230831_0000,SZ000625,SZ000625,2023-08-31,2023-11-28,2023-11-27,validation,main_board,transition,False,,,True
SZ000630_20251121_0004,SZ000630,SZ000630,2025-11-21,2026-01-29,2026-01-26,robustness,main_board,transition,False,,,False
SZ000657_20251017_0000,SZ000657,SZ000657,2025-10-17,2026-03-03,2025-10-29,robustness,main_board,risk_on,False,,,True
SZ000708_20250922_0000,SZ000708,SZ000708,2025-09-22,2026-02-27,2026-02-27,robustness,main_board,risk_on,False,,,True
SZ000710_20200720_0002,SZ000710,SZ000710,2020-07-20,2020-07-31,2020-07-29,train,main_board,risk_on,False,,,True
SZ000725_20251124_0000,SZ000725,SZ000725,2025-11-24,2026-05-27,2026-05-26,robustness,main_board,transition,False,,,False
SZ000733_20200914_0000,SZ000733,SZ000733,2020-09-14,2021-01-29,2020-12-24,train,main_board,transition,False,,,True
SZ000733_20210917_0002,SZ000733,SZ000733,2021-09-17,2022-01-19,2021-12-27,train,main_board,risk_on,False,,,True
SZ000739_20191112_0000,SZ000739,SZ000739,2019-11-12,2020-04-10,2020-03-03,train,main_board,transition,False,,,True
SZ000739_20200427_0001,SZ000739,SZ000739,2020-04-27,2020-08-31,2020-07-02,train,main_board,transition,False,,,True
SZ000739_20210528_0003,SZ000739,SZ000739,2021-05-28,2021-11-24,2021-09-06,train,main_board,risk_on,False,,,True
SZ000768_20200911_0002,SZ000768,SZ000768,2020-09-11,2021-01-11,2020-11-26,train,main_board,transition,True,SZ000768_20201103_risk_on_transition_union,2020-11-03,True
SZ000768_20211013_0004,SZ000768,SZ000768,2021-10-13,2021-12-03,2021-12-03,train,main_board,transition,True,SZ000768_20211201_risk_on_transition_union,2021-12-01,True
SZ000786_20200930_0003,SZ000786,SZ000786,2020-09-30,2021-02-18,2021-01-11,train,main_board,transition,False,,,True
SZ000792_20250603_0001,SZ000792,SZ000792,2025-06-03,2025-11-20,2025-10-14,robustness,main_board,transition,False,,,True
SZ000799_20200807_0000,SZ000799,SZ000799,2020-08-07,2021-01-13,2020-09-02,train,main_board,risk_on,False,,,True
SZ000807_20210702_0000,SZ000807,SZ000807,2021-07-02,2021-09-16,2021-08-26,train,main_board,risk_on,False,,,True
SZ000825_20201030_0000,SZ000825,SZ000825,2020-10-30,2021-04-27,2021-03-12,train,main_board,transition,False,,,True
SZ000825_20210819_0001,SZ000825,SZ000825,2021-08-19,2021-09-17,2021-09-09,train,main_board,transition,False,,,True
SZ000830_20210201_0000,SZ000830,SZ000830,2021-02-01,2021-07-19,2021-02-22,train,main_board,risk_on,False,,,True
SZ000831_20211012_0000,SZ000831,SZ000831,2021-10-12,2021-12-06,2021-12-06,train,main_board,transition,False,,,True
SZ000831_20250425_0003,SZ000831,SZ000831,2025-04-25,2025-10-14,2025-07-25,robustness,main_board,transition,False,,,True
SZ000858_20200923_0003,SZ000858,SZ000858,2020-09-23,2021-02-18,2021-01-05,train,main_board,transition,False,,,True
SZ000895_20200602_0001,SZ000895,SZ000895,2020-06-02,2020-08-31,2020-07-20,train,main_board,risk_on,False,,,True
SZ000898_20210618_0001,SZ000898,SZ000898,2021-06-18,2021-09-09,2021-09-01,train,main_board,risk_on,True,SZ000898_20210831_risk_on_transition_union,2021-08-31,True
SZ000933_20250623_0004,SZ000933,SZ000933,2025-06-23,2025-11-10,2025-10-21,robustness,main_board,risk_on,False,,,True
SZ000938_20230515_0005,SZ000938,SZ000938,2023-05-15,2023-06-21,2023-06-21,validation,main_board,transition,False,,,True
SZ000958_20210507_0001,SZ000958,SZ000958,2021-05-07,2021-09-27,2021-09-27,train,main_board,transition,False,,,True
SZ000959_20210709_0002,SZ000959,SZ000959,2021-07-09,2021-09-14,2021-08-12,train,main_board,risk_on,False,,,True
SZ000960_20210820_0001,SZ000960,SZ000960,2021-08-20,2021-09-01,2021-08-31,train,main_board,transition,False,,,True
SZ000960_20251105_0003,SZ000960,SZ000960,2025-11-05,2026-03-02,2026-01-07,robustness,main_board,risk_on,False,,,True
SZ000977_20230515_0004,SZ000977,SZ000977,2023-05-15,2023-06-20,2023-06-14,validation,main_board,transition,False,,,True
SZ000983_20210709_0000,SZ000983,SZ000983,2021-07-09,2021-09-09,2021-08-26,train,main_board,risk_on,False,,,True
SZ000987_20200616_0001,SZ000987,SZ000987,2020-06-16,2020-07-15,2020-07-07,train,main_board,risk_on,False,,,True
SZ000987_20250923_0004,SZ000987,SZ000987,2025-09-23,2026-01-26,2026-01-12,robustness,main_board,risk_on,False,,,True
SZ000988_20190329_0001,SZ000988,SZ000988,2019-03-29,2019-09-06,2019-09-05,train,main_board,risk_on,False,,,True
SZ000988_20210204_0003,SZ000988,SZ000988,2021-02-04,2021-08-04,2021-08-02,train,main_board,risk_on,True,SZ000988_20210623_risk_on_transition_union,2021-06-23,True
SZ000988_20230515_0004,SZ000988,SZ000988,2023-05-15,2023-07-17,2023-06-16,validation,main_board,transition,False,,,True
SZ000988_20251121_0008,SZ000988,SZ000988,2025-11-21,2026-05-26,2026-03-04,robustness,main_board,transition,False,,,False
SZ002001_20251022_0004,SZ002001,SZ002001,2025-10-22,2026-03-12,2026-03-03,robustness,main_board,risk_on,False,,,True
