ablated_cluster,episode_split,market_regime_bucket,window,denominator_episodes,kept_union_captured_episodes,incremental_captures_over_e1_after_ablation,incremental_recall_over_e1_after_ablation
board_style_cluster,all,risk_on,before_first_50pct,428,261,21,0.04906542056074766
board_style_cluster,all,transition,before_first_50pct,485,307,21,0.04329896907216495
board_style_cluster,train,risk_on,before_first_50pct,225,153,11,0.04888888888888889
board_style_cluster,train,transition,before_first_50pct,304,210,21,0.06907894736842106
board_style_cluster,validation,risk_on,before_first_50pct,22,11,2,0.09090909090909091
board_style_cluster,validation,transition,before_first_50pct,81,57,0,0.0
board_style_cluster,robustness,risk_on,before_first_50pct,181,97,8,0.04419889502762431
board_style_cluster,robustness,transition,before_first_50pct,100,40,0,0.0
compression_break_cluster,all,risk_on,before_first_50pct,428,245,5,0.011682242990654205
compression_break_cluster,all,transition,before_first_50pct,485,292,6,0.012371134020618556
compression_break_cluster,train,risk_on,before_first_50pct,225,146,4,0.017777777777777778
compression_break_cluster,train,transition,before_first_50pct,304,193,4,0.013157894736842105
compression_break_cluster,validation,risk_on,before_first_50pct,22,9,0,0.0
compression_break_cluster,validation,transition,before_first_50pct,81,57,0,0.0
compression_break_cluster,robustness,risk_on,before_first_50pct,181,90,1,0.0055248618784530384
compression_break_cluster,robustness,transition,before_first_50pct,100,42,2,0.02
