candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,robustness_risk_on_incremental_recall,robustness_transition_incremental_recall,train_risk_on_incremental_recall,train_transition_incremental_recall,validation_risk_on_incremental_recall,validation_transition_incremental_recall,event_count,density_full_denominator,density_vs_e1_full_denominator,events_per_instrument_year_p95,label_completeness_rate,next_open_executable_rate,event_big_winner_120d_rate,selected_for_candidate_union
T4_entropy_compression_then_directional_expansion__event_regime_gated,candidate_family_variant,T4_entropy_compression_then_directional_expansion,event_regime_gated,runnable_existing_data,0.04419889502762431,0.0,0.04888888888888889,0.06907894736842106,0.09090909090909091,0.0,1463,0.403873140304387,0.21451612903225806,2.0,0.9954299895476554,0.9954299895476554,0.2220989614131316,True
T7_board_relative_strength_break__event_regime_gated,candidate_family_variant,T7_board_relative_strength_break,event_regime_gated,fallback_variant,0.0055248618784530384,0.02,0.017777777777777778,0.013157894736842105,0.0,0.0,629,0.1736406050932737,0.09222873900293255,2.0,0.9974226804123711,0.9974226804123711,0.1934863571977336,True
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,0.49171270718232046,0.16,0.36444444444444446,0.3717105263157895,0.5909090909090909,0.2962962962962963,90576,25.004247133431413,13.280938416422288,33.0,0.9986138570189242,0.9993582714711686,0.1905421293570468,False
T6_stock_vs_market_CUSUM_break__all_variants,candidate_family,T6_stock_vs_market_CUSUM_break,all_variants,fallback_variant,0.3701657458563536,0.07,0.35555555555555557,0.35855263157894735,0.5909090909090909,0.2962962962962963,14709,4.060540000503916,2.1567448680351906,6.0,0.9977050714605445,0.9983150355220152,0.19110082468416456,False
T6_stock_vs_market_CUSUM_break__ungated,candidate_family_variant,T6_stock_vs_market_CUSUM_break,ungated,fallback_variant,0.3701657458563536,0.07,0.35555555555555557,0.35855263157894735,0.5909090909090909,0.2962962962962963,13536,3.7367237369515944,1.98475073313783,6.0,0.997567471266703,0.9983895980954046,0.1928271227740511,False
R1_relative_strength_breakout__all_variants,candidate_family,R1_relative_strength_breakout,all_variants,runnable_existing_data,0.4088397790055249,0.09,0.3466666666666667,0.3651315789473684,0.5909090909090909,0.2839506172839506,18538,5.11756683182688,2.7181818181818183,7.0,0.9979097045824177,0.9986367074001955,0.18931221350789326,False
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,0.4088397790055249,0.09,0.3466666666666667,0.3651315789473684,0.5909090909090909,0.2839506172839506,17022,4.699062607150564,2.4958944281524924,7.0,0.9978211779530797,0.9987641565496593,0.1882999981185778,False
R6_market_breadth_thrust__all_variants,candidate_family,R6_market_breadth_thrust,all_variants,runnable_existing_data,0.425414364640884,0.07,0.3466666666666667,0.35855263157894735,0.5909090909090909,0.2716049382716049,21973,6.065826734045315,3.221847507331378,8.0,0.9988059904042088,0.9989583860424014,0.1946949550376222,False
R6_market_breadth_thrust__ungated,candidate_family_variant,R6_market_breadth_thrust,ungated,runnable_existing_data,0.425414364640884,0.07,0.3466666666666667,0.35855263157894735,0.5909090909090909,0.2716049382716049,19754,5.453253597794164,2.8964809384164223,7.0,0.9989019654060702,0.9991184156225204,0.19142271251900475,False
R6_market_breadth_thrust__event_regime_gated,candidate_family_variant,R6_market_breadth_thrust,event_regime_gated,runnable_existing_data,0.425414364640884,0.07,0.3466666666666667,0.35526315789473684,0.5909090909090909,0.2716049382716049,16204,4.4732470030705995,2.3759530791788857,6.0,0.998608317266262,0.9988410730302997,0.18445941384835154,False
