candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,episode_split,market_regime_bucket,window,denominator_episodes,e1_only_captured_episodes,candidate_captured_episodes,e1_plus_candidate_captured_episodes,candidate_only_recall,e1_only_recall,e1_plus_candidate_recall,incremental_captures_over_e1,incremental_recall_over_e1,unique_captures_not_in_07_full_union,unique_captures_not_in_e1_e2_e3_e6,earlier_first_event_captures_vs_e1,better_basis_first_event_captures_vs_e1,percentage_point_convention
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,all,low_plus_20,2493,1033,292,1159,0.11712795828319295,0.41436020858403527,0.4649017248295227,126,0.05054151624548736,120,126,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,all,low_plus_30,2493,1352,344,1456,0.1379863618130766,0.5423184917769756,0.5840352988367429,104,0.041716807059767345,97,104,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,all,low_plus_60,2493,1666,476,1785,0.19093461692739672,0.6682711592458885,0.7160048134777377,119,0.04773365423184918,109,119,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,all,low_plus_120,2493,1876,594,1991,0.23826714801444043,0.7525070196550341,0.7986361813076615,115,0.04612916165262736,102,115,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,all,before_first_50pct,2493,1773,448,1860,0.17970316887284396,0.7111913357400722,0.7460890493381468,87,0.03489771359807461,83,87,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,all,before_episode_high,2493,1807,546,1921,0.2190132370637786,0.7248295226634577,0.7705575611712796,114,0.0457280385078219,105,114,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,risk_on,low_plus_20,428,114,18,127,0.04205607476635514,0.26635514018691586,0.2967289719626168,13,0.030373831775700934,13,13,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,risk_on,low_plus_30,428,144,20,157,0.04672897196261682,0.3364485981308411,0.36682242990654207,13,0.030373831775700934,13,13,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,risk_on,low_plus_60,428,192,39,211,0.0911214953271028,0.4485981308411215,0.4929906542056075,19,0.04439252336448598,19,19,,,incremental_captures_over_e1 / same split-regime-window denominator
cluster__board_style_cluster,mechanism_cluster,board_style_cluster,cluster_union,mixed,board_style_cluster,all,risk_on,low_plus_120,428,263,89,283,0.20794392523364486,0.6144859813084113,0.6612149532710281,20,0.04672897196261682,19,20,,,incremental_captures_over_e1 / same split-regime-window denominator
