candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,episode_split,market_regime_bucket,window,denominator_episodes,e1_only_captured_episodes,candidate_captured_episodes,e1_plus_candidate_captured_episodes,candidate_only_recall,e1_only_recall,e1_plus_candidate_recall,incremental_captures_over_e1,incremental_recall_over_e1,unique_captures_not_in_07_full_union,unique_captures_not_in_e1_e2_e3_e6,earlier_first_event_captures_vs_e1,better_basis_first_event_captures_vs_e1,percentage_point_convention,density_full_denominator,density_eligible_gated_denominator,density_vs_e1_full_denominator
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,all,risk_on,before_first_50pct,428,240,393,404,0.9182242990654206,0.5607476635514018,0.9439252336448598,164,0.38317757009345793,160,160,,,incremental_captures_over_e1 / same split-regime-window denominator,3.96502386479283,5.452865805431057,2.1060117302052785
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,all,transition,before_first_50pct,485,286,412,428,0.8494845360824742,0.5896907216494846,0.8824742268041237,142,0.2927835051546392,139,139,,,incremental_captures_over_e1 / same split-regime-window denominator,3.96502386479283,5.452865805431057,2.1060117302052785
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,before_first_50pct,181,89,155,163,0.856353591160221,0.49171270718232046,0.9005524861878453,74,0.4088397790055249,73,73,,,incremental_captures_over_e1 / same split-regime-window denominator,3.96502386479283,5.452865805431057,2.1060117302052785
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,transition,before_first_50pct,100,40,42,49,0.42,0.4,0.49,9,0.09,9,9,,,incremental_captures_over_e1 / same split-regime-window denominator,3.96502386479283,5.452865805431057,2.1060117302052785
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,train,risk_on,before_first_50pct,225,142,216,219,0.96,0.6311111111111111,0.9733333333333334,77,0.3422222222222222,74,74,,,incremental_captures_over_e1 / same split-regime-window denominator,3.96502386479283,5.452865805431057,2.1060117302052785
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,train,transition,before_first_50pct,304,189,295,299,0.9703947368421053,0.6217105263157895,0.9835526315789473,110,0.3618421052631579,107,107,,,incremental_captures_over_e1 / same split-regime-window denominator,3.96502386479283,5.452865805431057,2.1060117302052785
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,all,risk_on,before_first_50pct,428,240,396,405,0.9252336448598131,0.5607476635514018,0.9462616822429907,165,0.3855140186915888,161,161,,,incremental_captures_over_e1 / same split-regime-window denominator,4.699062607150564,4.699062607150564,2.4958944281524924
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,all,transition,before_first_50pct,485,286,421,429,0.8680412371134021,0.5896907216494846,0.8845360824742268,143,0.2948453608247423,140,140,,,incremental_captures_over_e1 / same split-regime-window denominator,4.699062607150564,4.699062607150564,2.4958944281524924
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,before_first_50pct,181,89,157,163,0.8674033149171271,0.49171270718232046,0.9005524861878453,74,0.4088397790055249,73,73,,,incremental_captures_over_e1 / same split-regime-window denominator,4.699062607150564,4.699062607150564,2.4958944281524924
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,robustness,transition,before_first_50pct,100,40,45,49,0.45,0.4,0.49,9,0.09,9,9,,,incremental_captures_over_e1 / same split-regime-window denominator,4.699062607150564,4.699062607150564,2.4958944281524924
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,train,risk_on,before_first_50pct,225,142,217,220,0.9644444444444444,0.6311111111111111,0.9777777777777777,78,0.3466666666666667,75,75,,,incremental_captures_over_e1 / same split-regime-window denominator,4.699062607150564,4.699062607150564,2.4958944281524924
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,train,transition,before_first_50pct,304,189,297,300,0.9769736842105263,0.6217105263157895,0.9868421052631579,111,0.3651315789473684,108,108,,,incremental_captures_over_e1 / same split-regime-window denominator,4.699062607150564,4.699062607150564,2.4958944281524924
R2_near_high_volume_expansion__event_regime_gated,candidate_family_variant,R2_near_high_volume_expansion,event_regime_gated,runnable_existing_data,volume_high_breakout_cluster,all,risk_on,before_first_50pct,428,240,350,378,0.8177570093457944,0.5607476635514018,0.883177570093458,138,0.32242990654205606,134,134,,,incremental_captures_over_e1 / same split-regime-window denominator,2.6327670123601767,3.6206907461112574,1.3983870967741934
R2_near_high_volume_expansion__event_regime_gated,candidate_family_variant,R2_near_high_volume_expansion,event_regime_gated,runnable_existing_data,volume_high_breakout_cluster,all,transition,before_first_50pct,485,286,357,405,0.7360824742268042,0.5896907216494846,0.8350515463917526,119,0.24536082474226803,117,117,,,incremental_captures_over_e1 / same split-regime-window denominator,2.6327670123601767,3.6206907461112574,1.3983870967741934
R2_near_high_volume_expansion__event_regime_gated,candidate_family_variant,R2_near_high_volume_expansion,event_regime_gated,runnable_existing_data,volume_high_breakout_cluster,robustness,risk_on,before_first_50pct,181,89,134,141,0.7403314917127072,0.49171270718232046,0.7790055248618785,52,0.287292817679558,51,51,,,incremental_captures_over_e1 / same split-regime-window denominator,2.6327670123601767,3.6206907461112574,1.3983870967741934
