candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,event_count,canonical_event_count,event_instances_per_instrument_year,canonical_events_per_instrument_year,events_per_instrument_year_mean,events_per_instrument_year_p50,events_per_instrument_year_p95,density_full_denominator,density_eligible_gated_denominator,density_increase_over_e1_full_denominator,density_vs_e1_full_denominator,density_vs_same_gated_denominator,density_by_split,density_by_event_regime_bucket,density_by_board,triggered_family_share,top_triggered_family_share,same_day_merge_rate,selected_variant_flag,density_share_of_selected_union,focus_incremental_recall_for_density_drag,focus_incremental_captures_for_density_drag,family_density_mean_gate_pass,family_density_p95_gate_pass,family_density_share_gate_pass,density_drag_flag
07_e1_only,07_e1_only,E1_early_ema60_repair,07_recomputed,upstream_07,repair_reclaim_cluster,6820,6820,1.8827168946520296,1.8827168946520296,1.8333333333333333,2.0,3.0,1.8827168946520296,1.8827168946520296,0.0,1.0,1.0,"{""robustness"":{""event_count"":1685,""events_per_instrument_year"":0.4651580597490718},""train"":{""event_count"":3335,""events_per_instrument_year"":0.9206540826487565},""validation"":{""event_count"":1800,""events_per_instrument_year"":0.4969047522542014}}","{""risk_off"":{""event_count"":1887,""events_per_instrument_year"":0.5209218152798211},""risk_on"":{""event_count"":2963,""events_per_instrument_year"":0.8179604338495549},""transition"":{""event_count"":1970,""events_per_instrument_year"":0.5438346455226537}}","{""chinext"":{""event_count"":1244,""events_per_instrument_year"":0.3434163954467925},""main_board"":{""event_count"":5576,""events_per_instrument_year"":1.539300499205237}}","{""E1_early_ema60_repair"":1.0}",1.0,0.5996477839741708,False,3.305865244789142,,,True,True,True,False
07_full_union,07_full_union,07_full_union,reported_union,upstream_07,repair_reclaim_cluster,15161,15161,4.18531830495886,4.18531830495886,3.937922077922078,4.0,7.0,4.18531830495886,4.18531830495886,2.30260141030683,2.2230205278592376,2.2230205278592376,"{""robustness"":{""event_count"":3687,""events_per_instrument_year"":1.0178265675340226},""train"":{""event_count"":7328,""events_per_instrument_year"":2.022954458065993},""validation"":{""event_count"":4146,""events_per_instrument_year"":1.1445372793588438}}","{""risk_off"":{""event_count"":4019,""events_per_instrument_year"":1.109477888505353},""risk_on"":{""event_count"":6928,""events_per_instrument_year"":1.9125311797872817},""transition"":{""event_count"":4214,""events_per_instrument_year"":1.1633092366662248}}","{""chinext"":{""event_count"":2719,""events_per_instrument_year"":0.7506022340995409},""main_board"":{""event_count"":12442,""events_per_instrument_year"":3.4347160708593187}}","{""07_full_union"":1.0}",1.0,0.49054067677005275,False,7.349006301502666,,,True,True,True,False
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,90576,90576,25.004247133431413,25.004247133431413,16.4414594300236,16.0,33.0,25.004247133431413,25.004247133431413,23.121530238779382,13.280938416422288,13.280938416422288,"{""robustness"":{""event_count"":22618,""events_per_instrument_year"":6.243884270269737},""train"":{""event_count"":45905,""events_per_instrument_year"":12.672451473460619},""validation"":{""event_count"":22053,""events_per_instrument_year"":6.087911389701057}}","{""risk_off"":{""event_count"":18889,""events_per_instrument_year"":5.214463258516449},""risk_on"":{""event_count"":46473,""events_per_instrument_year"":12.829252528616388},""transition"":{""event_count"":25214,""events_per_instrument_year"":6.960531346298574}}","{""chinext"":{""event_count"":19588,""events_per_instrument_year"":5.407427937308498},""main_board"":{""event_count"":70988,""events_per_instrument_year"":19.596819196122915}}","{""R1_relative_strength_breakout"":0.13344562979599475,""R2_near_high_volume_expansion"":0.08004722210224736,""R3_vcp_breakout"":0.06635569184698888,""R5_growth_or_small_style_confirmation"":0.016390964453850472,""R6_market_breadth_thrust"":0.15817244705509725,""R7_cross_sectional_momentum_rank_jump"":0.09418505881167308,""R8_persistent_distance_above_ema"":0.10827250608272507,""T3_style_rotation_break"":0.00485178306626931,""T4_entropy_compression_then_directional_expansion"":0.0122446335248132,""T5_volume_regime_shift"":0.11328265595531177,""T6_stock_vs_market_CUSUM_break"":0.10588260700557163,""T7_board_relative_strength_break"":0.00485178306626931,""T8_volatility_regime_contraction_break"":0.10201701723318793}",0.15817244705509725,0.620511230564901,False,43.904992729035385,1.3878676779425545,300.0,True,True,True,False
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,17022,17022,4.699062607150564,4.699062607150564,3.27787406123628,3.0,7.0,4.699062607150564,4.699062607150564,2.8163457124985345,2.4958944281524924,2.4958944281524924,"{""robustness"":{""event_count"":4263,""events_per_instrument_year"":1.176836088255367},""train"":{""event_count"":8408,""events_per_instrument_year"":2.321097309418514},""validation"":{""event_count"":4351,""events_per_instrument_year"":1.2011292094766834}}","{""risk_off"":{""event_count"":3822,""events_per_instrument_year"":1.0550944239530875},""risk_on"":{""event_count"":8545,""events_per_instrument_year"":2.3589172822289726},""transition"":{""event_count"":4655,""events_per_instrument_year"":1.285050900968504}}","{""chinext"":{""event_count"":3485,""events_per_instrument_year"":0.9620628120032733},""main_board"":{""event_count"":13537,""events_per_instrument_year"":3.736999795147291}}","{""R1_relative_strength_breakout"":1.0}",1.0,0.0,False,8.251090644692196,1.21063802461956,272.0,False,False,True,False
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,14363,14363,3.96502386479283,3.96502386479283,2.890521231636144,3.0,6.0,3.96502386479283,5.452865805431057,2.0823069701408006,2.1060117302052785,2.9116156497060612,"{""robustness"":{""event_count"":3746,""events_per_instrument_year"":1.0341140010801324},""train"":{""event_count"":7212,""events_per_instrument_year"":1.990931707365167},""validation"":{""event_count"":3405,""events_per_instrument_year"":0.9399781563475309}}","{""risk_on"":{""event_count"":8712,""events_per_instrument_year"":2.4050190009103347},""transition"":{""event_count"":5651,""events_per_instrument_year"":1.5600048638824955}}","{""chinext"":{""event_count"":3005,""events_per_instrument_year"":0.8295548780688196},""main_board"":{""event_count"":11358,""events_per_instrument_year"":3.135468986724011}}","{""R1_relative_strength_breakout"":1.0}",1.0,0.0,False,6.962190984003878,1.202904106490905,270.0,False,False,True,False
R2_near_high_volume_expansion__ungated,candidate_family_variant,R2_near_high_volume_expansion,ungated,runnable_existing_data,volume_high_breakout_cluster,10742,10742,2.965417138174795,2.965417138174795,2.366079295154185,2.0,5.0,2.965417138174795,2.965417138174795,1.0827002435227655,1.5750733137829913,1.5750733137829913,"{""robustness"":{""event_count"":3021,""events_per_instrument_year"":0.8339718091999679},""train"":{""event_count"":5357,""events_per_instrument_year"":1.4788437543476427},""validation"":{""event_count"":2364,""events_per_instrument_year"":0.6526015746271845}}","{""risk_off"":{""event_count"":1514,""events_per_instrument_year"":0.4179521082849227},""risk_on"":{""event_count"":6993,""events_per_instrument_year"":1.9304749625075723},""transition"":{""event_count"":2235,""events_per_instrument_year"":0.6169900673823}}","{""chinext"":{""event_count"":1844,""events_per_instrument_year"":0.5090513128648596},""main_board"":{""event_count"":8898,""events_per_instrument_year"":2.4563658253099354}}","{""R2_near_high_volume_expansion"":1.0}",1.0,0.0,False,5.206980126030054,1.0452299602597654,235.0,False,False,True,False
R2_near_high_volume_expansion__event_regime_gated,candidate_family_variant,R2_near_high_volume_expansion,event_regime_gated,runnable_existing_data,volume_high_breakout_cluster,9537,9537,2.6327670123601767,2.6327670123601767,2.2112218873174125,2.0,4.0,2.6327670123601767,3.6206907461112574,0.7500501177081471,1.3983870967741934,1.9333063044800323,"{""robustness"":{""event_count"":2725,""events_per_instrument_year"":0.7522585832737215},""train"":{""event_count"":4805,""events_per_instrument_year"":1.326459630323021},""validation"":{""event_count"":2007,""events_per_instrument_year"":0.5540487987634345}}","{""risk_on"":{""event_count"":7083,""events_per_instrument_year"":1.9553202001202823},""transition"":{""event_count"":2454,""events_per_instrument_year"":0.6774468122398946}}","{""chinext"":{""event_count"":1659,""events_per_instrument_year"":0.4579805466609556},""main_board"":{""event_count"":7878,""events_per_instrument_year"":2.1747864656992215}}","{""R2_near_high_volume_expansion"":1.0}",1.0,0.0,False,4.622879301987397,1.0186817065684468,230.0,False,False,True,False
R3_vcp_breakout__ungated,candidate_family_variant,R3_vcp_breakout,ungated,runnable_existing_data,compression_break_cluster,8850,8850,2.44311503191649,2.44311503191649,2.141301717880474,2.0,4.0,2.44311503191649,2.44311503191649,0.5603981372644604,1.2976539589442815,1.2976539589442815,"{""robustness"":{""event_count"":2153,""events_per_instrument_year"":0.5943532953351642},""train"":{""event_count"":4501,""events_per_instrument_year"":1.2425379388312001},""validation"":{""event_count"":2196,""events_per_instrument_year"":0.6062237977501257}}","{""risk_off"":{""event_count"":1779,""events_per_instrument_year"":0.49110753014456904},""risk_on"":{""event_count"":4603,""events_per_instrument_year"":1.2706958747922716},""transition"":{""event_count"":2468,""events_per_instrument_year"":0.6813116269796494}}","{""chinext"":{""event_count"":1698,""events_per_instrument_year"":0.46874681629313},""main_board"":{""event_count"":7152,""events_per_instrument_year"":1.9743682156233602}}","{""R3_vcp_breakout"":1.0}",1.0,0.0,False,4.2898691226369365,0.6925485444735227,157.0,False,False,True,False
R3_vcp_breakout__event_regime_gated,candidate_family_variant,R3_vcp_breakout,event_regime_gated,runnable_existing_data,compression_break_cluster,7426,7426,2.0500081612442775,2.0500081612442775,1.951129795060431,2.0,4.0,2.0500081612442775,2.8192565251779595,0.1672912665922479,1.0888563049853373,1.5053719845935536,"{""robustness"":{""event_count"":1997,""events_per_instrument_year"":0.5512882168064668},""train"":{""event_count"":3568,""events_per_instrument_year"":0.9849756422461058},""validation"":{""event_count"":1861,""events_per_instrument_year"":0.5137443021917049}}","{""risk_on"":{""event_count"":4695,""events_per_instrument_year"":1.2960932287963753},""transition"":{""event_count"":2731,""events_per_instrument_year"":0.7539149324479022}}","{""chinext"":{""event_count"":1416,""events_per_instrument_year"":0.3908984051066384},""main_board"":{""event_count"":6010,""events_per_instrument_year"":1.6591097561376391}}","{""R3_vcp_breakout"":1.0}",1.0,0.0,False,3.5996122152205525,0.6836596555846338,155.0,False,False,True,False
R5_growth_or_small_style_confirmation__ungated,candidate_family_variant,R5_growth_or_small_style_confirmation,ungated,diagnostic_only,board_style_cluster,2180,2180,0.6018068666189772,0.6018068666189772,2.18436873747495,2.0,4.0,0.6018068666189772,0.6018068666189772,-1.2809100280330523,0.3196480938416422,0.3196480938416422,"{""robustness"":{""event_count"":602,""events_per_instrument_year"":0.16618703380946068},""train"":{""event_count"":1053,""events_per_instrument_year"":0.2906892800687078},""validation"":{""event_count"":525,""events_per_instrument_year"":0.14493055274080874}}","{""risk_off"":{""event_count"":348,""events_per_instrument_year"":0.09606825210247893},""risk_on"":{""event_count"":1290,""events_per_instrument_year"":0.3561150724488443},""transition"":{""event_count"":542,""events_per_instrument_year"":0.14962354206765396}}","{""chinext"":{""event_count"":2180,""events_per_instrument_year"":0.6018068666189772}}","{""R5_growth_or_small_style_confirmation"":1.0}",1.0,0.0,False,1.0567135239941832,0.14361991535006946,33.0,True,False,True,False
