candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,event_split,event_regime_bucket,event_count,false_repair_10d_count,false_repair_10d_rate,false_repair_20d_count,false_repair_20d_rate
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,risk_off,3581,343,0.09578330075397934,688,0.19212510471935212
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,risk_on,14424,2271,0.1574459234608985,3954,0.27412645590682194
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,transition,4613,409,0.08866247561239975,942,0.20420550617819205
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,risk_off,9261,1341,0.14480077745383868,2612,0.28204297592052696
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,risk_on,25147,4999,0.19879110828329424,9156,0.36409909730782997
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,transition,11497,1677,0.14586413847090546,2972,0.2585022179699052
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,validation,risk_off,6047,1045,0.17281296510666447,1827,0.3021332892343311
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,validation,risk_on,6902,858,0.12431179368299043,1968,0.28513474355259344
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,validation,transition,9104,1329,0.1459797891036907,2681,0.2944859402460457
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_off,801,85,0.10611735330836454,164,0.20474406991260924
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,2678,521,0.19454817027632562,844,0.31516056758775207
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,robustness,transition,784,88,0.11224489795918367,200,0.25510204081632654
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,train,risk_off,1755,268,0.1527065527065527,514,0.2928774928774929
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,train,risk_on,4640,1095,0.23599137931034483,1889,0.4071120689655172
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,train,transition,2013,338,0.16790859413810233,593,0.2945851962245405
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,validation,risk_off,1266,218,0.1721958925750395,394,0.31121642969984203
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,validation,risk_on,1227,183,0.1491442542787286,394,0.3211083944580277
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,validation,transition,1858,287,0.15446716899892357,593,0.3191603875134553
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,2704,517,0.191198224852071,848,0.3136094674556213
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,transition,1042,124,0.11900191938579655,267,0.2562380038387716
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,train,risk_on,4672,1100,0.23544520547945205,1893,0.4051797945205479
