input_key,source_path,source_type,source_manifest_hash,input_gate_status,input_gate_failure_reason,config_hash
benchmark_daily_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,file,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
stock_daily_csv_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/interim/qlib_csv/day,directory,,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
topn_executable_universe_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,file,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
topn_membership_universe_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,file,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_05_data_source_coverage_audit_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/05_pit_topn_400_100_universe_v0/outputs/publishable/tables/data_source_coverage_audit.csv,file,0e7f7137909728962ae2d2ddda263d6e621423ea8853dbe1688355ff713060f4,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_05_run_manifest_json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/05_pit_topn_400_100_universe_v0/outputs/manifests/run_manifest.json,file,a62e4723bb0db6026562dd7c741af167db1c49f5542000a28c9042fcf1a543b7,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_06_denominator_summary_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_denominator_summary.csv,file,55095c81711db33e8fd027584c2b7c192096e3563afb8b4ae8792f1c082de5ec,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_06_episode_reference_parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/local_cache/topn_big_winner_episode_reference.parquet,file,79fba58bb0fbd45569df9fbce93338dd26259fce0d2bbb8dab2090014d15c07e,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_06_regime_denominator_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_episode_rate_by_regime.csv,file,f98802c933b1a042d792041a96d6b4087adc23e2240c5ee3c95c7254a5667d8a,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_06_run_manifest_json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/manifests/run_manifest.json,file,986269706a40a019c63d23c044cc320f5f79963a4107e61ff0a5556a9f3a33b1,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_06_split_denominator_summary_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_split_denominator_summary.csv,file,1f3c5f4dbbae036dece00894339b644b60795b104129de4763f2e6861723ae34,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_any_recall_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_any_event_recall_by_split_regime_board.csv,file,d75405538c6012f651ea9d63800cbd99ec839a6f6cad9fa1b9eae67799809d6a,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_bridge_recall_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_bridge_positive_recall_by_split_regime_board.csv,file,8eeed3af4b2e6bf1a6ed54c262aa828cb5861570f9c4975ee7d8e2ab41ebd847,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_channel_density_summary_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_channel_density_summary.csv,file,d36e85997107d083541e7837bc51cbc58e4e3ea2cf22ce01f1a50587a8bdd8a2,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_channel_overlap_matrix_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_channel_overlap_matrix.csv,file,8ec50ddf392468924e9b472af45af68892b96966b0804b93e1ccf2d7febda1e3,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_channel_recall_contribution_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_channel_recall_contribution.csv,file,638cc3dca5e0ff110dd36d45646da05e91d84dabc7a319059120dc6c2daa163e,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_episode_capture_audit_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_episode_capture_audit.csv,file,6824c8af35b70fc002fef14e493d3ce8f53d64881905501855f85384ec06c535,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_event_canonical_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,file,a35a2742075b0ccbacc1745b96851ff3daef869303f07eafee3e6d2bd605bd57,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_event_instances_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_instances.csv,file,1856668627eeed88c494d8099eed13ee86b975bde2dc2adff0cc9c88c5ca91b5,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_event_labels_parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/local_cache/topn_canonical_event_labels.parquet,file,2ad39e2c93f3bdf303e9b01435b5b6c002201510a5b6852c76ddc73d9e7a01a3,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_event_precision_label_readout_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_event_precision_label_readout.csv,file,c1159593991bf0c7c2e7fa23a5bf75492ffd64eaeda5de1d90a65d01607ffd00,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_false_repair_diagnostic_csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_false_repair_diagnostic.csv,file,f50d65a2dc53c674a4b932deffee1470b1032cf43f598fcf565f797580f32bfb,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
upstream_07_run_manifest_json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/manifests/run_manifest.json,file,3b7274b91a0ba1835edeb87c91b64746aec3a25fbef9b19f47704da2f9d3d316,pass,,ecc59032edad84c2d10d613b200ca811ae31e494ea3a15181ff7dfaacb679ed6
