candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,event_split,event_regime_bucket,board_bucket,event_count,executable_event_count,outcome_complete_120d_count,label_completeness_rate,next_open_executable_rate,event_big_winner_120d_rate,near_winner_rate,confirm_20_rate,failure_10_rate,forward_20_return_mean,forward_60_return_mean,mfe_120d_median,mae_120d_median
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,risk_off,chinext,550,550,550,1.0,1.0,0.49818181818181817,0.19636363636363635,0.4218181818181818,0.22363636363636363,0.1244774540394028,0.23307671100234298,0.4981267906659358,-0.12165122859781369
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,risk_off,main_board,3031,3028,3028,0.999010227647641,0.999010227647641,0.15984147952443858,0.2678335535006605,0.3252972258916777,0.13540290620871862,0.048245784776243264,0.12654455480713916,0.2654895573571113,-0.08178176123578423
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,risk_on,chinext,3425,3421,3421,0.9988321167883212,0.9988321167883212,0.3019584916691026,0.1648640748319205,0.35486699795381466,0.33645133002046185,0.01123053955443474,0.05919014756036117,0.27038043478260865,-0.20504640371229688
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,risk_on,main_board,10999,10976,10970,0.9973633966724248,0.9979089008091645,0.17338195077484048,0.14676390154968094,0.27286807580174927,0.19506195335276968,0.0057012475977511225,0.025789118287299292,0.19139829661140195,-0.1395284201817547
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,transition,chinext,1072,1072,1067,0.9953358208955224,1.0,0.4020618556701031,0.20712277413308341,0.3927238805970149,0.2294776119402985,0.05549658024120368,0.06722473869721676,0.40009358914365944,-0.16635160680529304
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,robustness,transition,main_board,3541,3538,3509,0.9909630048009037,0.9991527817000847,0.15702479338842976,0.1846679965802223,0.2625777275296778,0.09920859242509893,0.013472355203959898,0.03475140643871938,0.21882951653944027,-0.1157775255391601
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,risk_off,chinext,1952,1952,1952,1.0,1.0,0.24026639344262296,0.17725409836065573,0.29200819672131145,0.2807377049180328,-0.02247511216039156,-0.012611109367767213,0.23681039060754794,-0.21336776765891896
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,risk_off,main_board,7309,7306,7306,0.9995895471336708,0.9995895471336708,0.14604434711196276,0.17519846701341363,0.2044894607172187,0.18655899260881467,-0.007910106502805598,0.009581748182052619,0.18142623064583174,-0.14471225447494868
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,risk_on,chinext,5529,5529,5529,1.0,1.0,0.1984083921143064,0.19623801772472418,0.3790920600470248,0.36824018809911374,0.001501944824088959,-0.03953281546002824,0.23329331732693093,-0.2499999999999999
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,train,risk_on,main_board,19618,19562,19562,0.9971454786420634,0.9971454786420634,0.17467539106430835,0.1679787342807484,0.3460280134955526,0.2527860137000307,0.004884696127642229,-0.011484299984605036,0.19435257117424587,-0.18953110806399598
