episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
train,transition,all,low_plus_120,capture_any_event,201,304,0,0.6611842105263158
train,transition,all,low_plus_20,capture_any_event,94,304,0,0.3092105263157895
train,transition,all,low_plus_30,capture_any_event,135,304,0,0.4440789473684211
train,transition,all,low_plus_60,capture_any_event,171,304,0,0.5625
train,transition,all,low_to_first_50pct,capture_any_event,189,304,0,0.6217105263157895
train,transition,all,low_to_high,capture_any_event,189,304,0,0.6217105263157895
validation,risk_off,all,before_episode_high,capture_any_event,296,342,0,0.8654970760233918
validation,risk_off,all,before_first_50pct,capture_any_event,284,342,0,0.8304093567251462
validation,risk_off,all,low_plus_120,capture_any_event,300,342,0,0.8771929824561403
validation,risk_off,all,low_plus_20,capture_any_event,175,342,0,0.5116959064327485
validation,risk_off,all,low_plus_30,capture_any_event,259,342,0,0.7573099415204678
validation,risk_off,all,low_plus_60,capture_any_event,294,342,0,0.8596491228070176
validation,risk_off,all,low_to_first_50pct,capture_any_event,292,342,0,0.8538011695906432
validation,risk_off,all,low_to_high,capture_any_event,296,342,0,0.8654970760233918
validation,risk_on,all,before_episode_high,capture_any_event,9,22,0,0.4090909090909091
validation,risk_on,all,before_first_50pct,capture_any_event,9,22,0,0.4090909090909091
validation,risk_on,all,low_plus_120,capture_any_event,11,22,0,0.5
validation,risk_on,all,low_plus_20,capture_any_event,8,22,0,0.36363636363636365
validation,risk_on,all,low_plus_30,capture_any_event,8,22,0,0.36363636363636365
validation,risk_on,all,low_plus_60,capture_any_event,9,22,0,0.4090909090909091
validation,risk_on,all,low_to_first_50pct,capture_any_event,9,22,0,0.4090909090909091
validation,risk_on,all,low_to_high,capture_any_event,9,22,0,0.4090909090909091
validation,transition,all,before_episode_high,capture_any_event,58,81,0,0.7160493827160493
validation,transition,all,before_first_50pct,capture_any_event,57,81,0,0.7037037037037037
validation,transition,all,low_plus_120,capture_any_event,62,81,0,0.7654320987654321
validation,transition,all,low_plus_20,capture_any_event,31,81,0,0.38271604938271603
validation,transition,all,low_plus_30,capture_any_event,41,81,0,0.5061728395061729
validation,transition,all,low_plus_60,capture_any_event,51,81,0,0.6296296296296297
validation,transition,all,low_to_first_50pct,capture_any_event,57,81,0,0.7037037037037037
validation,transition,all,low_to_high,capture_any_event,58,81,0,0.7160493827160493
robustness,all,chinext,before_episode_high,capture_any_event,168,244,0,0.6885245901639344
robustness,all,chinext,before_first_50pct,capture_any_event,159,244,0,0.6516393442622951
robustness,all,chinext,low_plus_120,capture_any_event,176,244,0,0.7213114754098361
robustness,all,chinext,low_plus_20,capture_any_event,85,244,0,0.3483606557377049
robustness,all,chinext,low_plus_30,capture_any_event,100,244,0,0.4098360655737705
robustness,all,chinext,low_plus_60,capture_any_event,145,244,0,0.5942622950819673
robustness,all,chinext,low_to_first_50pct,capture_any_event,164,244,0,0.6721311475409836
robustness,all,chinext,low_to_high,capture_any_event,170,244,0,0.6967213114754098
robustness,all,main_board,before_episode_high,capture_any_event,359,514,0,0.6984435797665369
robustness,all,main_board,before_first_50pct,capture_any_event,356,514,0,0.6926070038910506
robustness,all,main_board,low_plus_120,capture_any_event,372,514,0,0.7237354085603113
robustness,all,main_board,low_plus_20,capture_any_event,234,514,0,0.45525291828793774
robustness,all,main_board,low_plus_30,capture_any_event,261,514,0,0.5077821011673151
robustness,all,main_board,low_plus_60,capture_any_event,326,514,0,0.6342412451361867
robustness,all,main_board,low_to_first_50pct,capture_any_event,357,514,0,0.6945525291828794
robustness,all,main_board,low_to_high,capture_any_event,359,514,0,0.6984435797665369
train,all,chinext,before_episode_high,capture_any_event,233,325,0,0.7169230769230769
train,all,chinext,before_first_50pct,capture_any_event,230,325,0,0.7076923076923077
train,all,chinext,low_plus_120,capture_any_event,240,325,0,0.7384615384615385
train,all,chinext,low_plus_20,capture_any_event,140,325,0,0.4307692307692308
train,all,chinext,low_plus_30,capture_any_event,190,325,0,0.5846153846153846
train,all,chinext,low_plus_60,capture_any_event,216,325,0,0.6646153846153846
train,all,chinext,low_to_first_50pct,capture_any_event,230,325,0,0.7076923076923077
train,all,chinext,low_to_high,capture_any_event,233,325,0,0.7169230769230769
train,all,main_board,before_episode_high,capture_any_event,684,965,0,0.7088082901554404
train,all,main_board,before_first_50pct,capture_any_event,678,965,0,0.7025906735751295
train,all,main_board,low_plus_120,capture_any_event,715,965,0,0.7409326424870466
train,all,main_board,low_plus_20,capture_any_event,360,965,0,0.37305699481865284
train,all,main_board,low_plus_30,capture_any_event,493,965,0,0.510880829015544
