mechanism_cluster,family_input_status,variant_id,family_id,candidate_scope_type,candidate_scope_id,episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,before_episode_high,capture_any_event,1807,2493,0,0.7248295226634577
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,before_first_50pct,capture_any_event,1773,2493,0,0.7111913357400722
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_120,capture_any_event,1876,2493,0,0.7525070196550341
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_20,capture_any_event,1033,2493,0,0.41436020858403527
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_30,capture_any_event,1352,2493,0,0.5423184917769756
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_60,capture_any_event,1666,2493,0,0.6682711592458885
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_to_first_50pct,capture_any_event,1787,2493,0,0.7168070597673486
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_to_high,capture_any_event,1809,2493,0,0.7256317689530686
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,before_episode_high,capture_any_event,527,758,0,0.6952506596306068
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,before_first_50pct,capture_any_event,515,758,0,0.679419525065963
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_120,capture_any_event,548,758,0,0.7229551451187335
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_20,capture_any_event,319,758,0,0.420844327176781
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_30,capture_any_event,361,758,0,0.4762532981530343
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_60,capture_any_event,471,758,0,0.6213720316622692
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_to_first_50pct,capture_any_event,521,758,0,0.6873350923482849
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_to_high,capture_any_event,529,758,0,0.6978891820580475
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,before_episode_high,capture_any_event,917,1290,0,0.7108527131782946
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,before_first_50pct,capture_any_event,908,1290,0,0.703875968992248
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,low_plus_120,capture_any_event,955,1290,0,0.7403100775193798
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,low_plus_20,capture_any_event,500,1290,0,0.3875968992248062
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,low_plus_30,capture_any_event,683,1290,0,0.5294573643410853
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,low_plus_60,capture_any_event,841,1290,0,0.6519379844961241
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,low_to_first_50pct,capture_any_event,908,1290,0,0.703875968992248
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,train,all,all,low_to_high,capture_any_event,917,1290,0,0.7108527131782946
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,validation,all,all,before_episode_high,capture_any_event,363,445,0,0.8157303370786517
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,validation,all,all,before_first_50pct,capture_any_event,350,445,0,0.7865168539325843
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,validation,all,all,low_plus_120,capture_any_event,373,445,0,0.8382022471910112
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,validation,all,all,low_plus_20,capture_any_event,214,445,0,0.48089887640449436
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,validation,all,all,low_plus_30,capture_any_event,308,445,0,0.6921348314606741
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,validation,all,all,low_plus_60,capture_any_event,354,445,0,0.7955056179775281
