target_episode_id,e1_first_event_id,e1_first_event_t0_date,e1_lead_time_to_first_50pct_sessions,e1_any_event_captured,candidate_first_event_id,candidate_first_event_t0_date,candidate_lead_time_to_first_50pct_sessions,candidate_any_event_captured,instrument,episode_low_date,episode_high_date,qfq_low_at_low_date,episode_split,market_regime_bucket,board_bucket,candidate_minus_e1_lead_time_sessions,candidate_earlier_than_e1_flag,candidate_at_least_10_sessions_earlier_flag,e1_event_close_vs_episode_low_return,candidate_event_close_vs_episode_low_return,candidate_better_basis_flag,basis_policy_id,basis_definition,basis_forbidden_future_fields
SH600000_20250407_0000,SH600000_20250415_recommended_union,2025-04-15,51.0,True,SH600000_20250508_risk_on_transition_union,2025-05-08,37.0,True,SH600000,2025-04-07,2025-07-07,9.18,robustness,risk_off,main_board,-14.0,False,False,0.10675381263616557,0.22984749455337683,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600004_20181030_0000,SH600004_20181213_recommended_union,2018-12-13,60.0,True,,,,False,SH600004,2018-10-30,2019-04-04,9.04,train,risk_off,main_board,,False,False,0.14491150442477885,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600009_20180209_0000,,,,False,,,,False,SH600009,2018-02-09,2018-07-23,39.61,train,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600009_20181029_0001,SH600009_20181227_recommended_union,2018-12-27,63.0,True,SH600009_20190220_risk_on_transition_union,2019-02-20,31.0,True,SH600009,2018-10-29,2019-04-23,42.01,train,risk_off,main_board,-32.0,False,False,0.17805284456081893,0.28731254463223044,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600009_20210802_0002,SH600009_20210903_recommended_union,2021-09-03,92.0,True,,,,False,SH600009,2021-08-02,2022-01-21,35.79,train,risk_on,main_board,,False,False,0.23498183850237497,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600010_20201102_0000,SH600010_20201109_recommended_union,2020-11-09,75.0,True,,,,False,SH600010,2020-11-02,2021-03-08,1.12,train,transition,main_board,,False,False,0.03571428571428559,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600010_20210428_0001,,,,False,SH600010_20210708_risk_on_transition_union,2021-07-08,4.0,True,SH600010,2021-04-28,2021-09-01,1.45,train,transition,main_board,,False,False,,0.1586206896551725,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600010_20220427_0002,SH600010_20220606_recommended_union,2022-06-06,14.0,True,,,,False,SH600010,2022-04-27,2022-06-27,1.73,validation,risk_off,main_board,,False,False,0.21965317919075145,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600010_20240624_0003,SH600010_20240820_recommended_union,2024-08-20,49.0,True,,,,False,SH600010,2024-06-24,2024-11-08,1.37,robustness,transition,main_board,,False,False,0.05109489051094873,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600010_20250407_0004,SH600010_20250506_recommended_union,2025-05-06,56.0,True,SH600010_20250611_risk_on_transition_union,2025-06-11,31.0,True,SH600010,2025-04-07,2025-08-25,1.62,robustness,risk_off,main_board,-25.0,False,False,0.12962962962962954,0.12962962962962954,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600010_20250929_0005,,,,False,,,,False,SH600010,2025-09-29,2026-03-02,2.26,robustness,risk_on,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600011_20200428_0000,SH600011_20200702_recommended_union,2020-07-02,35.0,True,,,,False,SH600011,2020-04-28,2020-08-21,3.56,train,transition,main_board,,False,False,0.0786516853932584,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600011_20210427_0001,SH600011_20210803_recommended_union,2021-08-03,21.0,True,,,,False,SH600011,2021-04-27,2021-09-27,3.59,train,transition,main_board,,False,False,0.04456824512534818,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600011_20211129_0002,,,,False,,,,False,SH600011,2021-11-29,2021-12-24,5.2,train,risk_on,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600011_20220415_0003,SH600011_20220531_recommended_union,2022-05-31,62.0,True,,,,False,SH600011,2022-04-15,2022-09-08,5.51,validation,risk_off,main_board,,False,False,0.26497277676951003,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600011_20221102_0004,,,,False,,,,False,SH600011,2022-11-02,2023-04-26,6.1,validation,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600016_20250407_0000,SH600016_20250508_recommended_union,2025-05-08,44.0,True,SH600016_20250604_risk_on_transition_union,2025-06-04,26.0,True,SH600016,2025-04-07,2025-07-10,3.55,robustness,risk_off,main_board,-18.0,False,False,0.09577464788732404,0.21408450704225346,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600018_20181012_0000,SH600018_20181101_recommended_union,2018-11-01,86.0,True,,,,False,SH600018,2018-10-12,2019-04-04,3.87,train,risk_off,main_board,,False,False,0.14470284237726094,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600019_20201215_0000,,,,False,,,,False,SH600019,2020-12-15,2021-03-15,4.42,train,risk_on,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600019_20210618_0001,SH600019_20210715_recommended_union,2021-07-15,34.0,True,SH600019_20210831_risk_on_transition_union,2021-08-31,1.0,True,SH600019,2021-06-18,2021-09-13,5.49,train,risk_on,main_board,-33.0,False,False,0.16029143897996345,0.4699453551912569,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600021_20181019_0000,SH600021_20181102_recommended_union,2018-11-02,85.0,True,,,,False,SH600021,2018-10-19,2019-04-15,5.42,train,risk_off,main_board,,False,False,0.1974169741697418,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600021_20220427_0001,SH600021_20220531_recommended_union,2022-05-31,71.0,True,SH600021_20220907_risk_on_transition_union,2022-09-07,1.0,True,SH600021,2022-04-27,2022-09-09,7.43,validation,risk_off,main_board,-70.0,False,False,0.2745625841184389,0.43472409152086144,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600023_20221226_0000,,,,False,,,,False,SH600023,2022-12-26,2023-06-26,2.96,validation,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600023_20231019_0001,SH600023_20231026_recommended_union,2023-10-26,95.0,True,,,,False,SH600023,2023-10-19,2024-04-08,3.72,validation,risk_off,main_board,,False,False,0.09677419354838701,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600025_20200925_0000,,,,False,,,,False,SH600025,2020-09-25,2021-03-15,3.56,train,transition,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600025_20210531_0001,SH600025_20210804_recommended_union,2021-08-04,33.0,True,,,,False,SH600025,2021-05-31,2021-10-08,4.68,train,risk_on,main_board,,False,False,0.08974358974358965,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600025_20240123_0002,,,,False,SH600025_20240606_risk_on_transition_union,2024-06-06,33.0,True,SH600025,2024-01-23,2024-07-24,7.88,robustness,risk_off,main_board,,False,False,,0.28934010152284273,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600026_20180903_0000,SH600026_20180913_recommended_union,2018-09-13,106.0,True,,,,False,SH600026,2018-09-03,2019-03-01,3.59,train,risk_off,main_board,,False,False,0.0473537604456824,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
