candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,full_denominator_instrument_days,full_denominator_universe_years_252,eligible_gated_instrument_days,eligible_gated_universe_years_252,headline_density_uses,event_count,density_full_denominator,density_eligible_gated_denominator
07_e1_only,07_e1_only,E1_early_ema60_repair,07_recomputed,upstream_07,repair_reclaim_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,6820,1.8827168946520296,1.8827168946520296
07_full_union,07_full_union,07_full_union,reported_union,upstream_07,repair_reclaim_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,15161,4.18531830495886,4.18531830495886
all_new_candidate_union,candidate_union,all_new_candidate_union,canonical_union,mixed,mixed,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,90576,25.004247133431413,25.004247133431413
R1_relative_strength_breakout__ungated,candidate_family_variant,R1_relative_strength_breakout,ungated,runnable_existing_data,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,17022,4.699062607150564,4.699062607150564
R1_relative_strength_breakout__event_regime_gated,candidate_family_variant,R1_relative_strength_breakout,event_regime_gated,runnable_existing_data,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,14363,3.96502386479283,5.452865805431057
R2_near_high_volume_expansion__ungated,candidate_family_variant,R2_near_high_volume_expansion,ungated,runnable_existing_data,volume_high_breakout_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,10742,2.965417138174795,2.965417138174795
R2_near_high_volume_expansion__event_regime_gated,candidate_family_variant,R2_near_high_volume_expansion,event_regime_gated,runnable_existing_data,volume_high_breakout_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,9537,2.6327670123601767,3.6206907461112574
R3_vcp_breakout__ungated,candidate_family_variant,R3_vcp_breakout,ungated,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,8850,2.44311503191649,2.44311503191649
R3_vcp_breakout__event_regime_gated,candidate_family_variant,R3_vcp_breakout,event_regime_gated,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,7426,2.0500081612442775,2.8192565251779595
R5_growth_or_small_style_confirmation__ungated,candidate_family_variant,R5_growth_or_small_style_confirmation,ungated,diagnostic_only,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,2180,0.6018068666189772,0.6018068666189772
R5_growth_or_small_style_confirmation__event_regime_gated,candidate_family_variant,R5_growth_or_small_style_confirmation,event_regime_gated,diagnostic_only,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,1907,0.5264429791937567,0.7239862905351964
R6_market_breadth_thrust__ungated,candidate_family_variant,R6_market_breadth_thrust,ungated,runnable_existing_data,breadth_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,19754,5.453253597794164,5.453253597794164
R6_market_breadth_thrust__event_regime_gated,candidate_family_variant,R6_market_breadth_thrust,event_regime_gated,runnable_existing_data,breadth_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,16204,4.4732470030705995,6.151795412602162
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,11987,3.3091095918172844,3.3091095918172844
R7_cross_sectional_momentum_rank_jump__event_regime_gated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,event_regime_gated,runnable_existing_data,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,9786,2.7015055030886748,3.7152227788030583
R8_persistent_distance_above_ema__ungated,candidate_family_variant,R8_persistent_distance_above_ema,ungated,runnable_existing_data,persistent_trend_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,13881,3.8319638144669828,3.8319638144669828
R8_persistent_distance_above_ema__event_regime_gated,candidate_family_variant,R8_persistent_distance_above_ema,event_regime_gated,runnable_existing_data,persistent_trend_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,12896,3.560046491705656,4.895924070656473
