mechanism_cluster,family_input_status,variant_id,family_id,candidate_scope_type,candidate_scope_id,episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,before_episode_high,bridge_positive_event,821,2488,5,0.329983922829582
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,before_first_50pct,bridge_positive_event,810,2488,5,0.32556270096463025
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_120,bridge_positive_event,856,2489,4,0.34391321815990356
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_20,bridge_positive_event,365,2490,3,0.1465863453815261
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_30,bridge_positive_event,480,2490,3,0.1927710843373494
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_plus_60,bridge_positive_event,687,2490,3,0.27590361445783135
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_to_first_50pct,bridge_positive_event,814,2488,5,0.3271704180064309
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,all,all,all,low_to_high,bridge_positive_event,821,2488,5,0.329983922829582
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,before_episode_high,bridge_positive_event,249,757,1,0.3289299867899604
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,before_first_50pct,bridge_positive_event,247,757,1,0.32628797886393657
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_120,bridge_positive_event,265,758,0,0.3496042216358839
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_20,bridge_positive_event,99,757,1,0.130779392338177
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_30,bridge_positive_event,122,757,1,0.16116248348745046
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_plus_60,bridge_positive_event,202,757,1,0.2668428005284016
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_to_first_50pct,bridge_positive_event,247,757,1,0.32628797886393657
repair_reclaim_cluster,upstream_07,07_recomputed,E1_early_ema60_repair,07_e1_only,07_e1_only,robustness,all,all,low_to_high,bridge_positive_event,249,757,1,0.3289299867899604
