condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND rps3_gt_40,and3,3,"51,183,190",845,1.0,0.14873819508025068,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND rps3_gt_40,and3,3,"51,142,190",845,1.0,0.1491201003576252,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND rps3_gt_40,and3,3,"51,100,190",845,1.0,0.14919091723025094,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND rps3_gt_40,and3,3,"51,107,190",845,1.0,0.14921873814449677,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND rps3_gt_30,and3,3,"51,183,189",845,1.0,0.15593875352187483,5.0,5.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND ret3_gt_0pct AND rps3_gt_40,and3,3,"3,183,190",845,1.0,0.1564977009808137,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND rps3_gt_30,and3,3,"51,107,189",845,1.0,0.15663680555204282,5.0,5.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma3_gt_0pct AND rps3_gt_40,and3,3,"3,100,190",845,1.0,0.15670762242466854,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ema3_gt_0pct AND rps3_gt_40,and3,3,"3,142,190",845,1.0,0.1568163769076295,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND rps3_gt_30,and3,3,"51,142,189",845,1.0,0.15684419782187534,5.0,5.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma5_gt_0pct AND rps3_gt_40,and3,3,"3,107,190",845,1.0,0.1570591776137749,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND rps3_gt_30,and3,3,"51,100,189",845,1.0,0.1573449742783002,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND close_near_high3_gt_m2pct,and3,3,"51,183,198",845,1.0,0.1582934145366806,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and3,3,"51,107,100",845,1.0,0.158652557247854,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND ret3_gt_0pct,and3,3,"51,58,183",845,1.0,0.15965663933472607,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND ret3_gt_0pct,and3,3,"51,10,183",845,1.0,0.15999807782774303,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_ma5_gt_0pct,and3,3,"51,142,107",845,1.0,0.16023076183779902,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND money_ratio10_gt_0_8,and3,3,"51,183,17",845,1.0,0.16066830894366518,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND vol_ratio10_gt_0_8,and3,3,"51,183,65",845,1.0,0.16074165499031326,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps3_gt_40 AND close_near_high3_gt_m2pct,and3,3,"51,190,198",845,1.0,0.16076188838249206,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ma5_gt_0pct,and3,3,"51,58,107",845,1.0,0.1607694759045591,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND close_ma5_gt_0pct,and3,3,"51,10,107",845,1.0,0.16110079770148664,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_near_high3_gt_m2pct,and3,3,"51,107,198",845,1.0,0.16123484392467108,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND close_near_high5_gt_m5pct,and3,3,"51,183,222",845,1.0,0.16161927837606793,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ema3_gt_0pct,and3,3,"51,58,142",845,1.0,0.161626865898135,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND money_ratio10_gt_0_8,and3,3,"51,107,17",845,1.0,0.16179884973165465,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND vol_ratio10_gt_0_8,and3,3,"51,107,65",845,1.0,0.16191519173668265,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND close_ema3_gt_0pct,and3,3,"51,10,142",845,1.0,0.16191772091070497,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND close_near_high3_gt_m5pct,and3,3,"51,183,197",845,1.0,0.1623046845361242,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND ret5_gt_m5pct,and3,3,"51,183,207",845,1.0,0.1624159681931075,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_near_high3_gt_m2pct,and3,3,"51,142,198",845,1.0,0.16266888559534226,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND ret3_gt_0pct,and3,3,"51,3,183",845,1.0,0.1627068232056775,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND money_ratio10_gt_0_8,and3,3,"51,142,17",845,1.0,0.1627169399017669,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_ma3_gt_0pct,and3,3,"51,142,100",845,1.0,0.16284339860288427,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND vol_ratio10_gt_0_8,and3,3,"51,142,65",845,1.0,0.16284339860288427,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND vol_ratio5_gt_0_8,and3,3,"51,183,57",845,1.0,0.16289904043137593,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND money_ratio5_gt_0_8,and3,3,"51,183,9",845,1.0,0.16290662795344296,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND close_ema5_gt_m2pct,and3,3,"51,183,148",845,1.0,0.16293191969366644,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND close_ma5_gt_m2pct,and3,3,"51,183,106",845,1.0,0.16296985730400165,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps5_gt_40 AND close_ema10_gt_m2pct,and3,3,"51,215,155",845,1.0,0.16297491565204636,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1 AND ret3_gt_0pct,and3,3,"51,2,183",845,1.0,0.16307102426489556,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_near_high5_gt_m5pct,and3,3,"51,107,222",845,1.0,0.16309125765707436,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND money_ratio3_gt_0_8,and3,3,"51,183,1",845,1.0,0.1630937868310967,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio3_gt_1 AND ret3_gt_0pct,and3,3,"51,50,183",845,1.0,0.16309631600511904,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_0pct AND vol_ratio3_gt_0_8,and3,3,"51,183,49",845,1.0,0.16309631600511904,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ma3_gt_0pct,and3,3,"51,58,100",845,1.0,0.16320254131405765,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND close_ma3_gt_0pct,and3,3,"51,10,100",845,1.0,0.16344028367215835,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND ret5_gt_m5pct,and3,3,"51,107,207",845,1.0,0.1634908671526053,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND close_near_high3_gt_m2pct,and3,3,"51,100,198",845,1.0,0.16371090529254956,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_near_high3_gt_m5pct,and3,3,"51,107,197",845,1.0,0.16386265573389042,5.0,5.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND ret3_gt_0pct AND rps3_gt_30,and3,3,"3,183,189",845,1.0,0.1638879474741139,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND close_ma5_gt_0pct,and3,3,"51,3,107",845,1.0,0.16391071004031504,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_near_high5_gt_m5pct,and3,3,"51,142,222",845,1.0,0.16393853095456085,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND vol_ratio5_gt_0_8,and3,3,"51,107,57",845,1.0,0.16405487295958887,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND money_ratio5_gt_0_8,and3,3,"51,107,9",845,1.0,0.16405993130763355,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND ret5_gt_m5pct,and3,3,"51,142,207",845,1.0,0.16414592322439336,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1 AND close_ma5_gt_0pct,and3,3,"51,2,107",845,1.0,0.1642319151411532,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND money_ratio10_gt_0_8,and3,3,"51,100,17",845,1.0,0.16423950266322024,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND money_ratio3_gt_0_8,and3,3,"51,107,1",845,1.0,0.16425973605539904,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio3_gt_1 AND close_ma5_gt_0pct,and3,3,"51,50,107",845,1.0,0.1642622652294214,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND vol_ratio3_gt_0_8,and3,3,"51,107,49",845,1.0,0.1642622652294214,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_ma5_gt_m2pct,and3,3,"51,107,106",845,1.0,0.1642622652294214,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_ema5_gt_m2pct,and3,3,"51,107,148",845,1.0,0.1642622652294214,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND rps5_gt_40 AND close_ma5_gt_m2pct,and3,3,"51,215,106",845,1.0,0.16442160319282928,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND vol_ratio10_gt_0_8,and3,3,"51,100,65",845,1.0,0.16443677823696337,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma5_gt_0pct AND rps3_gt_30,and3,3,"3,107,189",845,1.0,0.1646922248132205,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ema3_gt_0pct AND rps3_gt_30,and3,3,"3,142,189",845,1.0,0.16472004572746632,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND close_ema3_gt_0pct,and3,3,"51,3,142",845,1.0,0.16489455873500833,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma3_gt_0pct AND rps3_gt_30,and3,3,"3,100,189",845,1.0,0.16501848826210336,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND close_near_high5_gt_m5pct,and3,3,"51,100,222",845,1.0,0.16506654256852796,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_near_high3_gt_m5pct,and3,3,"51,142,197",845,1.0,0.16512977191908668,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND vol_ratio5_gt_0_8,and3,3,"51,142,57",845,1.0,0.16513483026713136,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND money_ratio5_gt_0_8,and3,3,"51,142,9",845,1.0,0.16513988861517606,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_0pct AND ret5_gt_m5pct,and3,3,"51,100,207",845,1.0,0.16527646401238283,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_ma5_gt_m2pct,and3,3,"51,142,106",845,1.0,0.1653017557526063,4.0,4.0,241,1.0,446,1.0,158,1.0
