condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
close_near_high5_gt_0pct,single,1,224,845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5,single,1,225,845,1.0,0.24436373569119796,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2,single,1,67,845,1.0,0.24747714891270808,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2,single,1,59,845,1.0,0.2488757821470664,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2,single,1,19,845,1.0,0.25130884755656496,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2,single,1,11,845,1.0,0.25147577304203994,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2,single,1,51,845,1.0,0.2564127207336628,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2,single,1,3,845,1.0,0.2580389796300324,1.0,1.0,241,1.0,446,1.0,158,1.0
close_near_high3_gt_0pct,single,1,199,845,1.0,0.31080260808425186,3.0,3.0,241,1.0,446,1.0,158,1.0
close_breaks_high3,single,1,200,845,1.0,0.31080260808425186,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio20_gt_1,single,1,26,845,1.0,0.39936669482480414,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio20_gt_1,single,1,74,845,1.0,0.39947039095972037,0.0,0.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1,single,1,18,845,1.0,0.40617017294491964,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1,single,1,66,845,1.0,0.4067341787519032,0.0,0.0,241,1.0,446,1.0,158,1.0
rps3_gt_60,single,1,192,845,1.0,0.4122224863803979,2.0,2.0,241,1.0,446,1.0,158,1.0
rps5_gt_60,single,1,217,845,1.0,0.4145822057432484,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1,single,1,10,845,1.0,0.4165321989144785,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1,single,1,58,845,1.0,0.417736085749116,0.0,0.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1,single,1,2,845,1.0,0.4288821556656027,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1,single,1,50,845,1.0,0.43030608064018455,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema3_gt_0pct,single,1,142,845,1.0,0.48710121248602634,2.0,2.0,241,1.0,446,1.0,158,1.0
close_ema5_gt_0pct,single,1,149,845,1.0,0.49007299196228493,2.0,2.0,241,1.0,446,1.0,158,1.0
close_ma5_gt_0pct,single,1,107,845,1.0,0.49204068935167156,2.0,2.0,241,1.0,446,1.0,158,1.0
close_ma3_gt_0pct,single,1,100,845,1.0,0.49247570728351536,1.0,1.0,241,1.0,446,1.0,158,1.0
close_ma10_gt_0pct,single,1,114,845,1.0,0.4981789947039096,3.0,3.0,241,1.0,446,1.0,158,1.0
ret3_gt_0pct,single,1,183,845,1.0,0.5046890886374328,2.0,2.0,241,1.0,446,1.0,158,1.0
ret5_gt_0pct,single,1,208,845,1.0,0.5079365480821273,2.0,2.0,241,1.0,446,1.0,158,1.0
rps3_gt_50,single,1,191,845,1.0,0.51848573292934,1.0,1.0,241,1.0,446,1.0,158,1.0
rps5_gt_50,single,1,216,845,1.0,0.5209567359491737,1.0,1.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_m2pct,single,1,223,845,1.0,0.5612388906031068,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio60_gt_0_8,single,1,81,845,1.0,0.5847020380084272,0.0,0.0,241,1.0,446,1.0,158,1.0
money_ratio20_gt_0_8,single,1,25,845,1.0,0.6102568123302292,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio20_gt_0_8,single,1,73,845,1.0,0.6187978330036976,0.0,0.0,241,1.0,446,1.0,158,1.0
rps3_gt_40,single,1,190,845,1.0,0.6217291456955988,1.0,1.0,241,1.0,446,1.0,158,1.0
rps5_gt_40,single,1,215,845,1.0,0.6252092891503492,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_0_8,single,1,17,845,1.0,0.6370382360528698,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_0_8,single,1,65,845,1.0,0.6438467725210301,0.0,0.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_0_8,single,1,9,845,1.0,0.6642572068813767,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_0_8,single,1,57,845,1.0,0.6697151644216032,0.0,0.0,241,1.0,446,1.0,158,1.0
close_near_high3_gt_m2pct,single,1,198,845,1.0,0.6722064008336157,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_0_8,single,1,1,845,1.0,0.6814783527995427,0.0,0.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_0_8,single,1,49,845,1.0,0.6861699706109978,0.0,0.0,241,1.0,446,1.0,158,1.0
rps3_gt_30,single,1,189,845,1.0,0.7234297623082254,0.0,0.0,241,1.0,446,1.0,158,1.0
rps5_gt_30,single,1,214,845,1.0,0.7265937590101824,0.0,0.0,241,1.0,446,1.0,158,1.0
rps10_gt_30,single,1,239,845,1.0,0.7302863530828102,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ma10_gt_m2pct,single,1,113,845,1.0,0.7613800185135539,0.0,0.0,241,1.0,446,1.0,158,1.0
boll20_pct_b_gt_0_2,single,1,341,845,1.0,0.793895079744857,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema10_gt_m2pct,single,1,155,845,1.0,0.7987055687353624,0.0,0.0,241,1.0,446,1.0,158,1.0
ret10_gt_m5pct,single,1,232,845,1.0,0.8222749414496214,0.0,0.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_m5pct,single,1,222,845,1.0,0.842976230822538,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ma5_gt_m2pct,single,1,106,845,1.0,0.8484392467108092,0.0,0.0,241,1.0,446,1.0,158,1.0
ret5_gt_m5pct,single,1,207,845,1.0,0.8880081742904402,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema5_gt_m2pct,single,1,148,845,1.0,0.8891640068186532,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema20_gt_m5pct,single,1,161,845,1.0,0.9067695871882161,0.0,0.0,241,1.0,446,1.0,158,1.0
close_near_high3_gt_m5pct,single,1,197,845,1.0,0.9124096452580516,0.0,0.0,241,1.0,446,1.0,158,1.0
close_near_high10_gt_m10pct,single,1,246,845,1.0,0.9170532087630822,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ma3_gt_m2pct,single,1,99,845,1.0,0.9176450354843115,0.0,0.0,241,1.0,446,1.0,158,1.0
ret3_gt_m5pct,single,1,182,845,1.0,0.9293323486415807,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ma10_gt_m5pct,single,1,112,845,1.0,0.9352531450278968,0.0,0.0,241,1.0,446,1.0,158,1.0
ret10_gt_m10pct,single,1,231,845,1.0,0.9481089365834906,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema3_gt_m2pct,single,1,141,845,1.0,0.9507873318731569,0.0,0.0,241,1.0,446,1.0,158,1.0
boll20_pct_b_gt_0,single,1,340,845,1.0,0.9517180679133809,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema10_gt_m5pct,single,1,154,845,1.0,0.957646451821764,0.0,0.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_m10pct,single,1,221,845,1.0,0.9699913502248436,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ma20_gt_m10pct,single,1,118,845,1.0,0.9744907508106003,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ma5_gt_m5pct,single,1,105,845,1.0,0.9758135088242882,0.0,0.0,241,1.0,446,1.0,158,1.0
ret5_gt_m10pct,single,1,206,845,1.0,0.9776749809047361,0.0,0.0,241,1.0,446,1.0,158,1.0
close_ema20_gt_m10pct,single,1,160,845,1.0,0.9852928530600477,0.0,0.0,241,1.0,446,1.0,158,1.0
