condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
close_near_high5_gt_0pct 2_OF_3 vol_ratio10_gt_1_2 2_OF_3 vol_ratio3_gt_1_2,kof_2of3,3,"224,67,51",845,1.0,0.22892818663280945,1.0,1.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 2_OF_3 vol_ratio10_gt_1_2 2_OF_3 vol_ratio3_gt_1_2,kof_2of3,3,"225,67,51",845,1.0,0.22892818663280945,1.0,1.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct 2_OF_3 vol_ratio10_gt_1_2 2_OF_3 money_ratio3_gt_1_2,kof_2of3,3,"224,67,3",845,1.0,0.2298184558886759,2.0,2.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 2_OF_3 vol_ratio10_gt_1_2 2_OF_3 money_ratio3_gt_1_2,kof_2of3,3,"225,67,3",845,1.0,0.2298184558886759,2.0,2.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct 2_OF_3 money_ratio10_gt_1_2 2_OF_3 vol_ratio3_gt_1_2,kof_2of3,3,"224,19,51",845,1.0,0.23067837505627412,2.0,2.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 2_OF_3 money_ratio10_gt_1_2 2_OF_3 vol_ratio3_gt_1_2,kof_2of3,3,"225,19,51",845,1.0,0.23067837505627412,2.0,2.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct 2_OF_3 money_ratio10_gt_1_2 2_OF_3 money_ratio3_gt_1_2,kof_2of3,3,"224,19,3",845,1.0,0.2316824571431462,2.0,2.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 2_OF_3 money_ratio10_gt_1_2 2_OF_3 money_ratio3_gt_1_2,kof_2of3,3,"225,19,3",845,1.0,0.2316824571431462,2.0,2.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct 2_OF_3 vol_ratio10_gt_1_2 2_OF_3 vol_ratio5_gt_1_2,kof_2of3,3,"224,67,59",845,1.0,0.23417116438113642,1.0,1.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 2_OF_3 vol_ratio10_gt_1_2 2_OF_3 vol_ratio5_gt_1_2,kof_2of3,3,"225,67,59",845,1.0,0.23417116438113642,1.0,1.0,241,1.0,446,1.0,158,1.0
