condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,58,107,100",845,1.0,0.15531404753835493,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,10,107,100",845,1.0,0.15563272346517074,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ema3_gt_0pct AND close_ma5_gt_0pct,and4,4,"51,58,142,107",845,1.0,0.1568644312140541,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND close_ema3_gt_0pct AND close_ma5_gt_0pct,and4,4,"51,10,142,107",845,1.0,0.15719069466293698,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,142,107,100",845,1.0,0.15800003035008828,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,3,107,100",845,1.0,0.15838952314952984,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1 AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,2,107,100",845,1.0,0.15862473633360816,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio3_gt_1 AND close_ma5_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,50,107,100",845,1.0,0.158652557247854,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ema3_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,58,142,100",845,1.0,0.15920138801070347,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND ret3_gt_0pct,and4,4,"51,3,58,183",845,1.0,0.15930255497159737,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND close_ema3_gt_0pct AND close_ma3_gt_0pct,and4,4,"51,10,142,100",845,1.0,0.15948718467522877,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND vol_ratio5_gt_1 AND ret3_gt_0pct,and4,4,"51,10,58,183",845,1.0,0.15953776815567572,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND money_ratio3_gt_1 AND ret3_gt_0pct,and4,4,"51,58,2,183",845,1.0,0.1596313475945026,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND vol_ratio3_gt_1 AND ret3_gt_0pct,and4,4,"51,58,50,183",845,1.0,0.15965663933472607,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND money_ratio5_gt_1 AND ret3_gt_0pct,and4,4,"51,3,10,183",845,1.0,0.1596692852048378,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND close_ema3_gt_0pct AND close_ma5_gt_0pct,and4,4,"51,3,142,107",845,1.0,0.15993231930316198,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND money_ratio3_gt_1 AND ret3_gt_0pct,and4,4,"51,10,2,183",845,1.0,0.15999049030567597,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND vol_ratio3_gt_1 AND ret3_gt_0pct,and4,4,"51,10,50,183",845,1.0,0.15999807782774303,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1 AND close_ema3_gt_0pct AND close_ma5_gt_0pct,and4,4,"51,2,142,107",845,1.0,0.1602029409235532,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio3_gt_1 AND close_ema3_gt_0pct AND close_ma5_gt_0pct,and4,4,"51,50,142,107",845,1.0,0.16023076183779902,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND close_ma5_gt_0pct,and4,4,"51,3,58,107",845,1.0,0.16045079997774328,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio5_gt_1 AND vol_ratio5_gt_1 AND close_ma5_gt_0pct,and4,4,"51,10,58,107",845,1.0,0.16063037133332997,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND money_ratio3_gt_1 AND close_ma5_gt_0pct,and4,4,"51,58,2,107",845,1.0,0.1607391258162909,5.0,5.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio5_gt_1 AND vol_ratio3_gt_1 AND close_ma5_gt_0pct,and4,4,"51,58,50,107",845,1.0,0.1607694759045591,5.0,5.0,241,1.0,446,1.0,158,1.0
