condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
vol_ratio3_gt_1_2 AND vol_ratio20_gt_1,and2,2,"51,74",845,1.0,0.2091551041260945,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND vol_ratio3_gt_1_2,and2,2,"11,51",845,1.0,0.21028058656603926,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND boll20_pct_b_gt_0_2,and2,2,"3,341",845,1.0,0.21095840520402848,4.0,4.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND vol_ratio20_gt_1,and2,2,"3,74",845,1.0,0.21133778130738062,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND vol_ratio3_gt_1_2,and2,2,"59,51",845,1.0,0.2114895317487215,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ema10_gt_m2pct,and2,2,"3,155",845,1.0,0.21173991997693392,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND money_ratio3_gt_1_2,and2,2,"59,3",845,1.0,0.21259983914453218,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma5_gt_m2pct,and2,2,"51,106",845,1.0,0.21284263985067756,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND money_ratio3_gt_1_2,and2,2,"11,3",845,1.0,0.21346987500821982,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma5_gt_m2pct,and2,2,"3,106",845,1.0,0.2190011785950944,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND vol_ratio20_gt_1,and2,2,"59,74",845,1.0,0.21971187649537413,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema5_gt_m2pct,and2,2,"51,148",845,1.0,0.21983327684844683,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_near_high5_gt_m5pct,and2,2,"51,222",845,1.0,0.2206299666654864,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND vol_ratio3_gt_1,and2,2,"67,50",845,1.0,0.2223928009590628,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND vol_ratio3_gt_1,and2,2,"19,50",845,1.0,0.2224838512238673,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND vol_ratio20_gt_1,and2,2,"11,74",845,1.0,0.22249143874593436,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND money_ratio3_gt_1,and2,2,"67,2",845,1.0,0.22325524930068338,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND money_ratio3_gt_1,and2,2,"19,2",845,1.0,0.22461341575068414,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma3_gt_m2pct,and2,2,"51,99",845,1.0,0.22477781206213673,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ema5_gt_m2pct,and2,2,"3,148",845,1.0,0.22526847182247223,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio10_gt_1,and2,2,"51,18",845,1.0,0.22569337305822665,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_near_high5_gt_m5pct,and2,2,"3,222",845,1.0,0.22609551172777995,3.0,3.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND rps3_gt_40,and2,2,"224,190",845,1.0,0.22746379487387008,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND rps3_gt_40,and2,2,"225,190",845,1.0,0.22746379487387008,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND vol_ratio10_gt_1,and2,2,"51,66",845,1.0,0.2279392795900715,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND ret3_gt_m5pct,and2,2,"59,182",845,1.0,0.2282250762545968,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND boll20_pct_b_gt_0,and2,2,"59,340",845,1.0,0.22833635991158008,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND money_ratio10_gt_1,and2,2,"3,18",845,1.0,0.22855133970347963,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_ma10_gt_m5pct,and2,2,"59,112",845,1.0,0.22938343795683205,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret5_gt_m5pct,and2,2,"51,207",845,1.0,0.22939861300096615,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma3_gt_m2pct,and2,2,"3,99",845,1.0,0.22957565518253048,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND vol_ratio10_gt_1,and2,2,"3,66",845,1.0,0.23000308559230725,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_near_high3_gt_m5pct,and2,2,"51,197",845,1.0,0.2315130024836489,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND boll20_pct_b_gt_0,and2,2,"11,340",845,1.0,0.23306591533337043,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND ret3_gt_m5pct,and2,2,"11,182",845,1.0,0.23380696332191833,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND ret5_gt_m5pct,and2,2,"3,207",845,1.0,0.2339435387191251,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema3_gt_m2pct,and2,2,"51,141",845,1.0,0.23463906157527076,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND close_ma10_gt_m5pct,and2,2,"11,112",845,1.0,0.23481863293085745,3.0,3.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_near_high3_gt_m5pct,and2,2,"3,197",845,1.0,0.2360604573758302,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND ret3_gt_m5pct,and2,2,"51,182",845,1.0,0.23631084560404264,2.0,2.0,241,1.0,446,1.0,158,1.0
