term_type,feature_id,feature_order,coefficient
intercept,__INTERCEPT__,0,0.52473869416377517
feature,p0_rank_t,1,-0.0029539772907850193
feature,p1_rank_t,2,-0.01841583339578904
feature,p6_rank_t,3,-0.028335964961281514
feature,p0_missing,4,0
feature,p1_missing,5,-0.0001890235161727765
feature,p6_missing,6,0
