split,raw_trigger_days,hard_filter_pass_days,episodes,executable_episodes,risk_below_min,risk_above_max,suppressed_reentry_count,probe_mean_return_r,probe_median_return_r,probe_p05_return_r,probe_failed_primary_rate,fail_fast_trigger_rate,no_ff_mean_return_r,no_ff_p05_return_r,no_ff_median_holding_days,probe_median_holding_days
train,3022,1014,447,325,109,12,569,0.011881953044882793,-0.28553168129893197,-0.7908837312115863,0.9107692307692308,0.49230769230769234,0.03833928771058099,-1.6243866224510837,22.0,22.0
validation,1591,666,309,208,96,5,377,-0.11917523054812529,-0.3212377601096821,-0.6212942702446378,0.9567307692307693,0.5769230769230769,-0.19451807931450882,-1.2848307771125869,22.0,8.0
robustness,1988,852,376,262,100,14,454,-0.057755671742762124,-0.3084200353048718,-0.6361256442979908,0.9282700421940928,0.5267175572519084,-0.03454350616188599,-1.1368518915111439,22.0,10.0
