split,seed_episode_id,instrument,exit_trigger_type,exit_signal_date,exit_execution_date,holding_days,return_r,loss_r,audit_only_status
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600000_20240717_bc2f9f24de,SH600000,close_below_breakout_reference,2024-07-24,2024-07-25,6,-0.3491065060541746,0.3491065060541746,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600000_20240924_91faca7145,SH600000,natural_exit_h20,2024-10-30,2024-10-31,22,0.5898072353017624,0.0,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600009_20180612_404089136c,SH600009,close_below_breakout_reference,2018-06-20,2018-06-21,6,-0.42951643655909216,0.42951643655909216,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600009_20180926_a8f501e168,SH600009,close_below_seed_day_low|close_below_breakout_reference,2018-10-08,2018-10-09,4,-0.6231385765773071,0.6231385765773071,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600009_20230116_a4a3ff7f20,SH600009,close_below_seed_day_low,2023-01-31,2023-02-01,7,-0.33139016331485394,0.33139016331485394,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600010_20210303_226fae4568,SH600010,natural_exit_h20,2021-04-01,2021-04-02,22,-0.5579824706684711,0.5579824706684711,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600010_20210510_ce0a2e4d68,SH600010,close_below_seed_day_low,2021-05-13,2021-05-14,4,-0.4233371968318188,0.4233371968318188,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600010_20210709_0b37075bc4,SH600010,natural_exit_h20,2021-08-09,2021-08-10,22,0.7618887291749209,0.0,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600010_20250724_1fa69af9db,SH600010,natural_exit_h20,2025-08-22,2025-08-25,22,0.1082004875271676,0.0,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20180719_895e925521,SH600011,natural_exit_h20,2018-08-17,2018-08-20,22,-0.7916882807993053,0.7916882807993053,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20211213_2768bd0ad1,SH600011,natural_exit_h20,2022-01-12,2022-01-13,22,-0.9138444002656113,0.9138444002656113,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20220228_130bfb13cf,SH600011,close_below_breakout_reference,2022-03-01,2022-03-02,2,-0.0806694701927349,0.0806694701927349,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600011_20240408_9e93f1cbca,SH600011,natural_exit_h20,2024-05-10,2024-05-13,22,-0.4663884470047355,0.4663884470047355,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600016_20250710_66c0773b4d,SH600016,close_below_seed_day_low|close_below_breakout_reference,2025-07-24,2025-07-25,11,-0.40005877588011557,0.40005877588011557,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600018_20220505_32cea3e9b3,SH600018,close_below_breakout_reference,2022-05-06,2022-05-09,2,-0.14671717692703873,0.14671717692703873,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600019_20210301_08b4baa401,SH600019,close_below_breakout_reference,2021-03-02,2021-03-03,2,-0.15713584771144412,0.15713584771144412,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600019_20210426_ecfa5f6029,SH600019,close_below_seed_day_low|close_below_breakout_reference,2021-04-27,2021-04-28,2,-0.04786991889093833,0.04786991889093833,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600021_20250903_ea97daefad,SH600021,natural_exit_h20,2025-10-10,2025-10-13,22,1.5451094961427294,0.0,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600023_20240527_164eef45a3,SH600023,natural_exit_h20,2024-06-26,2024-06-27,22,-0.09671866590883658,0.09671866590883658,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600025_20220513_c98ddb037a,SH600025,natural_exit_h20,2022-06-14,2022-06-15,22,0.6680747164622146,0.0,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600026_20220816_d8f7f03e0b,SH600026,natural_exit_h20,2022-09-15,2022-09-16,22,0.44884898425415376,0.0,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600027_20220816_0093d78ff8,SH600027,natural_exit_h20,2022-09-15,2022-09-16,22,1.4655111210725646,0.0,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600027_20221128_cdb8f2a556,SH600027,close_below_breakout_reference,2022-11-29,2022-11-30,2,-0.31103568801201925,0.31103568801201925,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600027_20230103_bdb719e654,SH600027,close_below_seed_day_low|close_below_breakout_reference,2023-01-11,2023-01-12,7,-0.31475483359536777,0.31475483359536777,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600028_20230317_11afc74d81,SH600028,close_below_breakout_reference,2023-03-24,2023-03-27,6,-0.6549192087384549,0.6549192087384549,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600029_20220210_09d945a2ec,SH600029,close_below_seed_day_low|close_below_breakout_reference,2022-02-14,2022-02-15,3,-0.5804466525262666,0.5804466525262666,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600031_20210105_10b480c7f1,SH600031,natural_exit_h20,2021-02-03,2021-02-04,22,0.8988810033724066,0.0,report_only
validation,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600039_20220228_108a28d182,SH600039,close_below_breakout_reference,2022-03-09,2022-03-10,8,-0.2301658061180543,0.2301658061180543,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600039_20250408_f75ebb803a,SH600039,close_below_breakout_reference,2025-04-11,2025-04-14,4,-0.14427583960085805,0.14427583960085805,report_only
train,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600048_20180115_fb0dbe9926,SH600048,natural_exit_h20,2018-02-13,2018-02-14,22,-0.8331519054373441,0.8331519054373441,report_only
robustness,ep4_trend_ma60_high20_vol15_rps90_seed_v0_SH600048_20241016_54306f3898,SH600048,close_below_seed_day_low|close_below_breakout_reference,2024-10-17,2024-10-18,2,-1.0713437193050772,1.0713437193050772,report_only
