split,candidate_total_failed_loss_r,ep2_total_failed_loss_r,incremental_abs_failed_loss_r_vs_ep2,candidate_captured_reference_count,ep2_captured_reference_count,overlap_captured_reference_count,added_capture_vs_ep2_count,lost_capture_vs_ep2_count,net_added_capture_vs_ep2_count,post_reference_capture_0_to_10_count,late_capture_0_to_10_count,signal_capture_count,entry_capture_count,signal_only_not_entry_within_window_count,capture_time_basis,seed_discovery_scope,validation_oos_clean,recall_cost_score,candidate_loss_r_per_captured_big_winner_seed,ep2_loss_r_per_captured_big_winner_seed,loss_r_per_captured_big_winner_seed_diff_vs_ep2_detector,candidate_exposure_days_per_captured_big_winner_seed,ep2_exposure_days_per_captured_big_winner_seed,exposure_days_per_captured_big_winner_seed_diff_vs_ep2_detector,incremental_loss_r_per_added_big_winner_vs_ep2,incremental_exposure_days_per_added_big_winner_vs_ep2,max_allowed_incremental_loss_r_per_added_big_winner_vs_ep2,max_allowed_incremental_exposure_days_per_added_big_winner_vs_ep2,decision_support_status
train,479.5938002835496,158.01186077009578,321.58193951345385,315,78,47,268,31,237,99,99,212,315,0,entry_execution_date,all_splits,False,0.7369816860939877,1.5225200009001576,2.0257930867961,-0.5032730858959422,68.01587301587301,88.17948717948718,-20.16361416361417,1.3568858207318728,61.379746835443036,5.0,250.0,passed
validation,250.29155285648642,81.48452210671587,168.80703074977055,111,28,19,92,9,83,38,38,66,111,0,entry_execution_date,all_splits,False,0.49168568175951294,2.2548788545629406,2.910161503811281,-0.6552826492483406,101.38738738738739,117.03571428571429,-15.6483268983269,2.033819647587597,96.10843373493977,5.0,250.0,passed
robustness,196.83233468779213,97.80874573932564,99.02358894846648,162,63,36,126,27,99,48,48,97,162,0,entry_execution_date,all_splits,False,0.999761784553388,1.215014411653038,1.5525197736400895,-0.3375053619870516,60.44444444444444,59.285714285714285,1.1587301587301582,1.0002382722067322,61.18181818181818,7.5,375.0,passed
