gate_id,split,metric_name,metric_value,threshold,comparison,status,is_hard_gate,failure_reason
authority_inputs_status,all,authority_inputs_status,passed,passed,==,passed,True,
validation_threshold_selection_status,validation,validation_threshold_selection_status,no_selection_from_validation,no_selection_from_validation,==,passed,True,
seed_provenance_oos_status,all,seed_discovery_scope,all_splits,present,!=,passed,True,
seed_provenance_r02_cap,all,validation_oos_clean,False,train_only_required_for_r02,report,passed,False,
seed_density_day_cap,train,candidate_seed_day_rate,0.0799768136905585,0.01649791004137374,<=,failed,True,gate_failed
seed_density_episode_cap,train,candidate_seed_episode_rate,5.197755960729313,4.834502103786816,<=,failed,True,gate_failed
density_denominator_nonzero,train,eligible_stock_day_count,188042.0,0,>,passed,True,
seed_density_day_cap,validation,candidate_seed_day_rate,0.07717213833055062,0.013250066877600155,<=,failed,True,gate_failed
seed_density_episode_cap,validation,candidate_seed_episode_rate,4.635555555555555,3.546666666666667,<=,failed,True,gate_failed
density_denominator_nonzero,validation,eligible_stock_day_count,108407.0,0,>,passed,True,
seed_density_day_cap,robustness,candidate_seed_day_rate,0.07938342967244702,0.01753922378199835,<=,failed,True,gate_failed
seed_density_episode_cap,robustness,candidate_seed_episode_rate,4.708428246013668,4.838268792710706,<=,passed,True,
density_denominator_nonzero,robustness,eligible_stock_day_count,108990.0,0,>,passed,True,
validation_unique_instrument_years,validation,unique_instrument_year_count,548.0,80,>=,passed,True,
validation_top1_instrument_year_seed_share,validation,top1_instrument_year_seed_share,0.003835091083413231,0.05,<=,passed,True,
primary_recall_no_harm,validation,primary_big_winner_seed_recall_diff_vs_ep2_detector,0.3669064748201439,-0.05,>=,passed,True,
bridge_ep2_big_winner_seed_recall_diff_vs_ep2_detector,validation,bridge_ep2_big_winner_seed_recall_diff_vs_ep2_detector,-0.5428571428571428,-0.05,>=,failed,True,gate_failed
primary_recall_no_harm,robustness,primary_big_winner_seed_recall_diff_vs_ep2_detector,0.23045267489711935,-0.1,>=,passed,True,
bridge_ep2_big_winner_seed_recall_diff_vs_ep2_detector,robustness,bridge_ep2_big_winner_seed_recall_diff_vs_ep2_detector,-0.45000000000000007,-0.1,>=,failed,True,gate_failed
validation_cost_vs_no_fail_fast,validation,failed_seed_average_loss_r_diff_vs_same_seed_no_fail_fast,-0.12499876450493952,0,<,passed,True,
validation_holding_days_vs_no_fail_fast,validation,failed_seed_median_holding_days_diff_vs_same_seed_no_fail_fast,-11.0,0,<,passed,True,
validation_p05_vs_no_fail_fast,validation,p05_return_r_diff_vs_same_seed_no_fail_fast,0.808276929750876,-0.02,>=,passed,True,
fail_fast_survived_big_winner_recall_loss_vs_same_seed_no_fail_fast,validation,captured_reference_loss_vs_same_seed_no_fail_fast_count,0,0,==,passed,True,
risk_pct_quintile_cost_control_status,validation,risk_pct_quintile_cost_control_status,passed,passed,==,passed,True,
matched_delay_reliability_status,validation,matched_delay_reliability_status,passed,passed,==,passed,True,
random_baseline_reliability_status,validation,random_baseline_reliability_status,failed,passed,==,failed,False,report_only_diagnostic
matched_delay_1d_mean_no_harm,validation,mean_return_r_diff_vs_matched_delay_same_fail_fast_1d,-0.003727126779882406,-0.0055,>=,passed,True,
matched_delay_3d_mean_no_harm,validation,mean_return_r_diff_vs_matched_delay_same_fail_fast_3d,-0.033458235711774,-0.005,>=,failed,True,gate_failed
matched_delay_1d_p05_no_harm,validation,p05_return_r_diff_vs_matched_delay_same_fail_fast_1d,-0.1104272189920199,-0.03,>=,failed,True,gate_failed
matched_delay_3d_p05_no_harm,validation,p05_return_r_diff_vs_matched_delay_same_fail_fast_3d,-0.144986144205822,-0.03,>=,failed,True,gate_failed
validation_added_capture_vs_ep2,validation,added_capture_vs_ep2_count,92,0,>,passed,True,
validation_net_capture_vs_ep2,validation,added_capture_vs_ep2_count_gt_lost_capture,83,0,>,passed,True,
validation_recall_cost_score,validation,recall_cost_score,0.49168568175951294,0,>,passed,True,
validation_incremental_loss_bound,validation,incremental_loss_r_per_added_big_winner_vs_ep2,2.033819647587597,5.0,<=,passed,True,
validation_incremental_exposure_bound,validation,incremental_exposure_days_per_added_big_winner_vs_ep2,96.10843373493977,250.0,<=,passed,True,
loss_r_per_captured_big_winner_seed_diff_vs_ep2_detector,validation,loss_r_per_captured_big_winner_seed_diff_vs_ep2_detector,-0.6552826492483406,0,<=,passed,True,
robustness_failed_seed_average_loss_r_diff_vs_same_seed_no_fail_fast,robustness,failed_seed_average_loss_r_diff_vs_same_seed_no_fail_fast,-0.04629421422691732,0,<=,passed,True,
robustness_p05_return_r_diff_vs_matched_delay_same_fail_fast_min,robustness,min_p05_return_r_diff_vs_matched_delay_same_fail_fast,-0.09966917353793214,-0.03,>=,failed,True,gate_failed
robustness_recall_cost_score_positive,robustness,recall_cost_score,0.999761784553388,0,>,passed,True,
robustness_incremental_loss_bound,robustness,incremental_loss_r_per_added_big_winner_vs_ep2,1.0002382722067322,7.5,<=,passed,True,
robustness_incremental_exposure_bound,robustness,incremental_exposure_days_per_added_big_winner_vs_ep2,61.18181818181818,375.0,<=,passed,True,
validation_seed_day_count_vs_ep2,validation,candidate_seed_day_count_vs_ep2_ratio,15.725563909774436,1.0,>=,passed,False,
validation_seed_episode_count_vs_ep2,validation,candidate_seed_episode_count_vs_ep2_ratio,3.9210526315789473,1.0,>=,passed,False,
