split,seed_family_id,reference_type,big_winner_reference_count,captured_big_winner_count,missed_big_winner_count,primary_big_winner_seed_recall,bridge_ep2_big_winner_reference_count,captured_ep2_bridge_big_winner_count,bridge_ep2_big_winner_seed_recall,late_capture_0_to_10_count,seed_recall_diff_vs_ep2_detector,bridge_ep2_big_winner_seed_recall_diff_vs_ep2_detector
train,ep4_post30_profile_high5_volume_rps_seed_v0,primary_big_winner_50h120_close_confirmed,456,212,244,0.4649122807017544,171,21,0.12280701754385964,0,0.32675438596491224,-0.6549707602339181
train,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,456,63,393,0.13815789473684212,171,133,0.7777777777777778,0,0.0,0.0
validation,ep4_post30_profile_high5_volume_rps_seed_v0,primary_big_winner_50h120_close_confirmed,139,66,73,0.4748201438848921,35,2,0.05714285714285714,0,0.3669064748201439,-0.5428571428571428
validation,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,139,15,124,0.1079136690647482,35,21,0.6,0,0.0,0.0
robustness,ep4_post30_profile_high5_volume_rps_seed_v0,primary_big_winner_50h120_close_confirmed,243,97,146,0.3991769547325103,100,11,0.11,0,0.23045267489711935,-0.45000000000000007
robustness,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,243,41,202,0.16872427983539096,100,56,0.56,0,0.0,0.0
