split,baseline_id,baseline_role,metric_name,candidate_value,baseline_value,diff_value,random_replicate_stat,comparison,threshold,status
train,matched_random_same_density_same_fail_fast_h20,gate,p05_return_r_diff_vs_matched_random_same_density_same_fail_fast_h20,-0.6805260756634878,-0.6035118517996068,-0.07701422386388102,p50,,,report_only
train,matched_random_same_density_same_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_matched_random_same_density_same_fail_fast_h20,0.2757871191969808,0.0,0.2757871191969808,p50,,,report_only
train,matched_random_same_density_same_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_matched_random_same_density_same_fail_fast_h20,11.0,0.0,11.0,p50,,,report_only
train,matched_random_same_density_same_fail_fast_h20,gate,mean_return_r_diff_vs_matched_random_same_density_same_fail_fast_h20,-0.051497298142476486,-0.015731835578111045,-0.03576546256436544,p95,,,report_only
train,matched_random_same_density_same_fail_fast_h20,gate,p05_return_r_diff_vs_matched_random_same_density_same_fail_fast_h20,-0.6805260756634878,-0.5558814937792873,-0.12464458188420047,p95,,,report_only
train,matched_random_same_density_same_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_matched_random_same_density_same_fail_fast_h20,0.2757871191969808,0.0,0.2757871191969808,p95,,,report_only
train,matched_random_same_density_same_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_matched_random_same_density_same_fail_fast_h20,11.0,0.0,11.0,p95,,,report_only
train,same_seed_matched_delay_1d_no_fail_fast_h20,gate,mean_return_r_diff_vs_same_seed_matched_delay_1d_no_fail_fast_h20,-0.051497298142476486,-0.003026854751439255,-0.04847044339103723,not_random,,,report_only
train,same_seed_matched_delay_1d_no_fail_fast_h20,gate,p05_return_r_diff_vs_same_seed_matched_delay_1d_no_fail_fast_h20,-0.6805260756634878,-1.1048975864161596,0.4243715107526719,not_random,,,report_only
train,same_seed_matched_delay_1d_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_seed_matched_delay_1d_no_fail_fast_h20,0.2757871191969808,0.30659092202410354,-0.03080380282712275,not_random,,,report_only
train,same_seed_matched_delay_1d_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_seed_matched_delay_1d_no_fail_fast_h20,11.0,22.0,-11.0,not_random,,,report_only
train,same_seed_matched_delay_1d_same_fail_fast_h20,gate,mean_return_r_diff_vs_same_seed_matched_delay_1d_same_fail_fast_h20,-0.051497298142476486,-0.046697970843628187,-0.004799327298848299,not_random,,,report_only
train,same_seed_matched_delay_1d_same_fail_fast_h20,gate,p05_return_r_diff_vs_same_seed_matched_delay_1d_same_fail_fast_h20,-0.6805260756634878,-0.5962158319136882,-0.08431024374979956,not_random,,,report_only
train,same_seed_matched_delay_1d_same_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_seed_matched_delay_1d_same_fail_fast_h20,0.2757871191969808,0.24213242811998167,0.033654691076999116,not_random,,,report_only
train,same_seed_matched_delay_1d_same_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_seed_matched_delay_1d_same_fail_fast_h20,11.0,11.0,0.0,not_random,,,report_only
train,same_seed_matched_delay_3d_no_fail_fast_h20,gate,mean_return_r_diff_vs_same_seed_matched_delay_3d_no_fail_fast_h20,-0.051497298142476486,-0.0521619172405875,0.0006646190981110175,not_random,,,report_only
train,same_seed_matched_delay_3d_no_fail_fast_h20,gate,p05_return_r_diff_vs_same_seed_matched_delay_3d_no_fail_fast_h20,-0.6805260756634878,-1.0827691798595203,0.4022431041960325,not_random,,,report_only
train,same_seed_matched_delay_3d_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_seed_matched_delay_3d_no_fail_fast_h20,0.2757871191969808,0.3043650779758145,-0.028577958778833734,not_random,,,report_only
train,same_seed_matched_delay_3d_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_seed_matched_delay_3d_no_fail_fast_h20,11.0,22.0,-11.0,not_random,,,report_only
train,same_seed_matched_delay_3d_same_fail_fast_h20,gate,mean_return_r_diff_vs_same_seed_matched_delay_3d_same_fail_fast_h20,-0.051497298142476486,-0.06657605901013003,0.015078760867653543,not_random,,,report_only
train,same_seed_matched_delay_3d_same_fail_fast_h20,gate,p05_return_r_diff_vs_same_seed_matched_delay_3d_same_fail_fast_h20,-0.6805260756634878,-0.5659522767941827,-0.11457379886930508,not_random,,,report_only
train,same_seed_matched_delay_3d_same_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_seed_matched_delay_3d_same_fail_fast_h20,0.2757871191969808,0.21896710022763394,0.05682001896934685,not_random,,,report_only
train,same_seed_matched_delay_3d_same_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_seed_matched_delay_3d_same_fail_fast_h20,11.0,11.0,0.0,not_random,,,report_only
train,same_seed_no_fail_fast_hold_h20,gate,mean_return_r_diff_vs_same_seed_no_fail_fast_hold_h20,-0.051497298142476486,-0.04084214078011777,-0.010655157362358718,not_random,,,report_only
train,same_seed_no_fail_fast_hold_h20,gate,p05_return_r_diff_vs_same_seed_no_fail_fast_hold_h20,-0.6805260756634878,-1.3766648496504579,0.6961387739869701,not_random,,,report_only
train,same_seed_no_fail_fast_hold_h20,gate,failed_seed_average_loss_r_diff_vs_same_seed_no_fail_fast_hold_h20,0.2757871191969808,0.37013051858400314,-0.09434339938702235,not_random,,,report_only
train,same_seed_no_fail_fast_hold_h20,gate,failed_seed_median_holding_days_diff_vs_same_seed_no_fail_fast_hold_h20,11.0,22.0,-11.0,not_random,,,report_only
validation,ep2_detector_probe_with_simple_stop_bridge,gate,mean_return_r_diff_vs_ep2_detector_probe_with_simple_stop_bridge,-0.08936788783146862,-0.06801039666451174,-0.021357491166956885,not_random,,,report_only
validation,ep2_detector_probe_with_simple_stop_bridge,gate,p05_return_r_diff_vs_ep2_detector_probe_with_simple_stop_bridge,-0.6891198091684921,-0.8700890284688184,0.18096921930032628,not_random,,,report_only
validation,ep2_detector_probe_with_simple_stop_bridge,gate,failed_seed_average_loss_r_diff_vs_ep2_detector_probe_with_simple_stop_bridge,0.2765652517751231,0.2595048474736174,0.017060404301505683,not_random,,,report_only
validation,ep2_detector_probe_with_simple_stop_bridge,gate,failed_seed_median_holding_days_diff_vs_ep2_detector_probe_with_simple_stop_bridge,11.0,12.0,-1.0,not_random,,,report_only
validation,matched_random_same_density_no_fail_fast_h20,gate,mean_return_r_diff_vs_matched_random_same_density_no_fail_fast_h20,-0.08936788783146862,-0.1967409892234507,0.10737310139198208,mean,,,report_only
validation,matched_random_same_density_no_fail_fast_h20,gate,p05_return_r_diff_vs_matched_random_same_density_no_fail_fast_h20,-0.6891198091684921,-1.673823188102242,0.9847033789337499,mean,,,report_only
validation,matched_random_same_density_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_matched_random_same_density_no_fail_fast_h20,0.2765652517751231,0.0,0.2765652517751231,mean,,,report_only
validation,matched_random_same_density_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_matched_random_same_density_no_fail_fast_h20,11.0,0.0,11.0,mean,,,report_only
validation,matched_random_same_density_no_fail_fast_h20,gate,mean_return_r_diff_vs_matched_random_same_density_no_fail_fast_h20,-0.08936788783146862,-0.2966479872491969,0.20728009941772826,p05,,,report_only
validation,matched_random_same_density_no_fail_fast_h20,gate,p05_return_r_diff_vs_matched_random_same_density_no_fail_fast_h20,-0.6891198091684921,-1.873344507799593,1.184224698631101,p05,,,report_only
