split,counterfactual_family,counterfactual_variant,primary_decision,decision_change_allowed,metric_name,primary_value,counterfactual_value,diff_value,affected_episode_count,affected_reference_count,dominant_year,dominant_industry,dominant_bucket,inheritance_note,audit_only_status
train,fail_fast_window,trigger_day_le_8_vs_9_12_descriptive,stop_ep4_r01_path,False,fail_fast_triggered_count,1265,,,2064,0,none,none,none,report-only timing sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
train,conservative_fail,ambiguous_same_day_open_low_forced_fail_descriptive,stop_ep4_r01_path,False,same_day_ambiguous_episode_count,61,,,61,0,none,none,none,report-only conservative failure-label sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
train,density_cap,cap_violation_source_descriptive,stop_ep4_r01_path,False,cap_violation_flag,True,,,0,0,none,none,none,report-only density diagnostic; no threshold trimming applied,report_only_not_decision_changing
train,p05_no_harm,worst_matched_delay_p05_return_diff_descriptive,stop_ep4_r01_path,False,min_p05_return_r_diff_vs_same_fail_fast_baselines,-0.12464458188420047,,,2064,0,none,none,none,report-only lower-tail no-harm diagnostic; no post-hoc threshold tuning,report_only_not_decision_changing
validation,fail_fast_window,trigger_day_le_8_vs_9_12_descriptive,stop_ep4_r01_path,False,fail_fast_triggered_count,631,,,1029,0,none,none,none,report-only timing sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
validation,conservative_fail,ambiguous_same_day_open_low_forced_fail_descriptive,stop_ep4_r01_path,False,same_day_ambiguous_episode_count,8,,,8,0,none,none,none,report-only conservative failure-label sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
validation,density_cap,cap_violation_source_descriptive,stop_ep4_r01_path,False,cap_violation_flag,True,,,0,0,none,none,none,report-only density diagnostic; no threshold trimming applied,report_only_not_decision_changing
validation,p05_no_harm,worst_matched_delay_p05_return_diff_descriptive,stop_ep4_r01_path,False,min_p05_return_r_diff_vs_same_fail_fast_baselines,-0.20030195444996174,,,1029,0,none,none,none,report-only lower-tail no-harm diagnostic; no post-hoc threshold tuning,report_only_not_decision_changing
robustness,fail_fast_window,trigger_day_le_8_vs_9_12_descriptive,stop_ep4_r01_path,False,fail_fast_triggered_count,598,,,971,0,none,none,none,report-only timing sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
robustness,conservative_fail,ambiguous_same_day_open_low_forced_fail_descriptive,stop_ep4_r01_path,False,same_day_ambiguous_episode_count,19,,,19,0,none,none,none,report-only conservative failure-label sensitivity; frozen R01 rule unchanged,report_only_not_decision_changing
robustness,density_cap,cap_violation_source_descriptive,stop_ep4_r01_path,False,cap_violation_flag,True,,,0,0,none,none,none,report-only density diagnostic; no threshold trimming applied,report_only_not_decision_changing
robustness,p05_no_harm,worst_matched_delay_p05_return_diff_descriptive,stop_ep4_r01_path,False,min_p05_return_r_diff_vs_same_fail_fast_baselines,-0.15373240562441576,,,971,0,none,none,none,report-only lower-tail no-harm diagnostic; no post-hoc threshold tuning,report_only_not_decision_changing
