split,delay_days,delay_period_return_bucket,candidate_row_count,matched_delay_ineligible_count,matched_delay_ineligible_rate,all_delay_ineligible_rate,top_quintile_ineligible_rate,matched_delay_reliability_status,audit_only_status
robustness,1,delay_return_q1,418,260,0.6220095693779905,0.30484037075180226,0.18041237113402062,passed,report_only
robustness,1,delay_return_q2,370,206,0.5567567567567567,0.30484037075180226,0.18041237113402062,passed,report_only
robustness,1,delay_return_q3,372,34,0.0913978494623656,0.30484037075180226,0.18041237113402062,passed,report_only
robustness,1,delay_return_q4,394,22,0.05583756345177665,0.30484037075180226,0.18041237113402062,passed,report_only
robustness,1,delay_return_q5,388,70,0.18041237113402062,0.30484037075180226,0.18041237113402062,passed,report_only
robustness,3,delay_return_missing,2,2,1.0,0.3800205973223481,0.3621621621621622,passed,report_only
robustness,3,delay_return_q1,376,232,0.6170212765957447,0.3800205973223481,0.3621621621621622,passed,report_only
robustness,3,delay_return_q2,378,260,0.6878306878306878,0.3800205973223481,0.3621621621621622,passed,report_only
robustness,3,delay_return_q3,408,92,0.22549019607843138,0.3800205973223481,0.3621621621621622,passed,report_only
robustness,3,delay_return_q4,408,18,0.04411764705882353,0.3800205973223481,0.3621621621621622,passed,report_only
robustness,3,delay_return_q5,370,134,0.3621621621621622,0.3800205973223481,0.3621621621621622,passed,report_only
train,1,delay_return_missing,4,4,1.0,0.26768410852713176,0.1971153846153846,passed,report_only
train,1,delay_return_q1,856,466,0.544392523364486,0.26768410852713176,0.1971153846153846,passed,report_only
train,1,delay_return_q2,828,369,0.44565217391304346,0.26768410852713176,0.1971153846153846,passed,report_only
train,1,delay_return_q3,816,48,0.058823529411764705,0.26768410852713176,0.1971153846153846,passed,report_only
train,1,delay_return_q4,792,54,0.06818181818181818,0.26768410852713176,0.1971153846153846,passed,report_only
train,1,delay_return_q5,832,164,0.1971153846153846,0.26768410852713176,0.1971153846153846,passed,report_only
train,3,delay_return_missing,4,4,1.0,0.3238856589147287,0.2766439909297052,passed,report_only
train,3,delay_return_q1,816,438,0.5367647058823529,0.3238856589147287,0.2766439909297052,passed,report_only
train,3,delay_return_q2,840,472,0.5619047619047619,0.3238856589147287,0.2766439909297052,passed,report_only
train,3,delay_return_q3,766,125,0.16318537859007834,0.3238856589147287,0.2766439909297052,passed,report_only
train,3,delay_return_q4,820,54,0.06585365853658537,0.3238856589147287,0.2766439909297052,passed,report_only
train,3,delay_return_q5,882,244,0.2766439909297052,0.3238856589147287,0.2766439909297052,passed,report_only
validation,1,delay_return_q1,352,206,0.5852272727272727,0.25267249757045673,0.09852216748768473,passed,report_only
validation,1,delay_return_q2,426,208,0.48826291079812206,0.25267249757045673,0.09852216748768473,passed,report_only
validation,1,delay_return_q3,436,38,0.0871559633027523,0.25267249757045673,0.09852216748768473,passed,report_only
validation,1,delay_return_q4,438,28,0.0639269406392694,0.25267249757045673,0.09852216748768473,passed,report_only
validation,1,delay_return_q5,406,40,0.09852216748768473,0.25267249757045673,0.09852216748768473,passed,report_only
validation,3,delay_return_q1,434,254,0.5852534562211982,0.33138969873663754,0.15591397849462366,passed,report_only
validation,3,delay_return_q2,406,258,0.6354679802955665,0.33138969873663754,0.15591397849462366,passed,report_only
validation,3,delay_return_q3,450,86,0.19111111111111112,0.33138969873663754,0.15591397849462366,passed,report_only
validation,3,delay_return_q4,396,26,0.06565656565656566,0.33138969873663754,0.15591397849462366,passed,report_only
validation,3,delay_return_q5,372,58,0.15591397849462366,0.33138969873663754,0.15591397849462366,passed,report_only
